
[00:00:00.000 --> 00:00:03.000]  今天我講的題目是
[00:00:03.000 --> 00:00:06.000]  尋找家鄉的故事
[00:00:06.000 --> 00:00:11.000]  現在先請大家聽一聽我吹一段音樂
[00:00:30.000 --> 00:00:34.000]  相信大家對剛才那段旋律都有些印象
[00:00:34.000 --> 00:00:35.000]  沒錯了
[00:00:35.000 --> 00:00:37.000]  這個那麼熟悉的旋律
[00:00:37.000 --> 00:00:40.000]  就令我們想起一個節目
[00:00:40.000 --> 00:00:43.000]  尋找他鄉的故事
[00:00:43.000 --> 00:00:46.000]  原來尋找他鄉的故事這個系列
[00:00:46.000 --> 00:00:48.000]  是香港亞洲電視
[00:00:48.000 --> 00:00:52.000]  九八年至零四年製作的一個資訊節目
[00:00:52.000 --> 00:00:56.000]  這個節目由鍾景輝老師做旁述
[00:00:56.000 --> 00:01:00.000]  而剛才我吹的那段旋律音樂
[00:01:00.000 --> 00:01:05.000]  是出自日本作曲家喜多郎的作品
[00:01:05.000 --> 00:01:07.000]  而這個系列的名字
[00:01:07.000 --> 00:01:09.000]  尋找他鄉的故事
[00:01:09.000 --> 00:01:13.000]  原來是金庸提出來的
[00:01:13.000 --> 00:01:15.000]  節目推出之後獲得很多好評
[00:01:15.000 --> 00:01:19.000]  也成為亞洲電視其中一個高收視的節目之外
[00:01:19.000 --> 00:01:22.000]  他更加屢獲殊榮
[00:01:22.000 --> 00:01:26.000]  相信很多的頂姐妹都曾經看過這個節目
[00:01:26.000 --> 00:01:30.000]  攝製隊的足跡遍佈世界很多的角落
[00:01:30.000 --> 00:01:36.000]  他們為了要收集身在異鄉的中國人的故事
[00:01:36.000 --> 00:01:40.000]  記錄他們生活的點滴和感受
[00:01:40.000 --> 00:01:43.000]  今天的經文所講的阿巴拉罕
[00:01:43.000 --> 00:01:45.000]  原來他七十五歲的時候
[00:01:45.000 --> 00:01:48.000]  就蒙上帝的呼召要離開中國
[00:01:48.000 --> 00:01:53.000]  他七十五歲的時候就蒙上帝的呼召要離開他的家鄉
[00:01:53.000 --> 00:01:55.000]  出去的時候
[00:01:55.000 --> 00:01:59.000]  聖經說他還不知道目的地是哪裡
[00:01:59.000 --> 00:02:01.000]  但為什麼他都願意出去呢?
[00:02:01.000 --> 00:02:03.000]  聖經講得很清楚
[00:02:03.000 --> 00:02:05.000]  因著信
[00:02:05.000 --> 00:02:08.000]  今天我們要透過希伯來書
[00:02:08.000 --> 00:02:10.000]  用第三者的角度
[00:02:10.000 --> 00:02:13.000]  去了解這位身處應許之地
[00:02:13.000 --> 00:02:16.000]  作異鄉客的信心之父
[00:02:16.000 --> 00:02:19.000]  他是一些心情的點滴
[00:02:19.000 --> 00:02:22.000]  並且在當中我們有所學習
[00:02:22.000 --> 00:02:24.000]  請大家一起祈禱
[00:02:24.000 --> 00:02:31.000]  聖靈啊!求祢幫助我們
[00:02:31.000 --> 00:02:33.000]  明白主祢自己的真理
[00:02:33.000 --> 00:02:35.000]  也讓我們同感一靈
[00:02:35.000 --> 00:02:39.000]  讓無論聽的講的都能得益處
[00:02:39.000 --> 00:02:40.000]  蒙祢的月立
[00:02:40.000 --> 00:02:43.000]  祈禱感恩是奉主明求
[00:02:43.000 --> 00:02:44.000]  阿門
[00:02:47.000 --> 00:02:50.000]  當我們細心閱讀經文的時候
[00:02:50.000 --> 00:02:54.000]  我們不難發覺第八節的下半句
[00:02:54.000 --> 00:02:56.000]  好像有些矛盾
[00:02:56.000 --> 00:02:58.000]  第八節的講
[00:02:58.000 --> 00:03:02.000]  因著信阿伯拉罕蒙召的時候就遵命出去
[00:03:02.000 --> 00:03:04.000]  這裡也很好
[00:03:04.000 --> 00:03:09.000]  他說要往將來要承受危機業的地方
[00:03:09.000 --> 00:03:10.000]  很清晰
[00:03:10.000 --> 00:03:11.000]  然後他說
[00:03:11.000 --> 00:03:15.000]  但是他出去的時候還不知道往哪裡去
[00:03:15.000 --> 00:03:17.000]  有點矛盾
[00:03:17.000 --> 00:03:22.000]  為什麼阿伯拉罕既然他知道要往某一個地方去
[00:03:22.000 --> 00:03:25.000]  但是為什麼之後那句又說他出去的時候
[00:03:25.000 --> 00:03:28.000]  其實根本不知道要去哪裡呢
[00:03:28.000 --> 00:03:31.000]  原來《釋經》學者告訴我們
[00:03:31.000 --> 00:03:36.000]  前面那句就是往將來要承受危機業的地方去
[00:03:36.000 --> 00:03:40.000]  這一句原來是指上帝對阿伯拉罕
[00:03:40.000 --> 00:03:44.000]  在《創世紀》十二章那裡的應許
[00:03:44.000 --> 00:03:47.000]  而下半句說的出去
[00:03:47.000 --> 00:03:51.000]  是指阿伯拉罕回應這個呼召的行動
[00:03:51.000 --> 00:03:56.000]  就是說當阿伯拉罕採取行動出去的時候
[00:03:56.000 --> 00:04:00.000]  雖然他知道他自己要回應上帝的呼召
[00:04:00.000 --> 00:04:05.000]  但是其實他只不過是一個很模糊的概念
[00:04:05.000 --> 00:04:09.000]  其實他也不能夠肯定上帝要他去的地方是哪裡
[00:04:09.000 --> 00:04:14.000]  不過他只知道這個是上帝的呼召的話
[00:04:14.000 --> 00:04:16.000]  他就走出去
[00:04:16.000 --> 00:04:17.000]  沒錯
[00:04:17.000 --> 00:04:20.000]  上帝要他離開本地本族父家
[00:04:20.000 --> 00:04:24.000]  往上帝要指示他的地方去的時候
[00:04:24.000 --> 00:04:27.000]  阿伯拉罕他沒有前進的方向
[00:04:27.000 --> 00:04:32.000]  他只是有遵從上帝的意向
[00:04:32.000 --> 00:04:34.000]  但是正正因為這樣
[00:04:34.000 --> 00:04:37.000]  阿伯拉罕才知道他要憑信心
[00:04:37.000 --> 00:04:45.000]  去完完全全依靠這個呼召他出家鄉的上帝
[00:04:45.000 --> 00:04:51.000]  並且他藉此幫助自己和他的家庭
[00:04:51.000 --> 00:04:55.000]  繼續去仰望上帝
[00:04:55.000 --> 00:04:58.000]  阿伯拉罕蒙召之後展開了
[00:04:58.000 --> 00:05:04.000]  需要運用信心來仰望上帝的信心之旅
[00:05:04.000 --> 00:05:11.000]  這件事令我想起我當年蒙召的時候的經歷
[00:05:11.000 --> 00:05:14.000]  當我十九歲撞車回香港
[00:05:14.000 --> 00:05:20.000]  用了大概十年的時間再考過會考
[00:05:20.000 --> 00:05:23.000]  又讀了大專又讀大學
[00:05:23.000 --> 00:05:28.000]  最後我就在社會福利署工作
