
[00:00:00.000 --> 00:00:02.320]  好,各位姐妹,很開心
[00:00:02.320 --> 00:00:08.040]  今天是一個機會和大家分享溝通
[00:00:08.040 --> 00:00:15.200]  我自己和大家一樣做了好幾十年
[00:00:15.200 --> 00:00:17.760]  也說了不少東西
[00:00:17.760 --> 00:00:20.040]  溝通了很多
[00:00:20.040 --> 00:00:23.240]  大家會發現用不同的字眼
[00:00:23.240 --> 00:00:25.840]  是否有不同的感覺
[00:00:25.840 --> 00:00:31.360]  我是第一次有人介紹我太太
[00:00:31.360 --> 00:00:35.200]  不知道大家知不知道她的枕邊人呢
[00:00:35.200 --> 00:00:37.200]  我第一次聽是幾十年了
[00:00:37.200 --> 00:00:39.320]  這個介紹真是很厲害
[00:00:39.320 --> 00:00:42.880]  是否感覺不同了
[00:00:42.880 --> 00:00:47.680]  誰介紹呢?知不知道王克勤太太呢?
[00:00:47.680 --> 00:00:49.080]  我看看吧
[00:00:49.080 --> 00:00:55.160]  她的枕邊人多了很多聯想
[00:00:55.160 --> 00:00:56.840]  是有感覺的
[00:00:56.840 --> 00:01:00.880]  所以一個有效的溝通
[00:01:00.880 --> 00:01:03.440]  只是在乎字眼
[00:01:03.440 --> 00:01:05.200]  可以嗎?在乎字眼
[00:01:05.200 --> 00:01:10.080]  但其實如果說溝通
[00:01:10.080 --> 00:01:14.200]  有三成是字眼
[00:01:14.200 --> 00:01:19.320]  有七成是身體語言
[00:01:19.320 --> 00:01:22.320]  對方信你的語言
[00:01:22.320 --> 00:01:26.440]  還是信你的身體語言呢?
[00:01:26.440 --> 00:01:29.280]  是信你的身體語言
[00:01:29.280 --> 00:01:30.320]  很真實的
[00:01:30.320 --> 00:01:32.880]  是感覺來的
[00:01:32.880 --> 00:01:36.520]  今天和大家很快說一下溝通
[00:01:36.520 --> 00:01:38.000]  這個題目不夠好
[00:01:38.000 --> 00:01:41.440]  應該叫更有效溝通好一點
[00:01:41.440 --> 00:01:43.200]  有效就是這樣
[00:01:43.200 --> 00:01:45.040]  我應該是更有效
[00:01:45.040 --> 00:01:48.360]  希望我們學到更有效
[00:01:48.360 --> 00:01:50.160]  可以嗎?這是我的希望
[00:01:50.160 --> 00:01:52.000]  是否我自己控制呢?
[00:01:52.000 --> 00:01:59.240]  是否還未啟動呢?
[00:01:59.240 --> 00:02:04.240]  這個馬克.托威爾他有句說話
[00:02:04.240 --> 00:02:10.440]  其實我們應該
[00:02:10.440 --> 00:02:15.600]  如果我們應該說話多一點
[00:02:15.600 --> 00:02:18.400]  而聽話少一點的話
[00:02:18.400 --> 00:02:24.240]  我們就不會是「一個口兩隻耳」
[00:02:24.240 --> 00:02:25.800]  你明白他說什麼嗎?
[00:02:25.800 --> 00:02:28.400]  即是說我們應該聽多一點
[00:02:28.400 --> 00:02:30.560]  還是說多一點?
[00:02:30.560 --> 00:02:31.440]  聽多一點
[00:02:31.440 --> 00:02:32.200]  如果不是的話
[00:02:32.200 --> 00:02:34.520]  我們應該是「兩把口一隻耳」
[00:02:34.520 --> 00:02:38.000]  不過現在很多人是「兩個口」
[00:02:38.000 --> 00:02:42.240]  見到人說人話
[00:02:42.240 --> 00:02:44.400]  後面那句不說了
[00:02:44.400 --> 00:02:46.440]  但我們是「一隻耳聽」
[00:02:46.440 --> 00:02:47.760]  「一隻耳聽」呢
[00:02:47.760 --> 00:02:53.600]  「一隻耳聽」是會沒了立體聲
[00:02:53.600 --> 00:02:54.640]  很有趣
[00:02:54.640 --> 00:02:56.440]  如果一個人只有一隻眼
[00:02:56.440 --> 00:02:57.960]  他是會平面了
[00:02:57.960 --> 00:03:00.560]  而且沒那麼立體
[00:03:00.560 --> 00:03:03.120]  如果是那些武術
[00:03:03.120 --> 00:03:04.040]  劍擊那些
