
[00:00:00.000 --> 00:00:02.320]  我想在座當中很多人
[00:00:02.320 --> 00:00:04.320]  當我預備的時候有一樣的想法
[00:00:04.320 --> 00:00:06.320]  這個月是宣教月
[00:00:06.320 --> 00:00:08.320]  那到底
[00:00:08.320 --> 00:00:10.320]  整個宣教宣教都在你裡面
[00:00:10.320 --> 00:00:11.580]  到底宣教是什麼呢
[00:00:11.580 --> 00:00:12.580]  我想講了兩個定義
[00:00:12.580 --> 00:00:13.800]  我才開始禱告
[00:00:13.800 --> 00:00:15.300]  宣教如果簡單一點
[00:00:15.300 --> 00:00:16.320]  廣義也好
[00:00:16.320 --> 00:00:18.320]  就是將福音告訴別人
[00:00:18.320 --> 00:00:20.320]  可以透過你的生活
[00:00:20.320 --> 00:00:22.320]  你的職場 你的見證
[00:00:22.320 --> 00:00:24.320]  可以很近在你家
[00:00:24.320 --> 00:00:26.320]  遠到很遠方
[00:00:26.320 --> 00:00:28.320]  阿拉斯加也行 印尼也行
[00:00:28.320 --> 00:00:30.320]  這是我對宣教的定義
[00:00:30.320 --> 00:00:32.320]  一會兒大家說宣教宣教
[00:00:32.320 --> 00:00:34.320]  第二宣教裡面今天我會講的
[00:00:34.320 --> 00:00:36.320]  有一樣是屬靈的增薦
[00:00:36.320 --> 00:00:38.320]  因為這個世界上
[00:00:38.320 --> 00:00:40.320]  很多人都不信耶穌
[00:00:40.320 --> 00:00:42.320]  其實就由亞當夏娃石已經開始了
[00:00:42.320 --> 00:00:44.320]  因為惡者
[00:00:44.320 --> 00:00:46.320]  不想將人將榮耀
[00:00:46.320 --> 00:00:48.320]  歸給上帝
[00:00:48.320 --> 00:00:50.320]  人又極力想人歸給上帝
[00:00:50.320 --> 00:00:52.320]  這是一個增薦
[00:00:52.320 --> 00:00:54.320]  這牽涉到靈界的情況
[00:00:54.320 --> 00:00:56.320]  要一個人信耶穌的時候
[00:00:56.320 --> 00:00:58.320]  要讓他的靈打開
[00:00:58.320 --> 00:01:00.320]  所以往往有靈界的增薦
[00:01:00.320 --> 00:01:02.320]  所謂的屬靈增薦
[00:01:02.320 --> 00:01:04.320]  希望大家都明白這兩個定義
[00:01:04.320 --> 00:01:06.320]  日後我們講什麼宣教宣教語
[00:01:06.320 --> 00:01:08.320]  你就知道 簡單一點
[00:01:08.320 --> 00:01:10.320]  廣義一點是怎樣
[00:01:10.320 --> 00:01:12.320]  將福音
[00:01:12.320 --> 00:01:14.320]  告訴別人
[00:01:14.320 --> 00:01:16.320]  所以每一個都是什麼 宣教士
[00:01:16.320 --> 00:01:18.320]  因為耶穌都想我們將福音告訴別人
[00:01:18.320 --> 00:01:20.320]  我們先低頭 祈禱
[00:01:26.320 --> 00:01:28.320]  祈禱在你面前
[00:01:28.320 --> 00:01:30.320]  求你自己臨在我們當中
[00:01:30.320 --> 00:01:32.320]  讓你的話
[00:01:32.320 --> 00:01:36.320]  深深的
[00:01:36.320 --> 00:01:38.320]  去到我們生活中
[00:01:38.320 --> 00:01:40.320]  每一個層面裏
[00:01:40.320 --> 00:01:44.320]  又讓你的話
[00:01:44.320 --> 00:01:48.320]  成為一個得勝的
[00:01:48.320 --> 00:01:50.320]  在我們生活當中
[00:01:50.320 --> 00:01:52.320]  以致我們宣認
[00:01:52.320 --> 00:01:54.320]  耶華尼西
[00:01:54.320 --> 00:01:56.320]  是得勝的主
[00:01:56.320 --> 00:01:58.320]  我們這樣祈禱交托
[00:01:58.320 --> 00:02:00.320]  奉耶穌得勝的名字祈求 阿們
[00:02:00.320 --> 00:02:04.320]  剛才那幅part point告訴我們
[00:02:04.320 --> 00:02:06.320]  耶華尼西是一個典故
[00:02:06.320 --> 00:02:10.320]  上帝是升旗
[00:02:10.320 --> 00:02:12.320]  簡單一點 上帝是得勝者
[00:02:12.320 --> 00:02:14.320]  這個故事
[00:02:14.320 --> 00:02:16.320]  大概發生於距離現在
[00:02:16.320 --> 00:02:18.320]  大概3000年
[00:02:18.320 --> 00:02:20.320]  準確我都找不到
[00:02:20.320 --> 00:02:22.320]  因為在摩西的時代
[00:02:22.320 --> 00:02:24.320]  我只聽到一件事
[00:02:24.320 --> 00:02:26.320]  在初夏期的十九章一到二節
[00:02:26.320 --> 00:02:28.320]  說他們離開了
[00:02:28.320 --> 00:02:30.320]  這個腓利定
[00:02:30.320 --> 00:02:32.320]  去到西奈的曠野
[00:02:32.320 --> 00:02:34.320]  這個腓利定
[00:02:34.320 --> 00:02:36.320]  就是這場戰爭的地方
[00:02:36.320 --> 00:02:38.320]  聖經十九章一至二節
[00:02:38.320 --> 00:02:40.320]  初夏期告訴我們
[00:02:40.320 --> 00:02:42.320]  他們離開埃及
[00:02:42.320 --> 00:02:44.320]  三個月之內
[00:02:44.320 --> 00:02:46.320]  所以我大概知道這件事情
[00:02:46.320 --> 00:02:48.320]  是發生在離開埃及
[00:02:48.320 --> 00:02:50.320]  第三個月之內
[00:02:50.320 --> 00:02:52.320]  亦都可以說
[00:02:52.320 --> 00:02:54.320]  是一個重要的事情
[00:02:54.320 --> 00:02:56.320]  在他們離開埃及的時候
[00:02:56.320 --> 00:02:58.320]  第一場的戰爭
[00:02:58.320 --> 00:03:00.320]  而且我看為一個
[00:03:00.320 --> 00:03:02.320]  屬靈的戰爭
[00:03:02.320 --> 00:03:04.320]  這個戰爭裏面或這件事情
[00:03:04.320 --> 00:03:06.320]  讓我聯想到一個
[00:03:06.320 --> 00:03:08.320]  宣教的故事
[00:03:08.320 --> 00:03:10.320]  牧師怎樣扯埋爛
[00:03:10.320 --> 00:03:12.320]  最近在國道雜誌
[00:03:12.320 --> 00:03:14.320]  他將這件事幫我扯埋爛
[00:03:14.320 --> 00:03:16.320]  原來當我們認為
[00:03:16.320 --> 00:03:18.320]  常常看初夏級記
[00:03:18.320 --> 00:03:20.320]  這個故事是一個老人家摩西
[00:03:20.320 --> 00:03:22.320]  帶一些人出去離開埃及
[00:03:22.320 --> 00:03:24.320]  所有的故事
[00:03:24.320 --> 00:03:26.320]  有些歌曲都是
[00:03:26.320 --> 00:03:28.320]  Let my people go
