
[00:00:00.000 --> 00:00:02.000]  大家基督理平安
[00:00:02.000 --> 00:00:04.000]  大家平安
[00:00:04.000 --> 00:00:06.000]  我們先低頭禱告
[00:00:06.000 --> 00:00:08.000]  我們先低頭祈禱
[00:00:08.000 --> 00:00:10.000]  天父上帝我們感謝讚美你
[00:00:10.000 --> 00:00:12.000]  天父上帝我們感謝讚美你
[00:00:12.000 --> 00:00:14.000]  這是祢所定的日子
[00:00:14.000 --> 00:00:16.000]  這是祢定的日子
[00:00:16.000 --> 00:00:18.000]  我們來到祢面前向祢敬拜
[00:00:18.000 --> 00:00:20.000]  我們來到祢面前向祢敬拜
[00:00:20.000 --> 00:00:22.000]  求祢打開我們的心
[00:00:22.000 --> 00:00:24.000]  求祢打開我們的心
[00:00:24.000 --> 00:00:26.000]  聆聽祢的道
[00:00:26.000 --> 00:00:30.000]  讓聖靈在我們的心中應行光照感動
[00:00:30.000 --> 00:00:34.000]  願聖靈在我們心中運行光照感動
[00:00:34.000 --> 00:00:39.000]  讓我們講的翻譯的和聽的都同被聖靈帶領
[00:00:39.000 --> 00:00:44.000]  讓我們講的翻譯的聽的都同被聖靈所帶領
[00:00:44.000 --> 00:00:48.000]  讓我們從神的話語裡面明白神的心意
[00:00:48.000 --> 00:00:51.000]  讓我們從神的話語裡面明白神的心意
[00:00:51.000 --> 00:00:55.000]  讓我們從神的話語裡面領受神的真理
[00:00:55.000 --> 00:00:58.000]  讓我們從神的話語裡面領受神的真理
[00:00:58.000 --> 00:01:02.000]  讓我們從神的話語裡面明白基督的救恩
[00:01:02.000 --> 00:01:06.000]  讓我們從神的話語裡面明白基督的救恩
[00:01:06.000 --> 00:01:10.000]  讓我們從神的話語裡面得到屬靈的力量
[00:01:10.000 --> 00:01:14.000]  讓我們從神的話語裡面得到神的力量
[00:01:14.000 --> 00:01:17.000]  所以主啊祢知道我們每一個人的需要
[00:01:17.000 --> 00:01:20.000]  所以主啊祢知道我們每一個人的需要
[00:01:20.000 --> 00:01:22.000]  我們每一個人的家庭生活
[00:01:22.000 --> 00:01:26.000]  我們的夫妻關係多多少少都會存在一些的問題
[00:01:26.000 --> 00:01:29.000]  我們每一個人的家庭生活夫妻相處之道
[00:01:29.000 --> 00:01:31.000]  多多少少都存在一些問題
[00:01:31.000 --> 00:01:33.000]  所以求主幫助我們
[00:01:33.000 --> 00:01:34.000]  所以求主幫助我們
[00:01:34.000 --> 00:01:36.000]  藉著祢的話語來教導我們
[00:01:36.000 --> 00:01:38.000]  藉著祢的話語來教導我們
[00:01:38.000 --> 00:01:44.000]  讓我們知道基督徒如何在我們的家庭當中活出主的使命
[00:01:44.000 --> 00:01:49.000]  讓我們知道基督徒如何在我們的家庭裡面活出主的使命
[00:01:49.000 --> 00:01:53.000]  讓我們知道我們在家庭裡面如何盡丈夫的責任
[00:01:53.000 --> 00:01:55.000]  也如何盡妻子的責任
[00:01:55.000 --> 00:01:58.000]  讓我們知道在家庭裡面如何盡丈夫的責任
[00:01:58.000 --> 00:02:00.000]  也如何盡妻子的責任
[00:02:00.000 --> 00:02:03.000]  讓我們在家庭裡面活出美好的見證
[00:02:03.000 --> 00:02:06.000]  讓我們在家庭裡面活出美好的見證
[00:02:06.000 --> 00:02:07.000]  願神的名得到榮耀
[00:02:07.000 --> 00:02:09.000]  願神的名得到榮耀
[00:02:09.000 --> 00:02:11.000]  感謝贊美主聽我們禱告
[00:02:11.000 --> 00:02:13.000]  奉告耶穌基督聖名求
[00:02:13.000 --> 00:02:15.000]  感謝贊美主聽我們禱告
