
[00:00:00.000 --> 00:00:08.000]  我今天正道的題目是《拉合的信心》
[00:00:08.000 --> 00:00:16.000]  拉合的故事,想必大家都不陌生
[00:00:16.000 --> 00:00:29.000]  拉合她認識神,相信神,她全然的為神而生
[00:00:29.000 --> 00:00:35.000]  我們今天就記著拉合的故事,我們一同來思想什麼是真正的信心
[00:00:35.000 --> 00:00:41.000]  我們今天藉著學習拉合的信心,來學習如何兼顧我們對神的信心
[00:00:41.000 --> 00:00:45.000]  拉合是一個外邦女子
[00:00:45.000 --> 00:00:48.000]  拉合她是一個外邦的女子
[00:00:48.000 --> 00:00:52.000]  拉合的地位,社會地位極其的卑賤,她是個妓女
[00:00:52.000 --> 00:00:56.000]  拉合的地位是很卑賤的,她是一個妓女
[00:00:56.000 --> 00:01:02.000]  可是聖經記載,後來她卻成為了大衛的高祖母
[00:01:02.000 --> 00:01:09.000]  聖經後來說到,拉合是成為了大衛的高祖母
[00:01:09.000 --> 00:01:11.000]  被列為了主耶穌基督的家譜
[00:01:11.000 --> 00:01:15.000]  她是一個被列為正統的家族裏面
[00:01:15.000 --> 00:01:19.000]  拉合的生命,如此大的一個改變
[00:01:19.000 --> 00:01:22.000]  拉合她的生命有這麼大的改變
[00:01:22.000 --> 00:01:25.000]  前後的反差如此的巨大
[00:01:25.000 --> 00:01:27.000]  前後的反差如此的巨大
[00:01:27.000 --> 00:01:32.000]  這一切都是神的恩典,臨到了拉合
[00:01:32.000 --> 00:01:37.000]  這一切都是神的恩典,臨到了拉合的身上
[00:01:37.000 --> 00:01:41.000]  我們的神是創造天地,掌管萬有的神
[00:01:41.000 --> 00:01:45.000]  我們的神是創造天地,掌管萬有的神
[00:01:45.000 --> 00:01:48.000]  神可以化腐朽為神器
[00:01:48.000 --> 00:01:53.000]  神可以化腐朽為神器
[00:01:53.000 --> 00:01:56.000]  神可以化腐朽為神器
[00:01:56.000 --> 00:02:00.000]  神將拉合這樣一個外邦女子
[00:02:00.000 --> 00:02:02.000]  最後列入了主的家譜
[00:02:02.000 --> 00:02:06.000]  神能夠將拉合這個外邦卑微的女子
[00:02:06.000 --> 00:02:09.000]  能夠列到神的家裏面
[00:02:09.000 --> 00:02:12.000]  神使卑賤的這樣一個巨女
[00:02:12.000 --> 00:02:14.000]  最後成為我們信心的榜樣
[00:02:14.000 --> 00:02:17.000]  神使得這個卑賤的女子
[00:02:17.000 --> 00:02:20.000]  成為我們信心的榜樣
[00:02:20.000 --> 00:02:24.000]  拉合生命的轉變非常神奇
[00:02:24.000 --> 00:02:28.000]  拉合生命的轉變是很神奇的
[00:02:28.000 --> 00:02:32.000]  但是我們看到這個轉變有一個前提
[00:02:32.000 --> 00:02:36.000]  但是我們看到拉合生命的轉變有一個前提
[00:02:36.000 --> 00:02:40.000]  前提條件就是拉合相信神
[00:02:40.000 --> 00:02:44.000]  前提條件就是拉合相信神
[00:02:44.000 --> 00:02:50.000]  拉合他認識神 相信神 也衛生神
[00:02:50.000 --> 00:02:56.000]  拉合他認識神 相信神 也衛生神
[00:02:56.000 --> 00:03:01.000]  拉合的故事是發生在以色列人進加南的時候
[00:03:01.000 --> 00:03:06.000]  拉合的故事是發生在以色列人進加南的時候
[00:03:06.000 --> 00:03:11.000]  約書亞帶領百姓進入加南
[00:03:11.000 --> 00:03:16.000]  約書亞帶領百姓進入加南
[00:03:16.000 --> 00:03:20.000]  到了加南他們遇到的第一個城市叫耶利哥
[00:03:20.000 --> 00:03:24.000]  到了加南他們遇到的第一個城市叫耶利哥
[00:03:24.000 --> 00:03:29.000]  約書亞派遣了兩個探子到耶利哥去
[00:03:29.000 --> 00:03:34.000]  約書亞派遣了兩個探子到耶利哥城去
[00:03:34.000 --> 00:03:38.000]  兩個探子要到耶利哥去偵探虛實
[00:03:38.000 --> 00:03:42.000]  兩個探子要到耶利哥城去偵探當地的情況
[00:03:42.000 --> 00:03:46.000]  兩個探子要到耶利哥城去偵探當地的情況
[00:03:46.000 --> 00:03:50.000]  兩個探子要到耶利哥城去偵探當地的情況
[00:03:50.000 --> 00:03:54.000]  兩個探子要到耶利哥城去偵探當地的情況
[00:03:54.000 --> 00:03:58.000]  兩個探子要到耶利哥城去偵探當地的情況
[00:03:58.000 --> 00:04:02.000]  兩個探子要到耶利哥城去偵探當地的情況
[00:04:02.000 --> 00:04:06.000]  兩個探子要到耶利哥城去偵探當地的情況
[00:04:06.000 --> 00:04:10.000]  兩個探子要到耶利哥城去偵探當地的情況
[00:04:10.000 --> 00:04:14.000]  兩個探子要到耶利哥城去偵探當地的情況
[00:04:14.000 --> 00:04:18.000]  兩個探子要到耶利哥城去偵探當地的情況
[00:04:18.000 --> 00:04:22.000]  兩個探子要到耶利哥城去偵探當地的情況
[00:04:22.000 --> 00:04:26.000]  兩個探子要到耶利哥城去偵探當地的情況
[00:04:26.000 --> 00:04:30.000]  兩個探子要到耶利哥城去偵探當地的情況
[00:04:30.000 --> 00:04:34.000]  兩個探子要到耶利哥城去偵探當地的情況
