
[00:00:00.000 --> 00:00:02.600]  今日的經文就是《羅馬書》第二章
[00:00:02.600 --> 00:00:05.440]  由十七節到第二十九節
[00:00:05.440 --> 00:00:06.920]  而今日的題目就是
[00:00:06.920 --> 00:00:10.200]  我們千萬不要看不起人
[00:00:10.200 --> 00:00:11.600]  我們不要看不起人
[00:00:11.600 --> 00:00:12.360]  當然你說
[00:00:12.360 --> 00:00:14.560]  我們基督徒怎會看不起人
[00:00:14.560 --> 00:00:16.240]  你望一望旁邊是否看得起他
[00:00:16.240 --> 00:00:17.960]  怎會看不起他
[00:00:17.960 --> 00:00:19.480]  但有時我們不經意的
[00:00:19.480 --> 00:00:21.840]  在我們很多很細微的行動
[00:00:21.840 --> 00:00:22.920]  一些行為
[00:00:22.920 --> 00:00:23.880]  有時都會覺得
[00:00:23.880 --> 00:00:25.960]  其實我們有時都好像同人
[00:00:25.960 --> 00:00:29.680]  有一種不同的程度
[00:00:29.680 --> 00:00:31.920]  或者有所謂不同的層次
[00:00:31.920 --> 00:00:33.800]  我們很喜歡說不同的層次
[00:00:33.800 --> 00:00:37.120]  以致有時我們都會看低別人
[00:00:37.120 --> 00:00:38.240]  弟兄姊妹
[00:00:38.240 --> 00:00:39.760]  保羅在《羅馬書》
[00:00:39.760 --> 00:00:43.480]  由第一章第一節到第三章第二十節
[00:00:43.480 --> 00:00:45.640]  縱然他講了十七節聖經
[00:00:45.640 --> 00:00:48.000]  我們才看到保羅所強調的
[00:00:48.000 --> 00:00:50.280]  福音是神的大能
[00:00:50.280 --> 00:00:52.080]  所以換言之我們千萬
[00:00:52.080 --> 00:00:53.680]  全福音的過程當中
[00:00:53.680 --> 00:00:56.800]  我們不要以福音為恥
[00:00:56.800 --> 00:00:59.520]  福音是能夠改變我們的生命
[00:00:59.520 --> 00:01:01.680]  福音是能夠轉化我們的生命
[00:01:01.680 --> 00:01:04.840]  以致我們不要確定
[00:01:04.840 --> 00:01:07.160]  不要效法這個世界
[00:01:07.160 --> 00:01:09.880]  我們總要心意根深而變化
[00:01:09.880 --> 00:01:12.280]  而福音就可以改變我們的生命
[00:01:12.280 --> 00:01:14.600]  讓我們能夠心意根深而變化
[00:01:14.600 --> 00:01:17.080]  而同樣由第一章第十八節
[00:01:17.080 --> 00:01:19.520]  一直到第三章第二十節
[00:01:19.520 --> 00:01:22.040]  很多學者說一大段聖經
[00:01:22.040 --> 00:01:24.520]  其實是在說神的憤怒
[00:01:24.520 --> 00:01:25.600]  我曾經說過
[00:01:25.600 --> 00:01:28.960]  救恩福音是一個同閉的兩邊
[00:01:28.960 --> 00:01:30.320]  有神的慈愛
[00:01:30.320 --> 00:01:32.240]  但亦有神的憤怒
[00:01:32.240 --> 00:01:35.120]  神的憤怒是希望我們能夠反省
[00:01:35.120 --> 00:01:38.960]  究竟為何神在我們身上會有憤怒
[00:01:38.960 --> 00:01:42.240]  而第一章由第十八節到第三章二十節
[00:01:42.240 --> 00:01:44.320]  重點是講到神的憤怒
[00:01:44.320 --> 00:01:45.480]  而很清楚的
[00:01:45.480 --> 00:01:50.000]  神透過保羅究竟他的憤怒是向甚麼對象
[00:01:50.000 --> 00:01:57.000]  很明顯由第一章十八節到第三十二節的對象
[00:01:57.000 --> 00:01:59.200]  很明顯是對外邦人
[00:01:59.200 --> 00:02:00.720]  我上次已經說過
[00:02:00.720 --> 00:02:04.200]  就是因著外邦人不以神為神
[00:02:04.200 --> 00:02:08.960]  他們因著異教犯了很多罪
[00:02:08.960 --> 00:02:11.680]  所以神的憤怒是淋在他們身上
[00:02:11.680 --> 00:02:13.840]  他們不以神為神
[00:02:13.840 --> 00:02:15.840]  在第二章由第一節到十六節
[00:02:15.840 --> 00:02:17.600]  是講論斷人
[00:02:17.600 --> 00:02:21.880]  這班論斷的人究竟是外邦人還是猶太人
[00:02:21.880 --> 00:02:24.880]  其實在學者那邊都有不同的說法
[00:02:24.880 --> 00:02:27.360]  很多人說究竟這段聖經的論斷
[00:02:27.360 --> 00:02:31.080]  是講外邦人論斷人還是猶太人論斷外邦人
[00:02:31.080 --> 00:02:33.000]  其實沒有甚麼很清晰
[00:02:33.000 --> 00:02:36.840]  不過很多學者說都是傾向第二章開始
[00:02:36.840 --> 00:02:38.760]  都是針對猶太人
[00:02:38.760 --> 00:02:42.720]  當然第二章十七節到第三章第八節
[00:02:42.720 --> 00:02:43.920]  其實很清楚
[00:02:43.920 --> 00:02:50.080]  就是神透過保羅將他的憤怒淋在猶太人身上
[00:02:50.080 --> 00:02:54.880]  第三章九節到二十節其實很明顯
[00:02:54.880 --> 00:02:58.120]  是神透過保羅針對全世界的人
[00:02:58.120 --> 00:03:01.720]  為何神會憤怒在這個世代那邊
[00:03:01.720 --> 00:03:04.960]  所以無論我們今天說的是猶太人也好
[00:03:04.960 --> 00:03:06.080]  外邦人也好
[00:03:06.080 --> 00:03:07.720]  保羅是提醒我們
[00:03:07.720 --> 00:03:09.520]  其實他會有憤怒
[00:03:09.520 --> 00:03:11.600]  為我們的罪而憤怒
[00:03:11.600 --> 00:03:14.800]  而同樣去到第二章十七節到二十九節
[00:03:14.800 --> 00:03:18.280]  神在猶太人身上的憤怒是甚麼
[00:03:18.280 --> 00:03:22.040]  就是因為猶太人看不起人
[00:03:22.040 --> 00:03:23.040]  因為看不起人
[00:03:23.040 --> 00:03:26.880]  當然猶太人看不起人的原因
[00:03:26.880 --> 00:03:30.520]  就是因為他有一份優越感
