
[00:00:00.000 --> 00:00:02.720]  兄弟姐妹,又來看一看《以撒》
[00:00:02.720 --> 00:00:04.920]  生命樹宣教網絡
[00:00:04.920 --> 00:00:06.720]  聖經人、聖經事
[00:00:06.720 --> 00:00:09.720]  講講聖經人物、聖經故事
[00:00:09.720 --> 00:00:12.600]  去認識更多
[00:00:12.600 --> 00:00:15.000]  敬拜更多背後的上主
[00:00:15.000 --> 00:00:18.920]  來到《赐福以撒》第五個故事
[00:00:18.920 --> 00:00:21.400]  這個故事是接續著上面的
[00:00:21.400 --> 00:00:23.000]  很有興趣
[00:00:23.000 --> 00:00:24.000]  看一看
[00:00:24.000 --> 00:00:26.000]  26章第23節
[00:00:26.000 --> 00:00:30.000]  《以撒》由那裡去別士巴
[00:00:30.000 --> 00:00:32.000]  由基拉爾去別士巴
[00:00:32.000 --> 00:00:34.000]  是一段路程
[00:00:34.000 --> 00:00:35.000]  頗遠的
[00:00:35.000 --> 00:00:36.000]  去別士巴
[00:00:36.000 --> 00:00:38.000]  別士巴這個地方大家聽過了
[00:00:38.000 --> 00:00:43.000]  當夜耶和華向他顯現
[00:00:43.000 --> 00:00:47.000]  「我是你父親阿伯拉罕的神
[00:00:47.000 --> 00:00:49.000]  不要懼怕
[00:00:49.000 --> 00:00:52.000]  因為我與你同在
[00:00:52.000 --> 00:00:53.000]  要似福給你
[00:00:53.000 --> 00:00:56.000]  並要為我僕人阿伯拉罕的緣故
[00:00:56.000 --> 00:00:59.000]  使你的後裔繁多」
[00:00:59.000 --> 00:01:03.000]  為什麼會去別士巴呢?
[00:01:03.000 --> 00:01:08.000]  在《創世記》這段經文並沒有特別解釋
[00:01:08.000 --> 00:01:12.000]  不過如果從早幾次的地圖去看
[00:01:12.000 --> 00:01:16.000]  是能夠看到基拉爾與別士巴是有一段距離的
[00:01:16.000 --> 00:01:18.000]  我推測
[00:01:18.000 --> 00:01:19.000]  我不知道
[00:01:19.000 --> 00:01:23.000]  我推測那段路程應該是一天的腳程
