
[00:00:00.000 --> 00:00:05.000]  今天我們信息的題目就是《佔理的文》
[00:00:05.000 --> 00:00:10.000]  我們要交通到的經文是在
[00:00:10.000 --> 00:00:16.000]  《貼沙羅迦後書》第二章十三節開始
[00:00:16.000 --> 00:00:20.000]  一直到第三章的第五節
[00:00:20.000 --> 00:00:23.000]  我們從這段《聖經》中間
[00:00:23.000 --> 00:00:28.000]  我們選幾件《聖經》、兩件《聖經》一起來讀
[00:00:28.000 --> 00:00:35.000]  我們要讀第二章的十六節到第十七節
[00:00:35.000 --> 00:00:44.000]  《貼沙羅迦後書》第二章十六節、十七節
[00:00:44.000 --> 00:00:48.000]  翻到以後請我們同聲來讀
[00:00:48.000 --> 00:00:50.000]  一起來
[00:00:50.000 --> 00:00:52.000]  但願我們主耶穌基督
[00:00:52.000 --> 00:01:01.000]  恩愛我們,開恩將永遠的安慰,並美好的盼望,賜給我們的父神
[00:01:01.000 --> 00:01:08.000]  安慰你們的心,並且在一切善行善業上兼顧你們
[00:01:08.000 --> 00:01:11.000]  我們《聖經》就讀這兩節
[00:01:11.000 --> 00:01:22.000]  其他的經文我們在一面在分享的時候一面會提到的
[00:01:22.000 --> 00:01:28.000]  所以我們在以上上面的幾章
[00:01:28.000 --> 00:01:34.000]  也講到主再來的有幾件事情是要發生的
[00:01:34.000 --> 00:01:36.000]  因爲當時的貼沙羅迦信徒
[00:01:36.000 --> 00:01:42.000]  他們就聽到有些人說主已經來到了
[00:01:42.000 --> 00:01:45.000]  所以他們就很驚慌
[00:01:45.000 --> 00:01:47.000]  因爲主如果已經來到了
[00:01:47.000 --> 00:01:49.000]  已經到了地上了
[00:01:49.000 --> 00:01:52.000]  怎麼他們還在患難跟逼迫當中呢?
[00:01:52.000 --> 00:01:55.000]  主怎麼也沒有救他們呢?
[00:01:55.000 --> 00:01:59.000]  所以他們就覺得是很害怕
[00:01:59.000 --> 00:02:04.000]  那麼主就藉着保羅寫給他們的信
[00:02:04.000 --> 00:02:10.000]  說在主來到以前必須有幾件事情要發生
[00:02:10.000 --> 00:02:14.000]  然後主才降臨到地上的
[00:02:14.000 --> 00:02:18.000]  這幾件事情就是我們這裏提到有三件事情
[00:02:18.000 --> 00:02:25.000]  是確定在這些事情發生以後主才降臨到地上
[00:02:25.000 --> 00:02:31.000]  那第一件事情就是在前書第四章所提到的
[00:02:31.000 --> 00:02:35.000]  當主降臨到地上以前
[00:02:35.000 --> 00:02:39.000]  死去的聖徒要先活
[00:02:39.000 --> 00:02:44.000]  活着還存留的聖徒就要被提
[00:02:44.000 --> 00:02:45.000]  要改變
[00:02:45.000 --> 00:02:49.000]  然後到空中與主相遇
[00:02:49.000 --> 00:02:51.000]  這是第一件事情
[00:02:51.000 --> 00:02:55.000]  這件事情要發生以後主才降臨到地上
[00:02:55.000 --> 00:03:02.000]  第二件事情就在後書第二章裏面提到的
[00:03:02.000 --> 00:03:07.000]  有離道反教的事情要發生
[00:03:07.000 --> 00:03:10.000]  主沒有降臨到地上以前
[00:03:10.000 --> 00:03:15.000]  地上是有很嚴重的離道反教
[00:03:15.000 --> 00:03:19.000]  雖然在地上的話一直是反對神
[00:03:19.000 --> 00:03:25.000]  意思有些人的話他不相信神而且跟神敵對的
[00:03:25.000 --> 00:03:29.000]  但是到末世主降臨到地上以前
[00:03:29.000 --> 00:03:33.000]  有更嚴重的離道反教的事情
[00:03:33.000 --> 00:03:39.000]  就是他們不但不信神而且極力的抵擋神
[00:03:39.000 --> 00:03:45.000]  製造一些理論一些學說來反對神
[00:03:45.000 --> 00:03:52.000]  而且要叫人離開基督徒離開基本的信仰
[00:03:52.000 --> 00:03:56.000]  就在末世的時候有很多這樣的事情發生
[00:03:56.000 --> 00:03:59.000]  會提倡一些自由
[00:03:59.000 --> 00:04:02.000]  一些放縱情慾
[00:04:02.000 --> 00:04:04.000]  各種的理論都會出現
[00:04:04.000 --> 00:04:07.000]  這是而且越來越嚴重
[00:04:07.000 --> 00:04:10.000]  直到主降臨到地上以前
[00:04:10.000 --> 00:04:13.000]  這個事情纔算過去
[00:04:13.000 --> 00:04:17.000]  第三件大的事情就是有大罪人
[00:04:17.000 --> 00:04:21.000]  有大罪人就是叫做不法的人
[00:04:21.000 --> 00:04:23.000]  不法就是犯罪
[00:04:23.000 --> 00:04:26.000]  這個人就是一個大罪人
[00:04:26.000 --> 00:04:29.000]  那麼就是我們所說的敵基督
[00:04:29.000 --> 00:04:33.000]  這樣的人要在地上顯露出來
[00:04:33.000 --> 00:04:35.000]  本來他是隱藏的
[00:04:35.000 --> 00:04:39.000]  各樣的思想各樣的學說
[00:04:39.000 --> 00:04:45.000]  各樣的作爲他們在地上散佈這些反對神的事情
[00:04:45.000 --> 00:04:50.000]  但是到有一天他要顯露出來
[00:04:50.000 --> 00:04:53.000]  他要在神的殿裏頭
[00:04:53.000 --> 00:04:58.000]  坐在神的殿裏頭自稱他是神
[00:04:58.000 --> 00:05:02.000]  那麼這個就是有個大罪人要顯露出來
[00:05:02.000 --> 00:05:04.000]  不是到那個時候纔有
[00:05:04.000 --> 00:05:09.000]  但是過去呢他是隱藏在一些事情一些人的後面
[00:05:09.000 --> 00:05:11.000]  但是到那個時候呢
[00:05:11.000 --> 00:05:16.000]  他就會自己出來說我就是神
[00:05:16.000 --> 00:05:19.000]  那麼這個就是要有這樣出現以後
[00:05:19.000 --> 00:05:22.000]  那麼主耶穌才降臨
[00:05:22.000 --> 00:05:27.000]  在降臨呢用他的榮光把他給消滅了
[00:05:27.000 --> 00:05:30.000]  所以至少有這三件事情
[00:05:30.000 --> 00:05:33.000]  所以這個保羅對他們說呢
[00:05:33.000 --> 00:05:35.000]  你們不要驚慌
[00:05:35.000 --> 00:05:38.000]  如果有人冒着我的名寫信給你們
[00:05:38.000 --> 00:05:40.000]  或者有什麼的說法
[00:05:40.000 --> 00:05:43.000]  如果這幾件事情不發生的話
[00:05:43.000 --> 00:05:47.000]  主耶穌還沒有降臨到地上
[00:05:47.000 --> 00:05:49.000]  那麼這個是對信徒說呢
[00:05:49.000 --> 00:05:52.000]  就是一個很大的一個安慰
[00:05:52.000 --> 00:05:55.000]  很好的一個認識
[00:05:55.000 --> 00:05:59.000]  在主耶穌的降臨以前
[00:05:59.000 --> 00:06:05.000]  當大罪人在猖狂的在活動的時候呢
[00:06:05.000 --> 00:06:09.000]  就看見這些跟隨離基督的人呢
[00:06:09.000 --> 00:06:11.000]  他要被定罪
[00:06:11.000 --> 00:06:15.000]  在第二章的前半章就說到
[00:06:15.000 --> 00:06:19.000]  他們的成倫呢是永遠的成倫
[00:06:19.000 --> 00:06:22.000]  而且呢到了這一段經文呢
[00:06:22.000 --> 00:06:26.000]  我們就要看到了跟隨基督的人怎麼樣呢
[00:06:26.000 --> 00:06:30.000]  就是在我們今天的信息裏頭要看到的
[00:06:30.000 --> 00:06:32.000]  上次我們所說到呢
[00:06:32.000 --> 00:06:36.000]  這些人呢跟隨着離基督的
[00:06:36.000 --> 00:06:38.000]  他們是怎麼樣的情況呢
[00:06:38.000 --> 00:06:40.000]  他們不愛真理
[00:06:40.000 --> 00:06:42.000]  他們不喜歡真理
[00:06:42.000 --> 00:06:45.000]  他們呢也不相信福音
[00:06:45.000 --> 00:06:51.000]  他們呢要去跟隨那些虛空的謊言
[00:06:51.000 --> 00:06:54.000]  因爲離基督會製造一些謊言
[00:06:54.000 --> 00:06:58.000]  這些謊言的話都是沒有根據的
[00:06:58.000 --> 00:07:01.000]  那麼如果人跟從他呢
[00:07:01.000 --> 00:07:06.000]  這結局呢就是要跟離基督一同的滅亡
[00:07:06.000 --> 00:07:09.000]  而且這是一個永遠的成倫
[00:07:09.000 --> 00:07:11.000]  不是暫時的死掉
[00:07:11.000 --> 00:07:14.000]  不是說暫時的受苦
[00:07:14.000 --> 00:07:18.000]  那就是在永遠裏頭跟神的面隔絕了
[00:07:18.000 --> 00:07:21.000]  他們在不在神的統戰當中
[00:07:21.000 --> 00:07:24.000]  這是一個永遠的成倫
[00:07:24.000 --> 00:07:27.000]  那麼我們到第二章
[00:07:27.000 --> 00:07:29.000]  我們今天要看的信息呢
[00:07:29.000 --> 00:07:32.000]  就要看到跟隨主的人
[00:07:32.000 --> 00:07:34.000]  跟隨基督的人
[00:07:34.000 --> 00:07:37.000]  他們的部分是什麼
[00:07:37.000 --> 00:07:41.000]  這個跟前面跟隨離基督的人
[00:07:41.000 --> 00:07:43.000]  做一個鮮明的對比
[00:07:43.000 --> 00:07:47.000]  他們跟不信的人是完全不同的
[00:07:47.000 --> 00:07:52.000]  今天我們就要看到跟隨基督的人
[00:07:52.000 --> 00:07:55.000]  他們在主來的時候
[00:07:55.000 --> 00:07:58.000]  是會有怎麼樣的情形
[00:07:58.000 --> 00:08:01.000]  所以從第四三節開始
[00:08:01.000 --> 00:08:05.000]  保羅就講到跟隨基督的人
