
[00:00:00.000 --> 00:00:02.000]  地洪姐妹平安
[00:00:02.000 --> 00:00:08.000]  在網路上我們一同敬拜讚美主的地洪姐妹朋友們再次歡迎大家
[00:00:08.000 --> 00:00:10.000]  很高興能夠進到你的家中
[00:00:10.000 --> 00:00:12.000]  跟你一同來敬拜讚美我們的主
[00:00:12.000 --> 00:00:14.000]  一起分享主的話語
[00:00:14.000 --> 00:00:18.000]  在這個充滿詐騙橫行的世代
[00:00:18.000 --> 00:00:20.000]  大家都會提高警惕
[00:00:20.000 --> 00:00:22.000]  免得受害
[00:00:22.000 --> 00:00:24.000]  我們真的需要聰明智慧
[00:00:24.000 --> 00:00:26.000]  還有辨別的能力
[00:00:26.000 --> 00:00:30.000]  所以當耶穌基督要拆派12個門徒出去傳道的時候
[00:00:30.000 --> 00:00:32.000]  祂也如此的提醒他們
[00:00:32.000 --> 00:00:36.000]  我拆請你們出去如同羊進入藍羣
[00:00:36.000 --> 00:00:38.000]  因此你們要臨巧向蛇
[00:00:38.000 --> 00:00:40.000]  順良向鴿子
[00:00:40.000 --> 00:00:42.000]  要臨巧向蛇
[00:00:42.000 --> 00:00:44.000]  順良向鴿子
[00:00:44.000 --> 00:00:46.000]  有一天老丈在開車的時候
[00:00:46.000 --> 00:00:48.000]  被警察停了下來
[00:00:48.000 --> 00:00:51.000]  警察從他的窗口裏面聞到酒精味
[00:00:51.000 --> 00:00:54.000]  看到他座位旁邊有一個水壺
[00:00:54.000 --> 00:00:57.000]  就問老丈說你在喝什麼
[00:00:57.000 --> 00:01:00.000]  老丈就回答說我在喝水啊
[00:01:00.000 --> 00:01:03.000]  然後警察就問他可不可以給他水壺讓我看一看
[00:01:03.000 --> 00:01:06.000]  當警察打開水壺聞了一下
[00:01:06.000 --> 00:01:08.000]  就聞到有酒精味
[00:01:08.000 --> 00:01:11.000]  就對老丈說我聞到有酒精味啊
[00:01:11.000 --> 00:01:13.000]  這時候老丈就非常鎮定
[00:01:13.000 --> 00:01:15.000]  冷靜地回答說
[00:01:15.000 --> 00:01:17.000]  你知道嗎
[00:01:17.000 --> 00:01:21.000]  耶穌又在行神蹟了
[00:01:21.000 --> 00:01:27.000]  告訴旁邊的人說要臨巧向蛇順良向鴿子
[00:01:27.000 --> 00:01:32.000]  是的我們要臨巧向蛇順良向鴿子
[00:01:32.000 --> 00:01:37.000]  但是靠着我們自己我們很難真的是臨巧向蛇一樣
[00:01:37.000 --> 00:01:40.000]  我們需要神給我們智慧神給我們聰明
[00:01:40.000 --> 00:01:44.000]  因此我們需要來到神的面前來尋求
[00:01:44.000 --> 00:01:46.000]  清淨我們的主
[00:01:46.000 --> 00:01:48.000]  因爲這個世代的人他們要看到的是
[00:01:48.000 --> 00:01:50.000]  真實的信仰如何影響我們的生命
[00:01:50.000 --> 00:01:52.000]  不是頭腦上的知識
[00:01:52.000 --> 00:01:55.000]  頭腦上的知識到處都可以找到
[00:01:55.000 --> 00:01:59.000]  但是真實的信仰會帶來影響力和吸引力
[00:01:59.000 --> 00:02:01.000]  因此今天早上跟大家一起思想
[00:02:01.000 --> 00:02:04.000]  我們如何能夠活出更新變化的生命
[00:02:04.000 --> 00:02:08.000]  好那我們的生命能夠成爲多人的祝福的管道
[00:02:08.000 --> 00:02:10.000]  我們先來看羅馬書第十二章
[00:02:10.000 --> 00:02:12.000]  第一節第二節我們非常熟悉的經文
[00:02:12.000 --> 00:02:14.000]  我們一起來唸來
[00:02:14.000 --> 00:02:18.000]  所以弟兄們我以神的慈悲勸你們
[00:02:18.000 --> 00:02:21.000]  將身體線上當作活跡
[00:02:21.000 --> 00:02:24.000]  是聖潔的是神所喜悅的
[00:02:24.000 --> 00:02:28.000]  你們如此侍奉乃是理所當然的
[00:02:28.000 --> 00:02:30.000]  不要笑發這個世界
[00:02:30.000 --> 00:02:33.000]  只要心意更新而變化
