
[00:00:00.000 --> 00:00:02.640]  下一站幸福的 講到系列的第五堂
[00:00:02.640 --> 00:00:05.200]  那麼在第一堂的時候 我講過這個系列
[00:00:05.200 --> 00:00:07.500]  總共有八堂 第一堂是introduction
[00:00:07.500 --> 00:00:11.040]  那接下來的 還有七堂 我們會從
[00:00:11.040 --> 00:00:14.920]  人生的七個不同的層面 來討論說我們下一站
[00:00:14.920 --> 00:00:18.060]  人生的下一站 怎麼樣可以走得能夠更加
[00:00:18.060 --> 00:00:18.640]  的幸福
[00:00:18.640 --> 00:00:22.080]  那麼在第二堂的時候 我們分享了有壓力
[00:00:22.080 --> 00:00:25.180]  第三堂講的 你要跟天賦有親密的關係
[00:00:25.180 --> 00:00:26.420]  那上禮拜
[00:00:27.340 --> 00:00:30.000]  我們講了人生一個很重要的層面
[00:00:30.000 --> 00:00:33.520]  就是我們的心事意念的層面 那麼今天我們
[00:00:33.520 --> 00:00:37.040]  會繼續來講下一個層面 那就是情緒
[00:00:37.040 --> 00:00:41.080]  怎麼樣去處理我們一些很負面的情緒
[00:00:41.080 --> 00:00:44.380]  我想不用多說 大家也知道為什麼情緒會影響
[00:00:44.380 --> 00:00:46.420]  我們下一站是否走得幸福
[00:00:46.420 --> 00:00:48.300]  跟前面所謂的壓力
[00:00:48.300 --> 00:00:52.660]  人際關係比起來 可能情緒更加直接的影響
[00:00:52.660 --> 00:00:56.180]  我們的下一站怎麼樣走得幸福 那麼今天跟
[00:00:56.180 --> 00:01:00.000]  兩方面跟大家分享 第一方面就是我們先談談
[00:01:00.000 --> 00:01:04.220]  控制負面情緒 它的重要性到底在什麼地方
[00:01:04.220 --> 00:01:08.480]  我們知道上禮拜說過我們有大腦
[00:01:08.480 --> 00:01:10.240]  有些人有啊
[00:01:10.240 --> 00:01:12.920]  有大腦 我們會思考
[00:01:12.920 --> 00:01:17.320]  但同時我們也有情緒 就是有時候你的思考
[00:01:17.320 --> 00:01:20.720]  跟你的情緒 就是心裡面所感受到的情緒
[00:01:20.720 --> 00:01:23.920]  其實是不一致的 這是第一個問題
[00:01:24.560 --> 00:01:27.760]  這就是為什麼 第一個原因為什麼我們需要來
[00:01:27.760 --> 00:01:31.080]  處理情緒的問題 如果我們的情緒
[00:01:31.080 --> 00:01:34.800]  就心裡面想到的情緒 感受到的那種的感受
[00:01:34.800 --> 00:01:38.860]  是跟你腦海裡面想的是一樣的 那問題
[00:01:38.860 --> 00:01:42.360]  就不大 可是人生第一個遇到最大的困難
[00:01:42.360 --> 00:01:46.320]  就是 往往我們大腦透過思考 想到的東西
[00:01:46.320 --> 00:01:50.600]  跟我們心裡面想到的那個感覺 往往
[00:01:50.600 --> 00:01:54.040]  是相互矛盾的 這是第一個很嚴重的問題
[00:01:54.800 --> 00:01:57.080]  比方說有時候你在小組遇到一個人
[00:01:57.080 --> 00:01:59.640]  或者你在公司遇到一些人
[00:01:59.640 --> 00:02:03.400]  你的大腦告訴你說 聖經說要愛人嘛
[00:02:03.400 --> 00:02:06.160]  對不對 雖然他蠻討厭的 但不過
[00:02:06.160 --> 00:02:09.440]  聖經說既然主耶穌我這麼討厭 主耶穌也愛我啦
[00:02:09.440 --> 00:02:11.040]  那既然他討厭也應該愛他
[00:02:11.040 --> 00:02:13.600]  你大腦不斷告訴你這個信息
[00:02:13.600 --> 00:02:16.520]  可是你的心的感受出賣了你
[00:02:16.520 --> 00:02:19.520]  你看到那個人就有那種很厭倦的感覺
[00:02:19.520 --> 00:02:21.240]  我沒辦法受得了這個人
[00:02:21.720 --> 00:02:25.320]  我大腦告訴自己說要愛他 要接納他
[00:02:25.320 --> 00:02:28.320]  可是我一看到他的時候 真的是無名火起
[00:02:28.320 --> 00:02:32.440]  所以那種感覺是你沒有辦法去迴避
[00:02:32.440 --> 00:02:35.120]  你也沒有辦法去說 騙自己說
[00:02:35.120 --> 00:02:37.160]  我就是從心裡面覺得這個人可愛
[00:02:37.160 --> 00:02:39.040]  你也不需要騙自己
[00:02:39.040 --> 00:02:42.680]  所以很多時候你發現你大腦想的 應該怎麼做
[00:02:42.680 --> 00:02:47.080]  可是你的心能夠感受到的情緒 往往是相反的
[00:02:47.080 --> 00:02:48.880]  那這是第一個很嚴重的問題
[00:02:49.320 --> 00:02:52.320]  有時候是反過來 就是經過多年的教育
[00:02:52.320 --> 00:02:54.920]  而是你父母經過多年對你的洗腦
[00:02:54.920 --> 00:02:59.200]  你知道說有一些的人 你不應該跟他走得太近
[00:02:59.200 --> 00:03:02.920]  特別是那種壞壞的男生 bad boy
[00:03:02.920 --> 00:03:08.000]  但是也不知道為什麼 壞壞的男生就總是長得帥帥的
[00:03:08.000 --> 00:03:12.760]  雖然你大腦告訴自己說 這個人不要太接近
[00:03:12.760 --> 00:03:14.360]  因為跟他走太近的話
[00:03:14.360 --> 00:03:18.160]  萬一我愛上他的話 我跟這個人是沒有將來的
[00:03:19.040 --> 00:03:22.880]  可是你碰到他的時候 奇怪 你的心也出賣了你
[00:03:22.880 --> 00:03:25.880]  你就看到這種 bad boy 的時候
[00:03:25.880 --> 00:03:28.000]  你的心跳就加速
[00:03:28.000 --> 00:03:30.520]  你沒見他兩天就想他
[00:03:30.520 --> 00:03:32.640]  你的心就被他俘虜了
[00:03:32.640 --> 00:03:35.240]  你的頭腦告訴你不要愛他
[00:03:35.240 --> 00:03:37.040]  你的心出賣了你
[00:03:37.040 --> 00:03:40.800]  所以這是我們人 所有的人
[00:03:40.800 --> 00:03:43.680]  都會面對的一個最難搞的問題
[00:03:43.680 --> 00:03:47.440]  那就是你大腦的想法告訴你 我應該怎麼做
[00:03:48.200 --> 00:03:50.880]  但往往你的心告訴你 不是這樣
[00:03:50.880 --> 00:03:54.440]  你的大腦想的是東 你的心說往西走吧
[00:03:54.440 --> 00:03:59.080]  你大腦說往西走比較好 你的心卻說往東比較好
[00:03:59.080 --> 00:04:01.400]  所以第一個 這是一個問題
