
[00:00:00.000 --> 00:00:05.760]  今天在復活節,應該跟大家講一個有關復活節的訊息,
[00:00:05.760 --> 00:00:12.560]  但我又隨即想到去年英文堂退休會,他們的主題是什麼?
[00:00:12.560 --> 00:00:15.060]  是「三位一體的神」。
[00:00:15.060 --> 00:00:17.560]  所以我想想,咦,都挺好啊!
[00:00:17.560 --> 00:00:22.060]  在這個復活節,跟大家講一個有關「三位一體」的訊息,
[00:00:22.060 --> 00:00:29.760]  幫助我們能夠更加認識這一位為我們的救贖而死而復活的耶穌基督。
[00:00:29.760 --> 00:00:32.760]  我給他的題目是什麼?
[00:00:32.760 --> 00:00:37.260]  「不相信三位一體的神能得救嗎?」
[00:00:37.260 --> 00:00:42.760]  我相信這是一個很多人都希望知道的答案。
[00:00:42.760 --> 00:00:51.760]  在結束的時候,我會回來解答,究竟我們不相信三位一體的神能不能夠得救呢?
[00:00:51.760 --> 00:00:58.760]  首先,三位一體這個神學的教義,是非常之重要的教義。
[00:00:58.760 --> 00:01:05.760]  但是很可惜,很多人都不明白,甚至連基督徒都不例外。
[00:01:05.760 --> 00:01:12.260]  有很多非基督徒,例如回教徒、耶和華、尖精人,就更加不用說。
[00:01:12.260 --> 00:01:15.760]  他們根本不相信三位一體的神。
[00:01:15.760 --> 00:01:22.760]  他們也會指出,在聖經裡面根本沒有三位一體的字眼。
[00:01:22.760 --> 00:01:30.760]  但是我們要知道,在聖經裡面有很多很重要的神學思想,都是沒有那個字眼的。
[00:01:30.760 --> 00:01:36.760]  我只需要舉一個很簡單的例子,在聖經裡面有沒有主土文?
[00:01:36.760 --> 00:01:45.760]  絕對有,在《馬太福音》第六章,《路加福音》第十一章,耶穌基督教我們怎樣來禱告。
[00:01:45.760 --> 00:01:51.260]  但是你在聖經裡面,你永遠找不到主土文這三個字。
[00:01:51.260 --> 00:01:55.760]  這個就是一個例子。三位一體的神都是一樣。
[00:01:55.760 --> 00:02:02.260]  聖經裡面滿有三位一體的教導,但是沒有三位一體這幾個字。
[00:02:02.260 --> 00:02:06.260]  那在哪裡能夠見到有三位一體的神呢?
[00:02:06.260 --> 00:02:12.760]  我們很熟悉的大使命,在《馬太福音》的二十八章,十九至二十節:
[00:02:12.760 --> 00:02:29.260]  "所以你們要去使萬民作我的門徒,奉父子聖靈的名給他們施洗。凡我所吩咐你們的,都教訓他們遵守,我就常與你們同在,直到世界的末了。"
[00:02:29.260 --> 00:02:36.260]  有沒有看到?是奉父子聖靈的名為他們施洗,這個就是三位一體的神。
[00:02:36.260 --> 00:02:56.760]  還有呢,在高林多前書的十二章四至六節:"因是,緣有分別。聖靈卻是一位,職是也有分別。主卻是一位,公用也有分別。神卻是一位,在眾人裡面運行一切的事。"
[00:02:56.760 --> 00:03:04.760]  有沒有看到?一位的神,一位的主,還有一位的聖靈,就是三位一體的神。
[00:03:04.760 --> 00:03:26.760]  在二筆所書的四章四至六節:"身體只有一個,聖靈只有一個。正如你們蒙照同有一個指望,一主一信一洗一神,就是眾人的父,超乎眾人之上,貫乎眾人之中,也住在眾人之內。"
[00:03:26.760 --> 00:03:41.260]  又是講到聖靈只有一個,一主一神,還講得很清楚這位神是誰,就是眾人之父,是天父。所以,給我們看到三位一體的神。
[00:03:41.260 --> 00:03:52.760]  還有一節的經文是我時時都會用的,就是在雪徑拜之後,我都會用這節經文來祝福大家,就是高林多後書的十三章十四節:
[00:03:52.760 --> 00:04:01.260]  "願主耶穌基督的恩惠,神的慈愛,聖靈的感動,常與你們眾人同在,直到永遠。"
[00:04:01.260 --> 00:04:08.260]  有沒有看到這裡已經講了三位一體的神,是有不同信徒的關係。
[00:04:08.260 --> 00:04:13.260]  耶穌基督的恩惠,神的慈愛,聖靈的感動。
[00:04:13.260 --> 00:04:24.760]  稍後我們會深入地來看這個經文。有人會說:"牧師,你讀的這些經文全部都是新約的。"
[00:04:24.760 --> 00:04:32.760]  這個三位一體的玩意,是不是新約的使徒作出來的?舊約都沒有講到。
[00:04:32.760 --> 00:04:38.760]  不是的,舊約都有的。我們可以看看舊約三位一體的教導。
[00:04:38.760 --> 00:04:45.760]  首先我們從神的名字來看,我們可以先從一體來著手。
[00:04:45.760 --> 00:04:54.260]  三位一體,一體的部分,相信所有的回教徒、耶和華見證人都會同意的。
[00:04:54.260 --> 00:05:00.760]  一體的神,一位的神。這個亦是在《新命記》第六章第四節所講的:
[00:05:00.760 --> 00:05:06.760]  "以色列,你要聽!耶和華,我們的神是獨一的主。"
[00:05:06.760 --> 00:05:13.760]  那你說這就是了。是獨一的主,你的基督徒搞出三位一體。
[00:05:13.760 --> 00:05:22.260]  你知不知道這個"一"字,獨一的"一"字,可以解釋為和諧,可以解釋為合一。
[00:05:22.260 --> 00:05:27.760]  在《以塞亞書》第四十三章、四十四章及四十五章,
[00:05:27.760 --> 00:05:34.760]  《以塞亞先知》亦有提醒我們:"除他以外,別無真神。"
[00:05:34.760 --> 00:05:41.760]  聖經清楚告訴我們,有一位神,他的名字就是耶和華。
[00:05:41.760 --> 00:05:50.760]  耶和華這個名字在希伯來文,是由四個子音組成,就是 YHWH。
[00:05:50.760 --> 00:05:56.260]  這個字在聖經裏面,一共出現超過五千五百次。
[00:05:56.260 --> 00:06:00.760]  猶太人是很怕讀這個字的,因為這個字很神聖。
[00:06:00.760 --> 00:06:07.760]  所以他們害怕,如果他們說出來讀的時候,就會觸犯了十誡裏面哪一條呢?
[00:06:07.760 --> 00:06:11.760]  第三誡不可妄清神的命。
[00:06:11.760 --> 00:06:13.760]  所以他們不敢讀。
[00:06:13.760 --> 00:06:20.260]  但是猶太人寫希伯來文的時候,他們只寫子音,不寫母音。
[00:06:20.260 --> 00:06:24.260]  所以你不讀、不讀,慢慢你就不會讀。
[00:06:24.260 --> 00:06:35.760]  看到你的 YHWH 怎麼讀?後來就有拉比,是將希伯來文裏面的主這個字 "Adonai",
[00:06:35.760 --> 00:06:42.760]  裏面的母音加上 YHWH 裏面的子音,就變成了什麼?
[00:06:42.760 --> 00:06:46.760]  耶和華, Jehovah 或者是 Jehovah。
[00:06:46.760 --> 00:06:49.760]  所以就有了耶和華這個讀音。
[00:06:49.760 --> 00:06:57.260]  但是其實我相信真正的讀音應該是 "Yahweh",而不是耶和華。
[00:06:57.260 --> 00:07:00.260]  我們講了一體的部分。
