
[00:00:00.000 --> 00:00:02.000]  鳳主明,問候弟兄姊妹平安
[00:00:02.000 --> 00:00:04.000]  鳳主,問候弟兄姊妹平安
[00:00:04.000 --> 00:00:11.000]  我和大家一起來讀獵王記下第五章《賴蠻求醫》的故事
[00:00:11.000 --> 00:00:16.000]  我和大家一起讀獵王記下《賴蠻求醫》的故事
[00:00:16.000 --> 00:00:21.000]  這個故事給我很多反省
[00:00:21.000 --> 00:00:23.000]  這個故事給我很多反省
[00:00:23.000 --> 00:00:27.000]  我今天一路不斷想這個故事的發展
[00:00:27.000 --> 00:00:30.000]  我一直不停地思考這個故事的發展
[00:00:30.000 --> 00:00:35.000]  這個故事擺在聖經上對我們有什麼訊息呢?
[00:00:35.000 --> 00:00:39.000]  這個故事擺在聖經上對我們有什麼訊息呢?
[00:00:39.000 --> 00:00:42.000]  於是我用現代人的想法
[00:00:42.000 --> 00:00:44.000]  我用現代人的想法
[00:00:44.000 --> 00:00:49.000]  上次我們已經看到賴蠻聽了以利沙的話
[00:00:49.000 --> 00:00:52.000]  去約旦河沖涼七次
[00:00:52.000 --> 00:00:57.000]  上次我們已經看到賴蠻聽了以利沙的話
[00:00:57.000 --> 00:01:00.000]  去約旦河沖涼七次
[00:01:00.000 --> 00:01:04.000]  七次之後,賴蠻起來的時候
[00:01:04.000 --> 00:01:07.000]  賴蠻的肉已經復原了
[00:01:07.000 --> 00:01:09.000]  好像小孩子一樣嫩滑
[00:01:09.000 --> 00:01:09.000]  賴蠻的肉已經復原了
[00:01:09.000 --> 00:01:09.000]  賴蠻的肉已經復原了
[00:01:09.000 --> 00:01:09.000]  賴蠻的肉已經復原了
[00:01:09.000 --> 00:01:09.000]  賴蠻的肉已經復原了
[00:01:09.000 --> 00:01:09.000]  賴蠻的肉已經復原了
[00:01:09.000 --> 00:01:09.000]  賴蠻的肉已經復原了
[00:01:09.000 --> 00:01:09.000]  賴蠻的肉已經復原了
[00:01:09.000 --> 00:01:09.000]  賴蠻的肉已經復原了
[00:01:09.000 --> 00:01:09.000]  賴蠻的肉已經復原了
[00:01:09.000 --> 00:01:09.000]  賴蠻的肉已經復原了
[00:01:09.000 --> 00:01:23.000]  賴蠻的肉已經復原了
[00:01:23.000 --> 00:01:26.000]  如果當時有明報和星島日報會怎樣記載呢?
[00:01:26.000 --> 00:01:26.000]  如果當時有明報和星島日報會怎樣記載呢?
[00:01:26.000 --> 00:01:32.000]  如果當時有明報和星島日報會怎樣記載呢?
[00:01:32.000 --> 00:01:35.000]  我當明報是以色列人
[00:01:35.000 --> 00:01:40.000]  我當明報是以色列人
[00:01:40.000 --> 00:01:45.000]  敵軍將領來我國求醫
[00:01:45.000 --> 00:01:45.000]  敵軍將領來我國求醫
