
[00:00:00.000 --> 00:00:02.960]  已經很接近聖誕節的時候
[00:00:02.960 --> 00:00:04.440]  不知道大家有沒有留意
[00:00:04.440 --> 00:00:07.040]  在很多的傳媒 各種的傳媒
[00:00:07.040 --> 00:00:10.680]  心機呀 或者是一些雜誌呀
[00:00:10.680 --> 00:00:12.720]  都很喜歡講一個
[00:00:12.720 --> 00:00:16.840]  在這個時候很熱門的話題
[00:00:16.840 --> 00:00:19.120]  大家猜不猜得到是什麼話題呢
[00:00:19.120 --> 00:00:21.120]  或者有沒有聽到呢
[00:00:21.120 --> 00:00:25.440]  這個話題就是
[00:00:25.440 --> 00:00:28.120]  聖誕節的主角究竟是誰
[00:00:28.120 --> 00:00:31.400]  剛才Candy和Max
[00:00:31.400 --> 00:00:33.600]  他們令我們唱最後那首歌
[00:00:33.600 --> 00:00:36.200]  不是講到主角是誰
[00:00:36.200 --> 00:00:37.200]  現在這個節日裏面
[00:00:37.200 --> 00:00:39.560]  究竟主角是誰我們知不知道呢
[00:00:39.560 --> 00:00:44.320]  很可惜不是很多人知道
[00:00:44.320 --> 00:00:46.400]  當然如果在教會我們問大家
[00:00:46.400 --> 00:00:48.720]  你知不知道聖誕節的主角是誰
[00:00:48.720 --> 00:00:50.520]  那很自然很應該
[00:00:50.520 --> 00:00:53.600]  大家都懂得回答是GSO
[00:00:53.600 --> 00:00:56.040]  但是如果你走出街
[00:00:56.040 --> 00:00:57.320]  去到商場
[00:00:57.320 --> 00:00:59.240]  甚至回到學校也好
[00:00:59.240 --> 00:01:03.960]  你問一下聖誕節的主角是誰呢
[00:01:03.960 --> 00:01:07.320]  你會發覺很多人會回答是聖誕老人
[00:01:07.320 --> 00:01:10.120]  因為這個的確是現在
[00:01:10.120 --> 00:01:11.280]  這個潮流
[00:01:11.280 --> 00:01:15.960]  無論是反基督教的這種風氣
[00:01:15.960 --> 00:01:22.560]  或者是商業的物質主義的風氣
[00:01:22.560 --> 00:01:26.440]  都是去帶領大家
[00:01:26.440 --> 00:01:28.080]  帶領這個社會的人去想
[00:01:28.080 --> 00:01:32.320]  聖誕節是聖誕老人的節日
