
[00:00:00.000 --> 00:00:03.080]  今天我要跟大家分享的新詞
[00:00:03.080 --> 00:00:05.880]  就是《情感健康的時代見證》
[00:00:05.880 --> 00:00:09.760]  現在我把我的螢幕分享出來
[00:00:09.760 --> 00:00:12.040]  大家看到嗎
[00:00:12.040 --> 00:00:13.560]  看到
[00:00:13.560 --> 00:00:14.840]  看到
[00:00:14.840 --> 00:00:17.660]  讓我來
[00:00:17.660 --> 00:00:22.280]  示範一個題目
[00:00:22.280 --> 00:00:26.120]  這個題目就是《情感健康的時代見證》
[00:00:26.120 --> 00:00:29.960]  我們在加勒泰書裏面的第五章
[00:00:29.960 --> 00:00:30.720]  我們看到
[00:00:30.720 --> 00:00:35.340]  我們在加勒泰書第五章第一節
[00:00:35.340 --> 00:00:36.880]  我們看到的就是
[00:00:36.880 --> 00:00:38.920]  基督釋放了我們
[00:00:38.920 --> 00:00:42.000]  爲了要使我們得自由
[00:00:42.000 --> 00:00:44.300]  所以你們要暫緩
[00:00:44.300 --> 00:00:49.160]  不要再被勞不得的威脅控制
[00:00:49.160 --> 00:00:54.540]  這個就是我們在聖經的經一一本里面的一個表達
[00:00:54.540 --> 00:00:57.360]  我們在聖經裏面我們看到
[00:00:57.620 --> 00:01:00.700]  我們有一個另外一個英文的譯本
[00:01:00.700 --> 00:01:03.260]  這是神的話語的譯本
[00:01:03.260 --> 00:01:07.600]  這個譯本是比較新一點的
[00:01:07.600 --> 00:01:10.160]  他們就是從原文裏面
[00:01:10.160 --> 00:01:12.220]  的意思再找出來
[00:01:12.220 --> 00:01:14.000]  他們在用英文
[00:01:14.000 --> 00:01:17.340]  在一個四方一點的角度去看
[00:01:17.340 --> 00:01:19.640]  我們就看到他們這樣說
[00:01:19.640 --> 00:01:22.720]  容許我用英語念出來
[00:01:22.720 --> 00:01:24.760]  Christ has freed us
[00:01:24.760 --> 00:01:27.060]  so that we may enjoy
[00:01:27.320 --> 00:01:31.160]  Enjoy這個字就是表達一種感受的
[00:01:31.160 --> 00:01:32.940]  這是我們要
[00:01:32.940 --> 00:01:33.960]  享受
[00:01:33.960 --> 00:01:35.240]  我們要享受
[00:01:35.240 --> 00:01:37.560]  The benefits of freedom
[00:01:37.560 --> 00:01:39.340]  享受在神
[00:01:39.340 --> 00:01:41.900]  自由的這一個福利裏面
[00:01:41.900 --> 00:01:43.700]  這個是福音
[00:01:43.700 --> 00:01:46.760]  福音裏面就帶着一種自由
[00:01:46.760 --> 00:01:52.140]  這種自由就把我們從一個勞不得裏面的釋放
[00:01:52.660 --> 00:01:58.300]  但是這一方面很多時候我們會好像一些
[00:01:58.300 --> 00:02:01.620]  動物一樣好像一頭豬
[00:02:01.620 --> 00:02:04.700]  那個豬他們的就是
[00:02:04.700 --> 00:02:07.260]  我們把他洗得乾乾淨淨了
[00:02:07.260 --> 00:02:13.400]  他們總是喜歡跑到那個泥沼裏面再打個圈打個滾
[00:02:13.400 --> 00:02:16.480]  然後就再把自己弄骯髒
[00:02:16.480 --> 00:02:18.260]  所以我們就看到了
[00:02:18.260 --> 00:02:21.340]  我們的人生裏面也有一種的罪聖
[00:02:21.840 --> 00:02:24.900]  這種罪聖就把我們的人從一種
[00:02:24.900 --> 00:02:29.260]  本來是自由的生命的福利的狀態裏面
[00:02:29.260 --> 00:02:35.400]  把我們從拿到回到原來的一種受剋制
[00:02:35.400 --> 00:02:39.760]  受控制的沒有失去自由的情況裏面
[00:02:39.760 --> 00:02:41.800]  所以這裏
[00:02:41.800 --> 00:02:44.360]  要求我們要be firm
[00:02:44.360 --> 00:02:46.420]  我們要站立得穩
[00:02:46.420 --> 00:02:50.760]  這個中文譯本就是說站立得穩
[00:02:51.280 --> 00:02:55.620]  我們要在這個自由的真理裏面站立得穩
[00:02:55.620 --> 00:03:00.240]  但是這個自由的真理跟我們這個時代有什麼關係呢
[00:03:00.240 --> 00:03:03.300]  我們看到的是情感的健康
[00:03:03.300 --> 00:03:04.580]  在這個時代
[00:03:04.580 --> 00:03:08.940]  就是在我們每一個基督徒的人生裏面也是很重要
[00:03:08.940 --> 00:03:13.540]  很多時候我們不知道聖經是怎麼樣教導的
[00:03:13.540 --> 00:03:16.100]  教會里面的教訓是怎麼樣的
[00:03:16.100 --> 00:03:19.180]  我們也希望自己很高的標準
[00:03:19.700 --> 00:03:22.520]  但是我們就沒有哪一種健康的狀況
[00:03:22.520 --> 00:03:24.560]  特別是那個情緒
[00:03:24.560 --> 00:03:25.580]  情感的
[00:03:25.580 --> 00:03:27.120]  健康的狀況
[00:03:27.120 --> 00:03:29.420]  去爲主做美好的見證
[00:03:29.420 --> 00:03:30.960]  我們常常都是說
[00:03:30.960 --> 00:03:35.060]  哎呀我剛纔罵了一個人
[00:03:35.060 --> 00:03:37.880]  我真的很氣了很憤怒啊
[00:03:37.880 --> 00:03:38.900]  所以我罵他
[00:03:38.900 --> 00:03:40.700]  哎我死了見證哦
[00:03:40.700 --> 00:03:46.060]  這個就是情感怎麼樣把我們爲主做見證的能力
[00:03:46.060 --> 00:03:47.100]  奪去
[00:03:48.120 --> 00:03:51.440]  所以我們在這個時代裏面我們需要面對的
[00:03:51.440 --> 00:03:52.980]  就是Enjoy
[00:03:52.980 --> 00:03:54.520]  The Benefit of Freedom
[00:03:54.520 --> 00:04:00.660]  我們要享受神給我們在信仰裏面在福音裏面的一份
[00:04:00.660 --> 00:04:01.440]  自由
[00:04:01.440 --> 00:04:04.760]  這份是神給我們的福分
[00:04:04.760 --> 00:04:05.780]  福利
[00:04:05.780 --> 00:04:08.340]  這個免費的一個
[00:04:08.340 --> 00:04:09.120]  Freedom
[00:04:09.120 --> 00:04:13.460]  所以我們今天我們要從聖經裏面去看
[00:04:13.720 --> 00:04:18.580]  神是怎麼樣把這份自由釋放的健康
[00:04:18.580 --> 00:04:21.140]  情感健康的生命救給我們
[00:04:21.140 --> 00:04:25.240]  讓我們在這個時代能夠爲主做美好的見證
[00:04:25.240 --> 00:04:30.360]  因爲耶穌教導我們我們你們要去普天之下
[00:04:30.360 --> 00:04:32.660]  爲我做見證
[00:04:32.660 --> 00:04:36.240]  所以做耶穌見證我們需要把自己的
[00:04:36.240 --> 00:04:38.800]  情感健康維持的好
[00:04:38.800 --> 00:04:43.160]  我們就能夠一生做主美好的情感的見證
[00:04:43.920 --> 00:04:46.480]  我們從聖經裏面我們看到了就是
[00:04:46.480 --> 00:04:47.520]  我們
[00:04:47.520 --> 00:04:49.560]  聖經裏面有
[00:04:49.560 --> 00:04:51.860]  從創世紀
[00:04:51.860 --> 00:04:53.140]  到啓示錄
[00:04:53.140 --> 00:04:55.700]  總共有66卷書
[00:04:55.700 --> 00:05:00.060]  這個我們每一次我來講到差不多也是提到的
[00:05:00.060 --> 00:05:05.180]  我看看弟兄姐妹你們有沒有可以告訴我
[00:05:05.180 --> 00:05:06.960]  有哪66卷書啊
[00:05:06.960 --> 00:05:08.760]  這66卷書呢
[00:05:08.760 --> 00:05:10.300]  總共就是有
[00:05:10.300 --> 00:05:12.860]  創出立文生
[00:05:13.360 --> 00:05:14.640]  蘇氏的
[00:05:14.640 --> 00:05:16.180]  大象下
[00:05:16.180 --> 00:05:17.460]  王上的
[00:05:17.460 --> 00:05:18.480]  大象下
[00:05:18.480 --> 00:05:20.020]  拉里氏
[00:05:20.020 --> 00:05:22.320]  拜斯真傳歌
[00:05:22.320 --> 00:05:25.140]  賽爺挨戒彈
[00:05:25.140 --> 00:05:26.680]  何以摸
[00:05:26.680 --> 00:05:27.700]  額拉里
[00:05:27.700 --> 00:05:28.720]  孔太歡
[00:05:28.720 --> 00:05:30.000]  蓋亞
[00:05:30.000 --> 00:05:30.780]  對嗎
[00:05:30.780 --> 00:05:34.100]  大家可以幫我一起去找出
[00:05:34.100 --> 00:05:37.420]  新約裏面哪27卷書嗎
[00:05:37.420 --> 00:05:39.980]  裏面還有就是
[00:05:39.980 --> 00:05:43.060]  太可錄樂圖
[00:05:43.560 --> 00:05:46.120]  羅蘭林前後
[00:05:46.120 --> 00:05:48.680]  拉里氏
[00:05:48.680 --> 00:05:50.740]  還有什麼
[00:05:50.740 --> 00:05:54.840]  我們就是羅蘭前後
[00:05:54.840 --> 00:05:57.140]  加菲菲斯
[00:05:57.140 --> 00:06:01.740]  貼前後提前後
[00:06:01.740 --> 00:06:04.560]  還有就是
[00:06:04.560 --> 00:06:07.380]  多門萊雅
[00:06:07.380 --> 00:06:10.440]  比前後
[00:06:11.720 --> 00:06:13.780]  猶大書還有就是啓示錄
[00:06:13.780 --> 00:06:15.320]  27卷書
[00:06:15.320 --> 00:06:18.380]  27卷的新約裏頭呢
