
[00:00:00.000 --> 00:00:04.360]  讀一段聖經在世世紀第四章第一到第八節
[00:00:04.360 --> 00:00:05.520]  我來唸
[00:00:05.520 --> 00:00:07.200]  這裏說以護使後
[00:00:07.200 --> 00:00:10.880]  以色列又行耶和華眼中看爲惡的事
[00:00:10.880 --> 00:00:16.040]  耶和華就把他們賦予在下所做王的加萊王耶賓手中
[00:00:16.040 --> 00:00:17.800]  他的將軍是希西拉
[00:00:17.800 --> 00:00:20.560]  駐在外邦人的夏羅瑟
[00:00:20.560 --> 00:00:22.840]  耶賓王有鐵車九百輛
[00:00:22.840 --> 00:00:25.320]  他大大欺壓以色列人二十年
[00:00:25.320 --> 00:00:27.920]  以色列人就呼求耶和華
[00:00:27.920 --> 00:00:30.920]  有位女宣知名叫蒂波拉是拉比多的妻
[00:00:30.920 --> 00:00:33.280]  當時做以色列的誓師
[00:00:33.280 --> 00:00:36.760]  她住在以法聯三地拉瑪跟伯特利中間
[00:00:36.760 --> 00:00:38.640]  在蒂波拉的宗宿下
[00:00:38.640 --> 00:00:41.960]  以色列人都上她那裏去聽判斷
[00:00:41.960 --> 00:00:47.240]  她打發人從拿佛塔利的基底師將亞比羅安的兒子巴拉召了來
[00:00:47.240 --> 00:00:50.240]  對她說耶和華以色列神吩咐你說
[00:00:50.240 --> 00:00:55.840]  你率領一萬拿佛塔利跟西布魯人上塔伯山去
[00:00:55.840 --> 00:01:03.040]  我必使耶賓的將軍希希拉率領他的車輛和全軍往基順河到你那裏去
[00:01:03.040 --> 00:01:06.360]  我必將他交在你手裏
[00:01:06.360 --> 00:01:09.840]  第八節巴拉說你若同我去我就去
[00:01:09.840 --> 00:01:13.680]  你若不同我去我就不去
[00:01:13.680 --> 00:01:15.200]  我們就讀到這裏
[00:01:15.200 --> 00:01:21.000]  感謝神我們建堂貸款的本金償還現在只剩下三十三萬多
[00:01:21.000 --> 00:01:28.880]  哈利路亞將會要給給我們的是我們期待在今年八月份三十週年特會的時候
[00:01:28.880 --> 00:01:31.400]  可以把所有的貸款通通還清
[00:01:31.400 --> 00:01:36.120]  你們作爲我們線上是給神最好的禮物
[00:01:36.120 --> 00:01:41.800]  所以這鼓勵大家在未來兩個月繼續爲建堂基金來奉獻
[00:01:41.800 --> 00:01:44.880]  你知道回想我們在整個建堂過程當中
