
[00:00:00.000 --> 00:00:03.420]  在我們人生的各樣的遭遇當中
[00:00:03.420 --> 00:00:08.160]  我們不也常常感覺疲倦跟乏力嗎
[00:00:08.160 --> 00:00:10.840]  不只是身體上的疲乏
[00:00:10.840 --> 00:00:14.120]  更是心靈裏面的一個疲乏
[00:00:14.120 --> 00:00:17.400]  當我們面對環境的一些衝擊
[00:00:17.400 --> 00:00:19.160]  生活的重擔
[00:00:19.160 --> 00:00:21.560]  工作跟服飾的壓力
[00:00:21.560 --> 00:00:23.800]  再加上家庭的需要
[00:00:23.800 --> 00:00:26.160]  面對兒女的成長
[00:00:26.160 --> 00:00:30.200]  難怪我們每天回到家都感覺精疲力盡
[00:00:30.200 --> 00:00:31.360]  不是嗎
[00:00:31.360 --> 00:00:33.920]  但事實上聖經早已經指出
[00:00:33.920 --> 00:00:39.440]  我們人面對生活各種的疲倦跟乏力的景況
[00:00:39.440 --> 00:00:42.520]  剛纔我們讀的聖經在三十節裏面
[00:00:42.520 --> 00:00:46.720]  就講到就是少年人也要疲乏困倦
[00:00:46.720 --> 00:00:50.480]  強壯的也必全然跌倒
[00:00:50.480 --> 00:00:52.120]  你知道當你讀這段聖經的時候
[00:00:52.120 --> 00:00:54.560]  你應該心裏覺得很得安慰不是嗎
[00:00:54.560 --> 00:00:57.400]  我們既不是少年人也不是強壯的人
[00:00:57.400 --> 00:01:00.760]  所以我們當然會疲乏困倦
[00:01:00.760 --> 00:01:04.280]  當然甚至會全然跌倒
[00:01:04.280 --> 00:01:05.880]  所以當你在疲乏困倦的時候
[00:01:05.880 --> 00:01:08.080]  不要感覺罪惡感
[00:01:08.080 --> 00:01:12.120]  因爲我們人本來就是如此軟弱
[00:01:12.120 --> 00:01:13.800]  但在這二十八節裏面
[00:01:13.800 --> 00:01:15.840]  神卻告訴我們一件事情
[00:01:15.840 --> 00:01:17.120]  神說嘿
[00:01:17.120 --> 00:01:19.200]  你豈不曾聽見嗎
[00:01:19.200 --> 00:01:21.600]  豈不曾知道嗎
[00:01:21.600 --> 00:01:25.400]  那就是我們的神是一位永不睏倦
[00:01:25.400 --> 00:01:28.480]  永不疲乏的神
[00:01:28.480 --> 00:01:32.160]  你們常以爲劉牧師是永不疲乏不睏倦
[00:01:32.160 --> 00:01:33.520]  No 你錯了
[00:01:33.520 --> 00:01:34.920]  我也會疲乏困倦
[00:01:34.920 --> 00:01:38.040]  劉師母也會疲乏困倦
[00:01:38.040 --> 00:01:39.320]  但感謝神
[00:01:39.320 --> 00:01:43.600]  我們卻有一位不疲乏不睏倦的神
[00:01:43.600 --> 00:01:45.800]  那你說那是神嗎
[00:01:45.800 --> 00:01:47.280]  與我什麼關係呢
[00:01:47.280 --> 00:01:49.280]  祂當然不疲乏不睏倦
[00:01:49.280 --> 00:01:50.440]  我還是人
[00:01:50.440 --> 00:01:53.240]  我還是會軟弱疲乏
[00:01:53.240 --> 00:01:56.560]  二十九節你看見神怎麼告訴我們呢
[00:01:56.560 --> 00:01:58.680]  二十九節說你疲乏嗎
[00:01:58.680 --> 00:02:01.720]  疲乏的神要次能力
[00:02:01.720 --> 00:02:03.320]  你覺得軟弱嗎
[00:02:03.320 --> 00:02:04.520]  軟弱的
[00:02:04.520 --> 00:02:06.920]  祂要加力量
[00:02:06.920 --> 00:02:11.040]  正是因爲我們有一位不疲乏不睏倦的神
[00:02:11.040 --> 00:02:13.640]  所以祂才能夠在我們軟弱的時候
[00:02:13.640 --> 00:02:15.200]  加給我們力量
[00:02:15.200 --> 00:02:18.200]  讓我們能夠一次一次在祂的裏面
[00:02:18.200 --> 00:02:20.800]  能夠重新得力
[00:02:20.800 --> 00:02:23.640]  那你說我們怎麼樣能夠在神的裏面
[00:02:23.640 --> 00:02:27.000]  從軟弱疲乏當中重新得力呢
[00:02:27.000 --> 00:02:29.400]  三十一節是我們非常熟悉
[00:02:29.400 --> 00:02:31.680]  很多人會背的經文
[00:02:31.680 --> 00:02:37.440]  這裏講到說要等候耶和華
[00:02:37.440 --> 00:02:39.760]  很多時候我們一聽到等候
[00:02:39.760 --> 00:02:42.200]  我們就不知道該怎麼辦了
[00:02:42.200 --> 00:02:43.400]  等候
[00:02:43.400 --> 00:02:45.560]  是叫我們什麼都不做呢
[00:02:45.560 --> 00:02:46.800]  錯了
[00:02:46.800 --> 00:02:48.920]  有時候你什麼都不做
[00:02:48.920 --> 00:02:50.560]  坐在那裏肝着急
[00:02:50.560 --> 00:02:51.760]  反而更累
[00:02:51.760 --> 00:02:53.080]  不是嗎
[00:02:53.080 --> 00:02:56.440]  其實我告訴你疲乏困倦的原因
[00:02:56.440 --> 00:02:58.520]  永遠不是因爲你太忙碌
[00:02:58.520 --> 00:03:00.400]  我再說一次
[00:03:00.400 --> 00:03:02.160]  你爲什麼疲乏困倦
[00:03:02.160 --> 00:03:06.200]  永遠不是因爲你太忙碌
[00:03:06.200 --> 00:03:12.000]  你疲乏困倦是因爲你看不見工作的果效嗎
[00:03:12.000 --> 00:03:16.400]  今天如果你能夠看得見你工作適奉的果效
[00:03:16.400 --> 00:03:18.880]  如果你能夠看得見神的工作
[00:03:18.880 --> 00:03:22.600]  我告訴你一點不會覺得疲倦
[00:03:22.600 --> 00:03:25.240]  反而你覺得充滿動力
[00:03:25.240 --> 00:03:27.240]  Amen
[00:03:27.240 --> 00:03:32.000]  那你說等候是不是我們就是天天的安靜禱告
[00:03:32.000 --> 00:03:34.200]  像瑪利亞一樣
[00:03:34.200 --> 00:03:37.240]  你知道我們中國教會最喜歡做瑪利亞
[00:03:37.240 --> 00:03:40.240]  就是安靜在神的面前禱告
[00:03:40.240 --> 00:03:43.440]  向主傾心圖義
[00:03:43.440 --> 00:03:45.480]  No 你又錯了
[00:03:45.480 --> 00:03:47.480]  一方面我要你知道說
[00:03:47.480 --> 00:03:49.480]  安靜禱告
[00:03:49.480 --> 00:03:52.280]  向主傾心圖義是很重要
[00:03:52.280 --> 00:03:54.080]  是很需要的事情
[00:03:54.080 --> 00:03:55.600]  但另一方面我告訴你
[00:03:55.600 --> 00:03:59.920]  這絕對不是這裏等候的意思
[00:03:59.920 --> 00:04:02.800]  那什麼叫等候耶和華呢
[00:04:02.800 --> 00:04:05.440]  仔細看三十一節你就會發現
[00:04:05.440 --> 00:04:07.920]  上下文看一下吧
[00:04:07.920 --> 00:04:09.960]  這裏的等候
[00:04:09.960 --> 00:04:16.320]  是說要向鷹展翅上騰那一種等候
[00:04:16.320 --> 00:04:20.920]  你知道當鷹要飛的時候它是在等候耶
[00:04:20.920 --> 00:04:24.120]  它不是漫無目的地等候
