
[00:00:00.000 --> 00:00:02.000]  丁子梅平安
[00:00:02.000 --> 00:00:05.000]  讓我們先做一次低頭同心祈禱
[00:00:05.000 --> 00:00:10.000]  我們天父上帝我們獻上感恩
[00:00:10.000 --> 00:00:13.000]  是祢的恩典讓我們今天相聚
[00:00:13.000 --> 00:00:15.000]  有美好的陽光
[00:00:15.000 --> 00:00:17.000]  有舒服的環境
[00:00:17.000 --> 00:00:19.000]  有很美的禮拜堂
[00:00:19.000 --> 00:00:21.000]  讓我們可以去學習珍惜
[00:00:21.000 --> 00:00:23.000]  並且去享受
[00:00:23.000 --> 00:00:25.000]  願祢就享受我們的敬拜
[00:00:25.000 --> 00:00:27.000]  讓我們去到祢面前
[00:00:27.000 --> 00:00:29.000]  恭敬地去聆聽
[00:00:29.000 --> 00:00:31.000]  開啟我們的耳朵讓我們專心
[00:00:31.000 --> 00:00:32.000]  開啟我們的眼睛
[00:00:32.000 --> 00:00:34.000]  讓我們能夠瞻仰祢的榮光
[00:00:34.000 --> 00:00:37.000]  讓我們以手腳去用行動回應祢
[00:00:37.000 --> 00:00:38.000]  由願僕人口中的言語
[00:00:38.000 --> 00:00:40.000]  特映節目之間是心思意念
[00:00:40.000 --> 00:00:42.000]  蒙聖靈的啟迪蒙主的月立
[00:00:42.000 --> 00:00:44.000]  禱告奉耶穌基督的命令
[00:00:44.000 --> 00:00:46.000]  阿們
[00:01:00.000 --> 00:01:03.000]  今天經課是講耶穌教導門徒
[00:01:03.000 --> 00:01:05.000]  這個很重要的主導文
[00:01:05.000 --> 00:01:07.000]  你背誦了幾十年
[00:01:07.000 --> 00:01:09.000]  但希望我們都重新去認識
[00:01:09.000 --> 00:01:10.000]  這一段經文
[00:01:10.000 --> 00:01:12.000]  耶穌的教導對我們今天
[00:01:12.000 --> 00:01:13.000]  有什麼的意義
[00:01:13.000 --> 00:01:15.000]  以及我們應該如何去學習
[00:01:15.000 --> 00:01:17.000]  如何去禱告
[00:01:17.000 --> 00:01:18.000]  你可以打開你的聖經
[00:01:18.000 --> 00:01:20.000]  或者在程序裡看回
[00:01:20.000 --> 00:01:22.000]  今天這段福音書的經課
[00:01:22.000 --> 00:01:30.000]  錄一番第十一章一到十三節
[00:01:30.000 --> 00:01:33.000]  我們先再一次去聽一段聖經
