
[00:00:00.000 --> 00:00:01.800]  丁子梅主內平安
[00:00:01.800 --> 00:00:04.200]  復活節快樂
[00:00:04.200 --> 00:00:07.700]  在耶穌基督復活的早上
[00:00:07.700 --> 00:00:09.800]  穆大拉、瑪利亞和一些婦女
[00:00:09.800 --> 00:00:12.700]  來到耶穌基督的墳墓前面
[00:00:12.700 --> 00:00:13.600]  他們很驚訝
[00:00:13.600 --> 00:00:17.000]  發覺在墳墓前的大石已經被滾開
[00:00:17.000 --> 00:00:18.400]  天使對他們說
[00:00:18.400 --> 00:00:19.600]  你們不用害怕
[00:00:19.600 --> 00:00:21.200]  耶穌已經不在這裡了
[00:00:21.200 --> 00:00:24.400]  照祂所說已經復活了
[00:00:24.400 --> 00:00:26.300]  婦女們很害怕
[00:00:26.300 --> 00:00:29.200]  但他們更加大大的歡喜
[00:00:29.200 --> 00:00:30.800]  他們奔走相告
[00:00:30.800 --> 00:00:32.500]  將這個如此重要的消息
[00:00:32.500 --> 00:00:35.200]  盡快地傳開
[00:00:35.200 --> 00:00:36.600]  丁子梅
[00:00:36.600 --> 00:00:39.100]  空墳墓在我們生命裏面
[00:00:39.100 --> 00:00:40.200]  在我們信仰裏面
[00:00:40.200 --> 00:00:42.600]  是一個極珍貴的信息
[00:00:42.600 --> 00:00:44.500]  耶穌基督的復活
[00:00:44.500 --> 00:00:46.500]  勝過死亡的權勢
[00:00:46.500 --> 00:00:49.600]  是我們信仰的核心
[00:00:49.600 --> 00:00:52.800]  正如保羅在《哥倫多前書》裏面所說
[00:00:52.800 --> 00:00:54.800]  他說我從前所領受
[00:00:54.800 --> 00:00:56.400]  又傳給你們的
[00:00:56.400 --> 00:00:59.800]  當中第一要緊的
[00:00:59.800 --> 00:01:02.500]  就是照著聖經所記
[00:01:02.500 --> 00:01:05.000]  基督為我們的罪死了
[00:01:05.000 --> 00:01:05.900]  賣葬了
[00:01:05.900 --> 00:01:07.900]  又照著聖經所記
[00:01:07.900 --> 00:01:10.800]  第三天復活了
[00:01:10.800 --> 00:01:12.000]  在今天早上
