
[00:00:00.000 --> 00:00:05.120]  我們一起去禱告 給祂聽神的說話
[00:00:05.120 --> 00:00:07.240]  天王我們感謝祢
[00:00:07.240 --> 00:00:10.340]  因為祢是那位奇妙的主
[00:00:10.340 --> 00:00:12.920]  祢給予人很多出人意外的平安
[00:00:12.920 --> 00:00:18.520]  還有祢就是那位帶來很多神奇改變的上帝
[00:00:18.520 --> 00:00:23.000]  不單是環境的改變 還可以是生命的改變
[00:00:23.000 --> 00:00:25.200]  我們就是這樣來到祢的面前
[00:00:25.200 --> 00:00:30.540]  因為我們相信祢是那位帶有愛與能力的上帝
[00:00:30.540 --> 00:00:31.900]  求主祢幫助我們
[00:00:31.900 --> 00:00:35.760]  讓我們專心去聆聽祢的話語
[00:00:35.760 --> 00:00:38.180]  以致我們在生命裏面
[00:00:38.180 --> 00:00:42.240]  這些話語都成為我們能夠去改變
[00:00:42.240 --> 00:00:45.680]  能夠去進步一些神的話語
[00:00:45.680 --> 00:00:47.680]  在我們心裏去滋生
[00:00:47.680 --> 00:00:48.880]  我們這樣的禱告
[00:00:48.880 --> 00:00:50.600]  是奉主耶穌基督的名求
[00:00:50.600 --> 00:00:52.600]  阿們
[00:00:52.600 --> 00:01:00.200]  沒想到10月1日之後就反彈
[00:01:00.200 --> 00:01:04.480]  我們本來以樂團是想恢復實體的
[00:01:04.480 --> 00:01:07.480]  我知道今天有些團體都是實體的聚會
[00:01:07.480 --> 00:01:09.680]  我們以樂團都很想
[00:01:09.680 --> 00:01:11.560]  但是一反彈我就不敢了
[00:01:11.560 --> 00:01:14.000]  因為始終都是長輩
[00:01:14.000 --> 00:01:17.880]  我為了這個反彈都難過的
[00:01:17.880 --> 00:01:23.760]  因為我這樣又沒有機會去探望我爸爸的旗
[00:01:23.760 --> 00:01:26.520]  又更加遙遙無期
[00:01:26.520 --> 00:01:29.320]  所以都是一個很大的忍耐
[00:01:29.320 --> 00:01:36.240]  所以我們很多時候很想透過一個祈禱
[00:01:36.240 --> 00:01:38.840]  最好就把祂拿走
[00:01:38.840 --> 00:01:40.640]  最好就把祂拿走
[00:01:40.640 --> 00:01:42.640]  我有一個重病
[00:01:42.640 --> 00:01:44.440]  祢最好幫我把祂拿走
[00:01:44.440 --> 00:01:48.040]  我正在來一個考試,沒什麼信心
[00:01:48.040 --> 00:01:50.040]  最好就把祂拿走,不用考了
[00:01:50.040 --> 00:01:52.240]  很多事情在我們生命裏
[00:01:52.240 --> 00:01:54.240]  我們覺得我們不想接受
[00:01:54.240 --> 00:01:56.240]  或者不想有的事情
[00:01:56.240 --> 00:01:59.240]  我們有時候都會很自然
[00:01:59.240 --> 00:02:01.240]  我們很想禱告
[00:02:01.240 --> 00:02:03.240]  最好不用,最好沒有了
[00:02:03.240 --> 00:02:06.240]  最好見不到,不在我身上發生
[00:02:06.240 --> 00:02:15.240]  但是神又未必每次都是按我們的祈禱去發生
[00:02:15.240 --> 00:02:19.240]  有一些我們真的要去面對的
[00:02:19.240 --> 00:02:20.240]  那怎麼辦呢?
[00:02:20.240 --> 00:02:22.240]  我覺得這個正是我們今天
[00:02:22.240 --> 00:02:25.240]  我們很想第三波完了
[00:02:25.240 --> 00:02:27.240]  我們乖乖了
[00:02:27.240 --> 00:02:29.240]  那就沒有第四波了
[00:02:29.240 --> 00:02:31.240]  但其實現在真的不知道
[00:02:31.240 --> 00:02:37.240]  下星期我們就知道那個反彈的情況是怎樣了
[00:02:37.240 --> 00:02:48.240]  但是如果真的又要繼續去面對第四波的情況
[00:02:48.240 --> 00:02:51.240]  或者我們禱告完神都沒有幫我們拿走
[00:02:51.240 --> 00:02:53.240]  那我們怎麼面對呢?
[00:02:53.240 --> 00:02:58.240]  我相信這個和我們今天看的經文很吻合
[00:02:58.240 --> 00:03:00.240]  這個疫情我們不知道要維持多久
[00:03:00.240 --> 00:03:03.240]  我們在這個疫情下的生活
[00:03:03.240 --> 00:03:04.240]  我們整個的信仰生活
[00:03:04.240 --> 00:03:06.240]  我們自己的成長
[00:03:06.240 --> 00:03:07.240]  怎麼面對呢?
[00:03:07.240 --> 00:03:12.240]  我們不如先讀經文吧
[00:03:12.240 --> 00:03:14.240]  在《肥臘比書》
[00:03:14.240 --> 00:03:16.240]  差點想講《士郎傳》
[00:03:16.240 --> 00:03:20.240]  《肥臘比書》一章的十二到十九節
[00:03:20.240 --> 00:03:23.240]  已經是完了《士郎傳》之後
[00:03:23.240 --> 00:03:29.240]  我們剛剛開始《肥臘比書》一章的十二到十九節
[00:03:29.240 --> 00:03:30.240]  我們一起來讀書好嗎?
[00:03:30.240 --> 00:03:31.240]  預備起
[00:03:31.240 --> 00:03:34.240]  弟兄們,我要你們知道
[00:03:34.240 --> 00:03:39.240]  我所遭遇的事反而使福音更興旺
[00:03:39.240 --> 00:03:43.240]  以致御營全軍和其餘的人都知道
[00:03:43.240 --> 00:03:47.240]  我是為基督的緣故受困綁的
[00:03:47.240 --> 00:03:50.240]  而且那在主裡的弟兄
[00:03:50.240 --> 00:03:54.240]  多半都因我受的困所而篤信不疑
[00:03:54.240 --> 00:03:58.240]  越發放膽,無所懼怕地傳道
[00:03:58.240 --> 00:04:03.240]  有些人傳基督是出於嫉妒紛爭
[00:04:03.240 --> 00:04:06.240]  有些人是出於好意
[00:04:06.240 --> 00:04:08.240]  後者是出於愛心
[00:04:08.240 --> 00:04:13.240]  知道我奉差遣是為福音辯護的
[00:04:13.240 --> 00:04:18.240]  前者傳基督是出於自私動機不純
[00:04:18.240 --> 00:04:22.240]  企圖要加增我困所的苦楚
[00:04:22.240 --> 00:04:24.240]  這又何妨呢?
[00:04:24.240 --> 00:04:28.240]  或是假意,或是真心,無論如何
[00:04:28.240 --> 00:04:31.240]  只要基督被傳開了
[00:04:31.240 --> 00:04:33.240]  為此我就歡喜
[00:04:33.240 --> 00:04:35.240]  我還要歡喜
[00:04:35.240 --> 00:04:37.240]  因為我知道
[00:04:37.240 --> 00:04:43.240]  這是藉著你們的祈禱和耶穌基督的靈的幫助
[00:04:43.240 --> 00:04:46.240]  終使我得到釋放
