
[00:00:00.000 --> 00:00:05.800]  今年教會的主題是童心建造,迎接復心。
[00:00:05.800 --> 00:00:07.960]  什麼是復心呢?
[00:00:07.960 --> 00:00:15.280]  復心的定義就是甦醒,或者說活過來。
[00:00:15.280 --> 00:00:20.280]  意思就是本來是沉睡的,現在醒過來了。
[00:00:20.280 --> 00:00:24.480]  或者說本來是死的,現在活過來了。
[00:00:24.480 --> 00:00:29.360]  這是以西節三十七章裡面神界的意象,
[00:00:29.360 --> 00:00:33.040]  像以西節所描述的一個光景。
[00:00:33.040 --> 00:00:39.040]  當我們再次讀到以西節三十七章這個枯骨復生的意象的時候,
[00:00:39.040 --> 00:00:41.040]  第二點我們需要明白一件事情,
[00:00:41.040 --> 00:00:47.240]  這個意象不是指著這個不幸的世代而言的。
[00:00:47.240 --> 00:00:52.160]  第十一節很清楚的,神說這些骸骨是指誰呀?
[00:00:52.160 --> 00:00:55.840]  是指以色列全家。
[00:00:55.840 --> 00:01:00.000]  換句話說是指著神的百姓而言。
[00:01:00.000 --> 00:01:04.200]  多少說做了一個基督徒,好像我們生活慣了,
[00:01:04.200 --> 00:01:09.080]  我們服侍久了,我們好像漸漸就失去了動力,
[00:01:09.080 --> 00:01:14.200]  失去了盼望,我們不再能夠相信神能夠在我們中間
[00:01:14.200 --> 00:01:17.560]  再做偉大奇妙的作為。
[00:01:17.560 --> 00:01:22.280]  我們靈異裡面的光景就好像死的一樣。
[00:01:22.280 --> 00:01:24.560]  就像十一節這裡所說的,
[00:01:24.560 --> 00:01:27.320]  他們說我們的骨頭枯乾了,
[00:01:27.320 --> 00:01:32.360]  我們的指望失去了,我們的滅絕靜靜了。
[00:01:32.360 --> 00:01:37.200]  換句話說好像死了一樣,像在墳墓裡一樣。
[00:01:37.200 --> 00:01:42.120]  多少說今天教會跟信徒的光景就是這樣。
[00:01:42.120 --> 00:01:46.680]  這是為什麼神要以西節發出預言。
[00:01:46.680 --> 00:01:50.400]  神說看到我要打開你們的墳墓。
[00:01:50.400 --> 00:01:54.920]  十四節主在這裡說我要將我的靈放在你們裡面,
[00:01:54.920 --> 00:01:58.440]  叫你們怎麼樣?活過來。
[00:01:58.440 --> 00:02:00.920]  什麼是復興呢?
[00:02:00.920 --> 00:02:05.800]  那就本來是死的嘛,現在活過來了。
[00:02:05.800 --> 00:02:08.800]  那你說什麼叫活過來呢?
[00:02:08.800 --> 00:02:13.040]  我告訴你,那就是當你開始能夠聽見了,
[00:02:13.040 --> 00:02:16.320]  當你能夠開始看見了。
[00:02:16.320 --> 00:02:18.080]  以前是死的,為什麼?
[00:02:18.080 --> 00:02:21.720]  因為你看不見,你也聽不見,
[00:02:21.720 --> 00:02:24.440]  你根本不知道神在做些什麼,
[00:02:24.440 --> 00:02:27.640]  你也不明白神的心意是什麼。
[00:02:27.640 --> 00:02:30.040]  但現在活過來了,
[00:02:30.040 --> 00:02:33.160]  你開始看見了,看見什麼?
[00:02:33.160 --> 00:02:36.360]  看見神所要做的工作了,
[00:02:36.360 --> 00:02:39.120]  你開始聽見了,聽見什麼?
[00:02:39.120 --> 00:02:41.200]  因為聽見了神的聲音,
[00:02:41.200 --> 00:02:44.720]  聽見神所要我們做的事情。
[00:02:44.720 --> 00:02:49.120]  所以這些日子來,我越來越看見,
[00:02:49.120 --> 00:02:55.200]  看見跟聽見是屬靈復興的關鍵。
[00:02:55.200 --> 00:03:01.840]  跟你們說,看見跟聽見是屬靈復興的關鍵。
[00:03:01.840 --> 00:03:05.040]  因為當你看不見,當你聽不見,
[00:03:05.040 --> 00:03:08.000]  你靈裡就是死的嘛。
[00:03:08.000 --> 00:03:11.040]  但什麼時候你開始看見了,
[00:03:11.040 --> 00:03:13.280]  看見神所要做的工作,
[00:03:13.280 --> 00:03:15.960]  那個偉大奇妙的作為,
[00:03:15.960 --> 00:03:19.080]  你心裡就開始火熱起來了,
[00:03:19.080 --> 00:03:23.480]  你開始對神會有一種確切的信心了。
[00:03:23.480 --> 00:03:25.920]  什麼時候你開始聽見了,
[00:03:25.920 --> 00:03:29.280]  你能夠聽見神對你的呼召,
[00:03:29.280 --> 00:03:32.040]  能夠聽見神要你做的事情,
[00:03:32.040 --> 00:03:35.920]  忽然間你整個生命就開始動起來,
[00:03:35.920 --> 00:03:41.240]  你就能夠不顧一切的環境,勇敢向前。
[00:03:41.240 --> 00:03:46.400]  第二個你要知道,一個聽不見音樂的人,
[00:03:46.400 --> 00:03:51.280]  他一定覺得那些跳舞的人都瘋了,不是嗎?
[00:03:51.280 --> 00:03:55.240]  真的,因為他沒聽見。
