
[00:00:00.000 --> 00:00:02.760]  感謝主,我們今天可以一同去敬拜上帝。
[00:00:02.760 --> 00:00:05.180]  好,北宣家堂慶。
[00:00:05.180 --> 00:00:08.740]  我不知道大傢什麼時候參與北宣,
[00:00:08.740 --> 00:00:11.240]  年份不同。
[00:00:11.240 --> 00:00:15.280]  2023年,我經常說我很值得,
[00:00:15.280 --> 00:00:19.280]  人過中年,經常都會回想。
[00:00:19.280 --> 00:00:22.880]  今年是我受浸第三十個年頭。
[00:00:22.880 --> 00:00:26.800]  你可能聽到沉了,但容許我再說一次。
[00:00:26.800 --> 00:00:30.960]  因爲真的有很多記憶回到當中。
[00:00:30.960 --> 00:00:33.200]  30年前就是這個時刻,
[00:00:33.200 --> 00:00:37.640]  我在斯木斯扔摩洛浸池。
[00:00:37.640 --> 00:00:42.800]  誇張點說,當年我們有三十多四十人。
[00:00:42.800 --> 00:00:48.360]  感謝主,我們可以一同在不同的年頭裏面,
[00:00:48.360 --> 00:00:51.640]  經歷上帝的帶領和保守。
[00:00:51.640 --> 00:00:54.600]  我不知道你什麼時候參與北宣,
[00:00:54.600 --> 00:00:59.840]  你有沒有很短暫,很快想起一些印象呢?
[00:00:59.840 --> 00:01:01.840]  我給大家五秒時間閉上眼睛,
[00:01:01.840 --> 00:01:04.320]  想想上帝對你的恩典和眷顧。
[00:01:04.320 --> 00:01:07.480]  五秒。
[00:01:07.480 --> 00:01:11.240]  北宣家的使命宣言是以神的愛炎點生命,
[00:01:11.240 --> 00:01:15.800]  實踐私比授,更爲有福的生活,大家不陌生。
[00:01:15.800 --> 00:01:19.360]  上帝對我們的眷顧教訓我們,
[00:01:19.360 --> 00:01:22.720]  學習用祂的愛和身邊人分享。
[00:01:22.720 --> 00:01:25.920]  這兩年有機會在新家裏面的服事,
[00:01:25.920 --> 00:01:29.320]  新家是很着重家庭元素的敬拜。
[00:01:29.320 --> 00:01:32.520]  這幾年合作的夥伴有不同的派對,
[00:01:32.520 --> 00:01:35.520]  但合作得多的是一些不同類型的敬拜隊。
[00:01:35.520 --> 00:01:38.720]  所以我自己都想,不單止中年有號聲音,
[00:01:38.720 --> 00:01:40.240]  新家都有號聲音。
[00:01:40.240 --> 00:01:44.000]  當中可以去唱頌,去敬拜上帝,
[00:01:44.000 --> 00:01:46.120]  敬拜隊的參與是非常重要。
[00:01:46.120 --> 00:01:49.400]  當然去到第一堂,我們有約瑟號聲音,
[00:01:49.400 --> 00:01:54.200]  所以都是很重要,幫助我們一同去引導我們去敬拜上帝。
[00:01:54.200 --> 00:01:57.800]  所以我們有沒有在生活中,在侍奉當中,
[00:01:57.800 --> 00:02:01.960]  用上帝的愛和身邊人分享呢?
[00:02:01.960 --> 00:02:07.080]  這是我們一同要去思考,要去定位的。
