
[00:00:00.000 --> 00:00:01.760]  上一集我們講到
[00:00:01.760 --> 00:00:04.880]  在橄欖山耶穌騎上路
[00:00:04.880 --> 00:00:07.360]  祂就是所謂的榮晉耶路撒冷
[00:00:07.360 --> 00:00:10.360]  現在我們看到的位置大概就是這樣
[00:00:10.360 --> 00:00:13.680]  我們站在橄欖山的山頂
[00:00:13.680 --> 00:00:16.280]  前面就是看到耶路撒冷
[00:00:16.280 --> 00:00:19.640]  現在看到的當然是耶路撒冷舊城
[00:00:19.640 --> 00:00:21.640]  眼前所見的
[00:00:21.640 --> 00:00:23.960]  這裡就是全世界
[00:00:23.960 --> 00:00:28.360]  政治、民族或者宗教上最敏感的地方
[00:00:28.360 --> 00:00:30.920]  我們今天看到這個耶路撒冷
[00:00:30.920 --> 00:00:34.400]  最矚目的地方當然就是這個金頂清真寺
[00:00:34.400 --> 00:00:35.880]  或者盆石清真寺
[00:00:35.880 --> 00:00:37.160]  Doom of the Rock
[00:00:37.160 --> 00:00:39.640]  事實上這個不是一個墓碑
[00:00:39.640 --> 00:00:40.600]  不是清真寺
[00:00:40.600 --> 00:00:43.320]  因為清真寺是伊斯蘭教徒聚集
[00:00:43.320 --> 00:00:44.600]  去祈禱的地方
[00:00:44.600 --> 00:00:46.600]  實際上很少會在這裡聚集
[00:00:46.600 --> 00:00:50.280]  事實上這裡是一個宗教的座標
[00:00:50.280 --> 00:00:53.000]  一個所謂神社
[00:00:53.000 --> 00:00:58.480]  去紀念伊斯蘭教第三個大的聖城
[00:00:58.480 --> 00:01:00.840]  耶路撒冷就是第三個聖城
[00:01:00.840 --> 00:01:05.880]  除了在沙地阿拉伯的麥加和麥丁娜
[00:01:05.880 --> 00:01:09.400]  在這個金頂下就是耶路撒冷東山
[00:01:09.400 --> 00:01:11.320]  最高的一個地方
[00:01:11.320 --> 00:01:13.720]  最高一個盆石的地方
[00:01:13.720 --> 00:01:17.520]  也是猶太人的第一第二聖殿
[00:01:17.520 --> 00:01:19.760]  至聖所在的地方
[00:01:19.760 --> 00:01:21.880]  先講一下歷史背景
[00:01:21.880 --> 00:01:24.120]  大概公元後70年的時候
[00:01:24.120 --> 00:01:26.080]  大家知道就是耶路撒冷的聖殿
[00:01:26.080 --> 00:01:27.880]  猶太人的聖殿被毀
[00:01:27.880 --> 00:01:30.200]  當時有很多的猶太人被驅逐
[00:01:30.200 --> 00:01:32.480]  他們離開了耶路撒冷
[00:01:32.480 --> 00:01:34.800]  所以這個地方多年來是被荒廢的
[00:01:34.800 --> 00:01:38.840]  猶太人只准每年一次回來這個地方
[00:01:38.840 --> 00:01:42.160]  在他們的聖殿被毀紀念日
[00:01:42.160 --> 00:01:43.680]  Tisha B'Av
[00:01:43.680 --> 00:01:48.040]  大約是我們西曆七月八月左右的時間
[00:01:48.040 --> 00:01:51.520]  來到這個地方他們在西面的牆上祈禱
[00:01:51.520 --> 00:01:54.320]  因為那裡離至聖所是最近的
[00:01:54.320 --> 00:01:58.240]  歷代的猶太人來到西牆上祈禱的時候
[00:01:58.240 --> 00:02:01.800]  因為他們紀念到聖殿被毀的災難
[00:02:01.800 --> 00:02:04.120]  所以他們就在那裡痛哭
[00:02:04.120 --> 00:02:07.320]  所以叫做哭牆
[00:02:07.320 --> 00:02:09.600]  但是現在很少人叫做哭牆
[00:02:09.600 --> 00:02:11.720]  因為特別到1967年之後
[00:02:11.720 --> 00:02:14.320]  以色列軍重奪耶路撒冷
[00:02:14.320 --> 00:02:17.760]  猶太人自由的現在可以來到西牆這個地方祈禱
[00:02:17.760 --> 00:02:19.600]  所以較為多的叫做Western Wall
[00:02:19.600 --> 00:02:21.280]  或者希伯來文叫做Qatel
[00:02:21.280 --> 00:02:24.320]  無論如何在一世紀之後被毀之後
[00:02:24.320 --> 00:02:26.040]  荒廢了好幾百年
[00:02:26.040 --> 00:02:28.640]  直到638年的時候
[00:02:28.640 --> 00:02:32.840]  伊斯蘭軍隊征服了中東和耶路撒冷
[00:02:32.840 --> 00:02:37.920]  他們就在這個地方建立了一個金頂的盆石清真寺
[00:02:37.920 --> 00:02:39.800]  就是現在我們看到的這個
[00:02:39.800 --> 00:02:41.560]  之後在715年的時候
[00:02:41.560 --> 00:02:45.120]  就在南面建造了另一個大的清真寺
[00:02:45.120 --> 00:02:46.400]  叫做阿克薩
[00:02:46.400 --> 00:02:47.720]  Al-Aqsa Mosque
[00:02:47.720 --> 00:02:51.280]  Al-Aqsa的意思就是說遙遠的意思
[00:02:51.280 --> 00:02:54.360]  在伊斯蘭的傳統裡面
[00:02:54.360 --> 00:02:57.760]  穆罕默德在這裡夜間升天
[00:02:57.760 --> 00:03:00.320]  另外你們要留意的就是一個很大的石平台
[00:03:00.320 --> 00:03:02.960]  這個叫做聖殿山
[00:03:02.960 --> 00:03:04.120]  Temple Mount
[00:03:04.120 --> 00:03:07.680]  或者伊斯蘭教徒會叫做Al-Aqsa
[00:03:07.680 --> 00:03:10.840]  西面是488米長
[00:03:10.840 --> 00:03:13.040]  東面也是有400多米長
[00:03:13.040 --> 00:03:17.000]  南北面分別有200-300米長
[00:03:17.000 --> 00:03:20.320]  總共有144,000平方米
[00:03:20.320 --> 00:03:24.280]  就是等於20個足球場
[00:03:24.280 --> 00:03:28.160]  或者27個美式足球場
[00:03:28.160 --> 00:03:30.480]  這是一個很大的平台
[00:03:30.480 --> 00:03:34.480]  多德在2000年之前是大希律王
[00:03:34.480 --> 00:03:35.840]  他執政的時候
[00:03:35.840 --> 00:03:39.600]  作為羅馬帝國授權的猶太人王
[00:03:39.600 --> 00:03:41.280]  他就大興土木
[00:03:41.280 --> 00:03:42.880]  然後擴建聖殿
[00:03:42.880 --> 00:03:48.320]  在這個平台下面就加入了很多羅馬人很出名的拱門
[00:03:48.320 --> 00:03:51.360]  去頂著這個平台
[00:03:51.360 --> 00:03:53.520]  使這個平台變成一個很大的平台
[00:03:53.520 --> 00:03:55.080]  容納了很多人
[00:03:55.080 --> 00:03:56.760]  那麼聖殿的歷史是怎麼樣的呢?
[00:03:56.760 --> 00:03:58.560]  當時第一世紀耶穌的時代
[00:03:58.560 --> 00:04:01.840]  人對聖殿是讚口不絕的
[00:04:01.840 --> 00:04:03.760]  其實在羅馬帝國裡面
[00:04:03.760 --> 00:04:05.280]  是舉世聞名的
[00:04:05.280 --> 00:04:06.960]  猶太人甚至說
[00:04:06.960 --> 00:04:09.320]  你沒有見過這個聖殿
[00:04:09.320 --> 00:04:12.960]  你是從來沒有見過美妙的建築
[00:04:12.960 --> 00:04:16.480]  這裡被形容是人間裡面最偉大的工程
[00:04:16.480 --> 00:04:18.880]  事實上是在現代之前
[00:04:18.880 --> 00:04:21.480]  這個真的是數一數二
[00:04:21.480 --> 00:04:25.360]  人造的一個大的建築物
[00:04:25.360 --> 00:04:29.600]  其實猶太教跟其他外邦所謂的宗教有很大分別
[00:04:29.600 --> 00:04:32.480]  就是猶太教只有一個聖所而已
[00:04:32.480 --> 00:04:35.520]  所以有很多資源都集中在這個聖殿那裡
[00:04:35.520 --> 00:04:39.560]  甚至猶太人會認為這是萬夫莫敵
[00:04:39.560 --> 00:04:41.480]  就是永遠不會滅亡的
[00:04:41.480 --> 00:04:43.360]  神一定會捍衛的一個地方
[00:04:43.360 --> 00:04:45.520]  因為上帝的名就在這裡
[00:04:45.520 --> 00:04:46.680]  到了耶穌的時候
[00:04:46.680 --> 00:04:49.440]  聖殿已經有幾十年的歷史了
[00:04:49.440 --> 00:04:51.560]  難怪我們看福音書的時候
[00:04:51.560 --> 00:04:55.240]  門徒從加里尼來到地老山守節
[00:04:55.240 --> 00:04:58.160]  他們就指著石頭讚不絕口
[00:04:58.160 --> 00:05:02.480]  好幾年前UCLA有一個團隊做了一個電腦的模型
[00:05:02.480 --> 00:05:06.440]  我認為這個電腦模型是非常準確的
[00:05:06.440 --> 00:05:11.240]  是從南面上去耶路撒冷看到的景象
[00:05:11.240 --> 00:05:15.000]  這個立體動畫是十年前製作的
