
[00:00:00.000 --> 00:00:04.000]  各位弟兄姊妹 復活節平安
[00:00:04.000 --> 00:00:06.000]  我們今天是復活節的主日
[00:00:06.000 --> 00:00:09.000]  我們都一齊來到神的殿當中
[00:00:09.000 --> 00:00:13.000]  我們去紀念祂 去慶賀祂復活了
[00:00:13.000 --> 00:00:16.000]  大家來到禮堂會看到有一些百合花
[00:00:16.000 --> 00:00:18.000]  象徵著復活
[00:00:18.000 --> 00:00:22.000]  也看到十字架上面有一個冠冕
[00:00:22.000 --> 00:00:28.000]  也象徵著這位主不再是在墳墓裏面死去的主
[00:00:28.000 --> 00:00:31.000]  而是得勝生命的君王
[00:00:31.000 --> 00:00:34.000]  得勝死亡的君王
[00:00:34.000 --> 00:00:36.000]  在今天的時刻
[00:00:36.000 --> 00:00:39.000]  很值得我們來到一起慶賀
[00:00:39.000 --> 00:00:42.000]  因為這位主的確復活了
[00:00:42.000 --> 00:00:45.000]  當我們今天一齊來到思想聖經的時候
[00:00:45.000 --> 00:00:47.000]  我們都一齊來到思想
[00:00:47.000 --> 00:00:50.000]  這位主不單止在歷史當中復活
[00:00:50.000 --> 00:00:54.000]  而且今天在我們的生命裏面活著
[00:00:54.000 --> 00:00:56.000]  我們來到感謝祂
[00:00:56.000 --> 00:01:02.000]  我們一齊再祈禱 我們再仰望主
[00:01:02.000 --> 00:01:05.000]  主我們感謝祢
[00:01:05.000 --> 00:01:09.000]  復活得勝的主宰
[00:01:09.000 --> 00:01:12.000]  在我們所身處的世界裏面
[00:01:12.000 --> 00:01:16.000]  雖然我們看到有很多敗壞的事情
[00:01:16.000 --> 00:01:19.000]  很多黑暗的事情
[00:01:19.000 --> 00:01:24.000]  很多因為死亡而帶來給人的內心的傷痛
[00:01:24.000 --> 00:01:28.000]  以及各種艱難的事情
[00:01:28.000 --> 00:01:30.000]  但是主我們感謝祢
[00:01:30.000 --> 00:01:33.000]  祢的確已經勝了世界
[00:01:33.000 --> 00:01:36.000]  主祢告訴我們我們可以平安
[00:01:36.000 --> 00:01:39.000]  因為祢已經得勝一切
[00:01:39.000 --> 00:01:41.000]  又教導我們
[00:01:41.000 --> 00:01:45.000]  每一天依靠祢自己所賜的復活能力
[00:01:45.000 --> 00:01:47.000]  在世上生活
[00:01:47.000 --> 00:01:51.000]  帶著能力 帶著盼望來跟隨祢
[00:01:51.000 --> 00:01:53.000]  如今我們在祢面前一齊
[00:01:53.000 --> 00:01:56.000]  去思想 去紀念祢自己的復活
[00:01:56.000 --> 00:02:01.000]  也再次透過聖經來領受祢自己的教導
[00:02:01.000 --> 00:02:05.000]  求親愛的聖靈在我們心中引導我們
[00:02:05.000 --> 00:02:10.000]  讓我們心靈再次得著祢天上的良食
[00:02:10.000 --> 00:02:14.000]  我們仰望祈禱 奉耶穌名字求 阿們
[00:02:23.000 --> 00:02:28.000]  他們在一種很低沉 很愁煩的狀況裡面
[00:02:28.000 --> 00:02:30.000]  但是他們遇見耶穌
[00:02:30.000 --> 00:02:33.000]  整個的生命就改變了
[00:02:33.000 --> 00:02:37.000]  我想我們不單止看到這些過去的事情
