
[00:00:00.000 --> 00:00:01.000]  卿姊妹早晨
[00:00:01.000 --> 00:00:02.000]  早晨
[00:00:02.000 --> 00:00:04.000]  時間過得很快
[00:00:04.000 --> 00:00:09.000]  二零二四年已經來到十一月的第一個主日
[00:00:09.000 --> 00:00:16.000]  就是說還有個半月就已經是到聖誕的慶祝了
[00:00:16.000 --> 00:00:23.000]  那我昨天就發覺去到我家附近的一個商場那裡
[00:00:23.000 --> 00:00:33.000]  是已經見到有一棵我想有二三十尺高的聖誕樹
[00:00:33.000 --> 00:00:36.000]  那我不知道其他的商場有沒有開始了
[00:00:36.000 --> 00:00:39.000]  因為我昨天只去了一個商場而已
[00:00:39.000 --> 00:00:41.000]  沒有去雲雪梨的商場
[00:00:41.000 --> 00:00:46.000]  但是都是提醒我們很快就到聖誕了
[00:00:46.000 --> 00:00:49.000]  那有很多的弟兄姊妹就已經是
[00:00:49.000 --> 00:00:53.000]  甚至開始了去旅行有些計劃去旅行
[00:00:53.000 --> 00:00:59.000]  有些可能已經是買了機票訂了酒店
[00:00:59.000 --> 00:01:02.000]  諸如此類預備放假
[00:01:02.000 --> 00:01:10.000]  教會尤其是都是對聖誕節是特別有種敏感
[00:01:10.000 --> 00:01:12.000]  除了大家都會記住放假
[00:01:12.000 --> 00:01:15.000]  又要開始買聖誕禮物
[00:01:15.000 --> 00:01:19.000]  教會就已經是兩三個月前
[00:01:19.000 --> 00:01:24.000]  就和Chatswood這裡一個商場就開始聯絡
[00:01:24.000 --> 00:01:28.000]  看看我們可不可以在商場裡面去報佳音
[00:01:28.000 --> 00:01:34.000]  暫時就訂了有三個日子
[00:01:34.000 --> 00:01:38.000]  有一個在十一月有兩個日子在十二月
[00:01:38.000 --> 00:01:48.000]  可能有些敬拜隊和一些師班的弟兄姊妹都已經是在預備
[00:01:48.000 --> 00:01:54.000]  應該過幾天我們就會定實這些日子
[00:01:54.000 --> 00:01:58.000]  可以和這個商場就可以肯定
