
[00:00:00.000 --> 00:00:03.100]  我們先低頭禱告 禱告我們就不需要反應
[00:00:03.100 --> 00:00:04.520]  天父我們真感恩
[00:00:04.520 --> 00:00:06.860]  因為今天我們可以在祢面前
[00:00:06.860 --> 00:00:09.020]  可以敬拜祢 聆聽祢的話語
[00:00:09.020 --> 00:00:11.100]  求祢幫助我們 打開我們的心竅
[00:00:11.100 --> 00:00:12.880]  使我們可以明白祢的話
[00:00:12.880 --> 00:00:15.220]  消化祢的話 遵守祢的話
[00:00:15.220 --> 00:00:18.060]  我們把祢的兩位僕人都交託仰望
[00:00:18.060 --> 00:00:21.180]  求祢與我們同在 阿們
[00:00:21.180 --> 00:00:22.740]  所以今天我們的題目就是在
[00:00:22.740 --> 00:00:24.180]  「基督離校法基督」
[00:00:24.180 --> 00:00:26.980]  (記者:今天我們的題目是「基督離校法基督」)
[00:00:26.980 --> 00:00:30.760]  我們要先從比較大的角度看這個問題
[00:00:30.760 --> 00:00:33.520]  (記者:我們從大的角度來看這個問題)
[00:00:33.520 --> 00:00:38.400]  我們就是圍繞上帝的創造和上帝的救贖
[00:00:38.400 --> 00:00:42.220]  (記者:圍繞著什麼呢?就是圍繞著上帝的創造和上帝的救贖)
[00:00:42.220 --> 00:00:45.540]  上帝創造賜給我們什麼呢?賜給我們生命
[00:00:45.540 --> 00:00:49.680]  (記者:上帝創造賜給我們什麼呢?就是賜給我們生命)
[00:00:49.680 --> 00:00:52.260]  如果我們看《聖經》裏頭
[00:00:52.260 --> 00:00:55.380]  我們就發現生命跟愛是息息相關的
[00:00:55.380 --> 00:00:57.120]  因為生命就是愛的表現
[00:00:57.120 --> 00:01:00.600]  (記者:我們看《聖經》就看到生命跟愛是息息相關的)
[00:01:00.600 --> 00:01:03.760]  (記者:因為生命就是愛的表現)
[00:01:03.760 --> 00:01:06.380]  而且特別有意思的是在《聖經》裏頭
[00:01:06.380 --> 00:01:09.120]  當上帝創造生命的時候
[00:01:09.120 --> 00:01:11.740]  上帝也是給人氣息 對嗎?
[00:01:11.740 --> 00:01:13.980]  (記者:當《聖經》裏說神創造人的時候)
[00:01:13.980 --> 00:01:17.800]  (記者:也都給我們人有氣息的 對不對呢?)
[00:01:17.800 --> 00:01:22.300]  所以當我們呼吸對生命很重要
[00:01:22.300 --> 00:01:26.520]  呼吸是有吸然後呼 對嗎?
[00:01:26.520 --> 00:01:28.100]  (記者:我們呼吸是很重要的)
[00:01:28.100 --> 00:01:31.040]  (記者:在我們生命之中 我們是要呼和吸的)
[00:01:31.040 --> 00:01:33.200]  所以你不能只是吸而不呼
[00:01:33.200 --> 00:01:35.640]  (記者:我們不可以只是吸而不呼出去的)
[00:01:35.640 --> 00:01:37.600]  或者呼出來但是沒有氣也不行
[00:01:37.600 --> 00:01:40.400]  (記者:或者我們不可以只是呼 但我們不吸氣進去的)
[00:01:40.400 --> 00:01:43.560]  所以這個呼吸是可以象徵什麼呢?可以代表什麼?
[00:01:43.560 --> 00:01:47.720]  (記者:這個呼吸是可以象徵什麼呢?)
[00:01:47.720 --> 00:01:52.560]  (記者:吸就是等於得 領受 呼就是等於給 分享)
[00:01:52.560 --> 00:01:55.940]  吸就可以得 領受 呼就可以好像分享一樣
[00:01:55.940 --> 00:01:58.760]  (記者:那我剛才說這個生命是愛的表現)
[00:01:58.760 --> 00:02:00.480]  (記者:愛也是生命的表現)
[00:02:00.480 --> 00:02:03.120]  剛剛我講到生命就是愛的表現
[00:02:03.120 --> 00:02:05.200]  而愛也是生命的表現
[00:02:05.200 --> 00:02:07.920]  (記者:那我們就是知道這個愛呢)
[00:02:07.920 --> 00:02:13.280]  (記者:離不開給 離不開得 離不開受 離不開奉獻)
[00:02:13.280 --> 00:02:18.120]  (記者:我們知道愛是離不開給 離不開受 離不開奉獻的)
[00:02:18.120 --> 00:02:21.040]  (記者:那現在比方說有兩個人在教會結婚)
[00:02:21.040 --> 00:02:26.760]  (記者:我就是不管是富貴貧窮身體健康疾病到死)
[00:02:26.760 --> 00:02:28.680]  (記者:我都是輸於你的 什麼意思呢?)
