
[00:00:00.000 --> 00:00:02.120]  好了,聖經說了一句話
[00:00:02.120 --> 00:00:04.800]  祂說你要保守你的心
[00:00:04.800 --> 00:00:06.240]  勝過保守一切
[00:00:06.240 --> 00:00:07.800]  因為一生的果效
[00:00:07.800 --> 00:00:09.800]  從心而發出
[00:00:09.800 --> 00:00:11.880]  所以你的心裏面
[00:00:11.880 --> 00:00:16.080]  如果容讓情緒去控制你的話
[00:00:16.080 --> 00:00:18.520]  你就不能夠發出一種果效
[00:00:18.520 --> 00:00:21.080]  這就是聖經教導我們
[00:00:21.080 --> 00:00:22.680]  另外這樣說
[00:00:22.680 --> 00:00:24.680]  說到神是一個靈
[00:00:24.680 --> 00:00:26.680]  你去和神聊天
[00:00:26.680 --> 00:00:29.280]  要透過這個心靈和祂聊天
[00:00:29.280 --> 00:00:32.400]  所以我們如果把心靈還給上帝的話
[00:00:32.400 --> 00:00:35.640]  上帝又能夠幫助我們去控制我們的情緒
[00:00:35.640 --> 00:00:39.520]  所以情緒其實會影響我們日常的生活
[00:00:39.520 --> 00:00:40.240]  是不是?
[00:00:40.240 --> 00:00:41.840]  如果你情緒不好
[00:00:41.840 --> 00:00:43.440]  那天你整天都沒有心情工作
[00:00:43.440 --> 00:00:45.640]  結果你要搞定你的情緒才可以工作
[00:00:45.640 --> 00:00:46.920]  如果情緒太多
[00:00:46.920 --> 00:00:49.400]  你又不能夠和別人溝通
[00:00:49.400 --> 00:00:51.400]  你整天都很混亂
[00:00:51.400 --> 00:00:52.760]  這個系列的裏面
[00:00:52.760 --> 00:00:55.000]  我就想和大家去講一下
[00:00:55.000 --> 00:00:56.360]  一連串的
[00:00:56.360 --> 00:00:59.440]  有六課裏面講一下罵情緒
[00:00:59.440 --> 00:01:02.600]  有金堂會講憤怒
[00:01:02.600 --> 00:01:03.920]  下堂會講憂鬱
[00:01:03.920 --> 00:01:06.160]  焦慮、迷失、自憐
[00:01:06.160 --> 00:01:09.440]  和最後我們有喜樂的情緒
[00:01:09.440 --> 00:01:10.640]  好了
[00:01:10.640 --> 00:01:13.160]  主題叫做罵情緒
[00:01:13.160 --> 00:01:15.720]  我想現在放一個視頻給大家看
[00:01:26.360 --> 00:01:27.240]  那些蝙蝠
[00:01:27.240 --> 00:01:29.800]  我好生氣那些蝙蝠
[00:01:29.800 --> 00:01:32.120]  我好生氣
[00:01:32.120 --> 00:01:36.000]  我可以把牠們打碎成煎餅糊
[00:01:36.000 --> 00:01:38.720]  我不知道該怎麼說
[00:01:38.720 --> 00:01:41.720]  我們只是覺得他們很生氣
[00:01:41.720 --> 00:01:43.600]  我不認為自己是個蝙蝠
[00:01:43.600 --> 00:01:45.120]  但是對蝙蝠來說
[00:01:45.120 --> 00:01:46.640]  我們總是恨牠們
[00:01:46.640 --> 00:01:49.240]  嘿蝙蝠
[00:01:49.240 --> 00:01:52.000]  你以為你很厲害嗎
[00:01:52.000 --> 00:01:53.160]  你什麼都不是
[00:01:53.160 --> 00:01:55.200]  這張照片是為了表演
[00:01:56.520 --> 00:01:58.880]  他們覺得他們很酷
[00:01:58.880 --> 00:02:00.280]  因為他們可以飛
[00:02:00.280 --> 00:02:02.320]  因為他們可以控制身體溫度
[00:02:02.320 --> 00:02:04.440]  不浸泡在沙裡
[00:02:04.440 --> 00:02:05.360]  但事實上
[00:02:05.360 --> 00:02:07.200]  他們只是蝙蝠
[00:02:07.200 --> 00:02:09.280]  你知道我的意思嗎
[00:02:09.280 --> 00:02:09.880]  嘿
[00:02:09.880 --> 00:02:13.360]  我們不會讓你這樣對我們
[00:02:13.360 --> 00:02:14.040]  蝙蝠
[00:02:14.040 --> 00:02:16.600]  準備感受我的憤怒
[00:02:16.600 --> 00:02:17.320]  對
[00:02:17.320 --> 00:02:18.680]  來吧
[00:02:18.680 --> 00:02:20.280]  你會後悔鬧出
[00:02:20.280 --> 00:02:24.760]  這個非常生氣的蝙蝠
[00:02:26.360 --> 00:02:28.360]  蝙蝠
[00:02:28.360 --> 00:02:30.640]  牠在哪裡
[00:02:30.640 --> 00:02:32.640]  發生什麼事了
[00:02:32.640 --> 00:02:39.280]  我以為我生氣了
[00:02:39.280 --> 00:02:41.920]  當我看到無助的小蝙蝠
[00:02:41.920 --> 00:02:44.080]  所有的憤怒就飛走了
[00:02:44.080 --> 00:02:45.240]  我想我只是意識到
