
[00:00:00.000 --> 00:00:04.680]  今天是2020年第一個Jackson拜
[00:00:04.680 --> 00:00:08.300]  回頭都看到我們這些佈置已經改變了
[00:00:08.300 --> 00:00:10.040]  今年的主題是什麼
[00:00:10.040 --> 00:00:12.200]  幸福人生 活出外
[00:00:12.200 --> 00:00:15.580]  和教友們說 幸福人生 活出外
[00:00:15.580 --> 00:00:18.540]  承接這個幸福小組的動作
[00:00:18.540 --> 00:00:23.160]  你看到我們已經將很多幸福小組的口號掛了出來
[00:00:23.160 --> 00:00:25.460]  鼓勵信徒組 特別是內外的弟兄姊妹
[00:00:25.460 --> 00:00:27.400]  應該慢慢去欣賞一下
[00:00:27.400 --> 00:00:29.920]  我覺得每一句話
[00:00:29.920 --> 00:00:33.360]  對我們來說都是一個挑戰
[00:00:33.360 --> 00:00:37.160]  事實上在香港這樣的氣氛和環境裏面
[00:00:37.160 --> 00:00:41.040]  大家都很想未來的生活幸福一點 是不是
[00:00:41.040 --> 00:00:44.400]  中學的同學不是很想嗎
[00:00:44.400 --> 00:00:46.920]  還是大家都已經老了
[00:00:46.920 --> 00:00:49.320]  不過這樣 什麼叫幸福呢
[00:00:49.320 --> 00:00:52.480]  我想不同的人也會有不同的演繹
[00:00:52.480 --> 00:00:56.440]  事實上大部分的所謂的research
[00:00:56.440 --> 00:00:59.320]  都會有類似的東西 選了這個圖
[00:00:59.320 --> 00:01:03.560]  它說原來有親密關係的人會更加幸福
[00:01:03.560 --> 00:01:08.320]  所以頂頂粉紅色那些就叫做最幸福 非常幸福
[00:01:08.320 --> 00:01:11.840]  你看到已婚的人士是冠軍
[00:01:11.840 --> 00:01:14.840]  結了婚的人 感覺上會幸福一點
[00:01:14.840 --> 00:01:19.240]  但是那些未婚 但是在戀愛當中的人
[00:01:19.240 --> 00:01:21.440]  他都會幸福一點
[00:01:21.440 --> 00:01:23.840]  相反 比如黃色下面的那些
[00:01:23.840 --> 00:01:25.800]  覺得自己不夠幸福
[00:01:25.800 --> 00:01:30.680]  一般你見到單身 或者是離異 喪偶的人
[00:01:30.680 --> 00:01:33.960]  他們都是因爲很渴求親密關係
[00:01:33.960 --> 00:01:36.040]  所以他的幸福感就低一點
[00:01:36.040 --> 00:01:37.240]  不知道你認不認同
[00:01:37.240 --> 00:01:41.000]  可能有些人說 結婚那些都不是很幸福
[00:01:41.000 --> 00:01:45.080]  但是有些圖都挺好的
[00:01:45.080 --> 00:01:47.800]  它說幸福意味着什麼呢
[00:01:47.800 --> 00:01:50.080]  就是在定義上 怎麼去定義呢
[00:01:50.080 --> 00:01:52.880]  有四分之一的人都是這樣想的
[00:01:52.880 --> 00:01:55.760]  他說 擁有足夠的金錢
[00:01:55.760 --> 00:02:00.240]  能夠承擔自己和家人的物質
[00:02:00.240 --> 00:02:02.640]  精神生活的開銷
[00:02:02.640 --> 00:02:05.200]  這是幸福很重要的因素
[00:02:05.200 --> 00:02:07.480]  多少人同意的
[00:02:07.480 --> 00:02:11.880]  咦 都是週六崇拜的男人夠擔大力的
[00:02:11.880 --> 00:02:14.960]  週六崇拜的男人很大聲的
[00:02:14.960 --> 00:02:16.480]  爲什麼我會這麼說呢
[00:02:16.480 --> 00:02:18.640]  因爲在我們以前那一代
[00:02:18.640 --> 00:02:20.920]  就是我們60後出世的那一代
[00:02:20.920 --> 00:02:25.400]  大部分的男人一生有一個很共同的目標
[00:02:25.400 --> 00:02:26.520]  他們就是什麼
[00:02:26.520 --> 00:02:28.720]  養妻活兒
[00:02:28.720 --> 00:02:32.800]  他們一直以能夠養得起老婆
[00:02:32.800 --> 00:02:35.640]  不用上班爲榮
[00:02:35.640 --> 00:02:38.960]  我看到有些人已經開始臉青了
[00:02:38.960 --> 00:02:40.920]  不用擔心 代表年輕人而已
[00:02:40.920 --> 00:02:42.280]  現在年輕人不是這樣想的
[00:02:42.280 --> 00:02:45.000]  我從B木那些做青年區的開始
