
[00:00:00.000 --> 00:00:04.000]  孔子明問候,弟兄姐妹平安
[00:00:04.000 --> 00:00:10.000]  當我讀這段聖經的時候
[00:00:10.000 --> 00:00:14.000]  預備這段聖經的時候
[00:00:14.000 --> 00:00:18.000]  有很多事情正在發生
[00:00:18.000 --> 00:00:22.000]  在過去十天內最大的新聞
[00:00:22.000 --> 00:00:28.000]  就是危機爆料的創辦人
[00:00:28.000 --> 00:00:34.000]  阿桑奇在倫敦被捕
[00:00:34.000 --> 00:00:38.000]  大家知不知道這件事?
[00:00:38.000 --> 00:00:42.000]  這件事引起很多人的談論
[00:00:42.000 --> 00:00:48.000]  對於時事的事情,我很有興趣
[00:00:48.000 --> 00:00:54.000]  阿桑奇做了什麼?大家知不知道?
[00:00:54.000 --> 00:00:58.000]  阿桑奇做了什麼事呢?
[00:00:58.000 --> 00:01:02.000]  他那個機構叫做危機爆料
[00:01:02.000 --> 00:01:08.000]  危機就是洩密
[00:01:08.000 --> 00:01:12.000]  是人家將這些國家的秘密交給他
[00:01:12.000 --> 00:01:16.000]  國家的秘密交給他
[00:01:16.000 --> 00:01:18.000]  他就把它放上網
[00:01:18.000 --> 00:01:20.000]  他不是美國人
[00:01:20.000 --> 00:01:22.000]  他沒有去偷
[00:01:22.000 --> 00:01:24.000]  是人家交給他
[00:01:24.000 --> 00:01:26.000]  是別人交給他
[00:01:26.000 --> 00:01:30.000]  那這個就是美國政權黑暗的東西呢?
[00:01:30.000 --> 00:01:32.000]  美國政權黑暗的東西呢?
[00:01:32.000 --> 00:01:34.000]  曝光了
[00:01:34.000 --> 00:01:38.000]  所以美國政府想抓他很久了
[00:01:38.000 --> 00:01:40.000]  用盡辦法
[00:01:40.000 --> 00:01:42.000]  用盡一切辦法
[00:01:42.000 --> 00:01:46.000]  他就被逼要去做厄加多爾人
[00:01:46.000 --> 00:01:52.000]  他被逼去做厄加多爾人
[00:01:52.000 --> 00:01:54.000]  所以厄加多爾是收容了他
[00:01:54.000 --> 00:01:58.000]  所以瓦爾多爾收留了他
[00:01:58.000 --> 00:02:02.000]  在倫敦的厄加多爾領事館那裏避難
[00:02:02.000 --> 00:02:04.000]  在倫敦的領事館避難
[00:02:04.000 --> 00:02:08.000]  在厄加多爾的Aquador領事館那裏避難
[00:02:08.000 --> 00:02:10.000]  在Aquador的領事館避難
[00:02:10.000 --> 00:02:12.000]  七年這麼久
[00:02:12.000 --> 00:02:14.000]  七年之久
[00:02:14.000 --> 00:02:16.000]  很少見陽光
[00:02:16.000 --> 00:02:18.000]  很少見陽光
[00:02:18.000 --> 00:02:19.000]  見到陽光少呢?
[00:02:19.000 --> 00:02:20.000]  見到陽光少
[00:02:20.000 --> 00:02:21.000]  身體很不妥嗎?
[00:02:21.000 --> 00:02:22.000]  身體就很糟糕
[00:02:22.000 --> 00:02:23.000]  兄弟姐妹
[00:02:23.000 --> 00:02:24.000]  兄弟姐妹
[00:02:24.000 --> 00:02:25.000]  出去曬曬太陽是好的
[00:02:25.000 --> 00:02:27.000]  出去曬曬太陽是好的
[00:02:27.000 --> 00:02:28.000]  好了
[00:02:28.000 --> 00:02:31.000]  那我就覺得
[00:02:31.000 --> 00:02:33.000]  我很有興趣這些事的
[00:02:33.000 --> 00:02:35.000]  對這些事情我很有興趣
[00:02:35.000 --> 00:02:37.000]  因為有人說他是一個英雄
[00:02:37.000 --> 00:02:38.000]  有人說他是一個英雄
[00:02:38.000 --> 00:02:40.000]  有人說他是一個Valent
[00:02:40.000 --> 00:02:42.000]  Valent就是一個藝人
[00:02:42.000 --> 00:02:44.000]  有人說他是一個壞人
[00:02:44.000 --> 00:02:45.000]  究竟誰對呢?
[00:02:45.000 --> 00:02:47.000]  究竟誰對呢?
[00:02:47.000 --> 00:02:48.000]  一個很好的辯論
[00:02:48.000 --> 00:02:50.000]  一個很好的辯論
[00:02:50.000 --> 00:02:51.000]  OK
[00:02:51.000 --> 00:02:52.000]  所以這個context
[00:02:52.000 --> 00:02:54.000]  他沒有去美國做壞事
[00:02:54.000 --> 00:02:55.000]  他沒有到美國去做壞事
[00:02:55.000 --> 00:02:59.000]  是人家將這些機密的東西交給他
[00:02:59.000 --> 00:03:00.000]  他就放上網
[00:03:00.000 --> 00:03:02.000]  是別人將一些秘密的東西交給他
[00:03:02.000 --> 00:03:03.000]  他就放上網
[00:03:03.000 --> 00:03:03.000]  是別人將一些秘密的東西交給他
[00:03:03.000 --> 00:03:04.000]  他就放上網
[00:03:04.000 --> 00:03:05.000]  是別人將一些秘密的東西交給他
[00:03:05.000 --> 00:03:06.000]  他就放上網
[00:03:06.000 --> 00:03:08.000]  那麼於是就有很多人
[00:03:08.000 --> 00:03:09.000]  他這次被捕
[00:03:09.000 --> 00:03:11.000]  很多人是為他憤憤不平
[00:03:11.000 --> 00:03:12.000]  他這次被捕
[00:03:12.000 --> 00:03:13.000]  有很多人為他憤憤不平
[00:03:13.000 --> 00:03:14.000]  有很多人為他憤憤不平
[00:03:14.000 --> 00:03:16.000]  我看YouTube有一個人寫得很好
[00:03:16.000 --> 00:03:17.000]  我看YouTube有一個人寫得很好
[00:03:17.000 --> 00:03:18.000]  我看YouTube有一個人寫得很好
[00:03:18.000 --> 00:03:22.000]  當一個政權做了壞事的時候
[00:03:22.000 --> 00:03:23.000]  當一個政權做了壞事的時候
[00:03:23.000 --> 00:03:24.000]  當一個政權做了壞事的時候
[00:03:24.000 --> 00:03:25.000]  你將真理講出來的時候
[00:03:25.000 --> 00:03:26.000]  你將真理講出來的時候
[00:03:26.000 --> 00:03:27.000]  你將真理講出來的時候
[00:03:27.000 --> 00:03:28.000]  你就犯罪了
[00:03:28.000 --> 00:03:29.000]  你就犯罪了
[00:03:29.000 --> 00:03:30.000]  你就犯罪了
[00:03:30.000 --> 00:03:31.000]  你就犯罪了
[00:03:31.000 --> 00:03:32.000]  這句話很漂亮
[00:03:32.000 --> 00:03:33.000]  這句話很漂亮
[00:03:33.000 --> 00:03:34.000]  這句話很漂亮
[00:03:34.000 --> 00:03:35.000]  於是我想到耶利米
[00:03:35.000 --> 00:03:36.000]  於是我想到耶利米
[00:03:36.000 --> 00:03:37.000]  於是我想到耶利米
[00:03:37.000 --> 00:03:41.000]  他將上帝的話傳出來
[00:03:41.000 --> 00:03:42.000]  他將上帝話傳出來
[00:03:42.000 --> 00:03:43.000]  他將上帝話傳出來
[00:03:43.000 --> 00:03:44.000]  當權的人聽到會怎樣
[00:03:44.000 --> 00:03:45.000]  當權的人聽到會怎樣
[00:03:45.000 --> 00:03:46.000]  當權的人聽到會怎樣
[00:03:46.000 --> 00:03:47.000]  當權的人聽到會怎樣
[00:03:47.000 --> 00:03:48.000]  你指責我
[00:03:48.000 --> 00:03:49.000]  你指責我
[00:03:49.000 --> 00:03:50.000]  你指責我
[00:03:50.000 --> 00:03:51.000]  你指責政權的人
[00:03:51.000 --> 00:03:52.000]  你指責政權的人
[00:03:52.000 --> 00:03:53.000]  你指責當政者
[00:03:53.000 --> 00:03:54.000]  你指責當政者
[00:03:54.000 --> 00:03:55.000]  你指責當政者
[00:03:55.000 --> 00:03:56.000]  那你就犯罪了
[00:03:56.000 --> 00:03:57.000]  那你就犯罪了
[00:03:57.000 --> 00:03:58.000]  那你就犯罪了
[00:03:58.000 --> 00:03:59.000]  所以耶利米的命運
[00:03:59.000 --> 00:04:00.000]  所以耶利米的命運
[00:04:00.000 --> 00:04:01.000]  是否將他後來被皇帝捉了
[00:04:01.000 --> 00:04:02.000]  是否將他後來被皇帝捉了
[00:04:02.000 --> 00:04:09.000]  是否將他後來被皇帝捉了
[00:04:09.000 --> 00:04:10.000]  我們想想耶穌
[00:04:10.000 --> 00:04:11.000]  我們想想耶穌
[00:04:11.000 --> 00:04:12.000]  我們想想耶穌
[00:04:12.000 --> 00:04:13.000]  耶穌是否指責
[00:04:13.000 --> 00:04:14.000]  耶穌是否指責
[00:04:14.000 --> 00:04:15.000]  當時宗教的領袖
[00:04:15.000 --> 00:04:16.000]  當時宗教的領袖
[00:04:16.000 --> 00:04:17.000]  當時宗教的領袖
[00:04:17.000 --> 00:04:18.000]  得罪上帝
[00:04:18.000 --> 00:04:19.000]  得罪上帝
[00:04:19.000 --> 00:04:20.000]  有七禍
[00:04:20.000 --> 00:04:21.000]  有七禍
[00:04:21.000 --> 00:04:22.000]  在馬太保養23章
[00:04:22.000 --> 00:04:23.000]  在馬太保養23章
[00:04:23.000 --> 00:04:24.000]  馬太保養23章
[00:04:24.000 --> 00:04:25.000]  得罪了這些什麼
[00:04:25.000 --> 00:04:26.000]  得罪了這些什麼
[00:04:26.000 --> 00:04:27.000]  得罪了這些什麼
[00:04:27.000 --> 00:04:28.000]  得罪了這些什麼
[00:04:28.000 --> 00:04:29.000]  得罪了這些什麼
[00:04:29.000 --> 00:04:30.000]  宗教人士
[00:04:30.000 --> 00:04:31.000]  得罪了這些什麼
[00:04:31.000 --> 00:04:32.000]  宗教人士
[00:04:32.000 --> 00:04:33.000]  宗教人士為什麼
[00:04:33.000 --> 00:04:34.000]  就抓了耶穌
[00:04:34.000 --> 00:04:35.000]  就抓了耶穌
[00:04:35.000 --> 00:04:36.000]  入他罪
[00:04:36.000 --> 00:04:37.000]  入他罪
