
[00:00:00.000 --> 00:00:03.400]  我們對耶穌身份的認識
[00:00:03.400 --> 00:00:06.520]  包括了以下這幾樣東西
[00:00:06.520 --> 00:00:17.000]  聖子、獨生子、救主、溫王、大祭司、羔羊、瀑人
[00:00:17.000 --> 00:00:20.000]  是約瑟瑪利亞的兒子
[00:00:20.000 --> 00:00:25.680]  或者按照門徒所理解是夫子
[00:00:25.680 --> 00:00:30.680]  剛才說那些身份,我相信一路提及時
[00:00:30.680 --> 00:00:40.680]  大家都會想起某些經文或想起一些片段
[00:00:40.680 --> 00:00:44.680]  有一個身份比較少人留意
[00:00:44.680 --> 00:00:48.680]  但在聖經裏有很清楚的記載
[00:00:48.680 --> 00:00:52.680]  原來耶穌擁有難民的身份
[00:00:52.680 --> 00:00:57.680]  不過這個身份我們比較少提出
[00:00:57.680 --> 00:01:03.680]  如果用難民,難民耶穌,似乎不是太好聽
[00:01:03.680 --> 00:01:07.680]  如果用一個優雅的稱呼,就是我今天用的題目
[00:01:07.680 --> 00:01:10.680]  一個異鄉客
[00:01:10.680 --> 00:01:15.680]  寄居在另一個地方,不是自己成長
[00:01:15.680 --> 00:01:18.680]  也不是自己的鄉下,不是自己的地方
[00:01:18.680 --> 00:01:20.680]  是一個異鄉客
[00:01:20.680 --> 00:01:24.680]  但這個異鄉客是一個真正的救主
[00:01:24.680 --> 00:01:28.680]  所以我今天要跟大家介紹和分享的是
[00:01:28.680 --> 00:01:33.680]  耶穌曾經擁有一個這樣的身份,是一個異鄉客
[00:01:33.680 --> 00:01:39.680]  剛才讀那段經文其實就是將耶穌這個身份介紹了出來
[00:01:39.680 --> 00:01:46.680]  不過因為這個記載好像很簡單
[00:01:46.680 --> 00:01:49.680]  也很快就略過了
[00:01:49.680 --> 00:01:52.680]  所以我們很多時候都沒有留意
[00:01:52.680 --> 00:01:55.680]  按照福音書的記載
[00:01:55.680 --> 00:01:59.680]  東方尼的博士朝拜完耶穌之後
[00:01:59.680 --> 00:02:03.680]  大家要留意,在這段經文裏面是很清楚地說
[00:02:03.680 --> 00:02:08.680]  當時耶穌不是一個嬰孩
[00:02:08.680 --> 00:02:10.680]  他是一個小孩子
[00:02:10.680 --> 00:02:12.680]  大概有多大呢?
[00:02:12.680 --> 00:02:18.680]  大概可能是一歲到兩歲的年紀
[00:02:18.680 --> 00:02:23.680]  為什麼我們會知道他不是一個嬰孩呢?
[00:02:23.680 --> 00:02:27.680]  原因就是我們從經文裏面看到
[00:02:27.680 --> 00:02:32.680]  東方的博士朝拜完耶穌之後
[00:02:32.680 --> 00:02:36.680]  本來希律,即是大希律王
[00:02:36.680 --> 00:02:40.680]  他要求東方博士告訴他
[00:02:40.680 --> 00:02:46.680]  究竟猶太人的生生王是在哪個地方誕生
