
[00:00:00.000 --> 00:00:06.600]  今天我們的題目就是:求祖教導我們禱告
[00:00:06.600 --> 00:00:14.600]  我們信祖以後,有兩件事情是我們每天都要做的
[00:00:14.600 --> 00:00:19.000]  有兩件事情,一件就是讀《聖經》、讀《聖誕話》
[00:00:19.000 --> 00:00:21.200]  一件呢,就是禱告
[00:00:21.200 --> 00:00:26.800]  所以就是,一個是好像是食物,我們每天都要喫飯
[00:00:26.800 --> 00:00:30.200]  我們呢,每天也都要呼吸
[00:00:30.200 --> 00:00:32.600]  那麼禱告就像呼吸
[00:00:32.600 --> 00:00:38.000]  讀《聖誕話》就是我們要來喫飯,喫着凌涼
[00:00:38.000 --> 00:00:44.600]  那麼這樣的話呢,才能夠保證我們在生命上能夠正常的發展
[00:00:44.600 --> 00:00:50.200]  然後我們知道我們一個人,如果一天不喫飯就會覺得餓
[00:00:50.200 --> 00:00:54.200]  兩天、三天,我們可能的體力就不夠了
[00:00:54.200 --> 00:00:59.000]  那我們讀《聖經》也是這樣的,每天都要讀
[00:00:59.000 --> 00:01:06.000]  不需要讀很多,但是每天都讀的話,就好像每天都要喫飯一樣的
[00:01:06.000 --> 00:01:10.000]  那我們禱告更是不能缺少的
[00:01:10.000 --> 00:01:16.600]  基督徒每天都要禱告,就像每個時候你都要呼吸一樣的
[00:01:16.600 --> 00:01:24.200]  那這樣的話呢,就叫我們靈理的生命能夠正常的發展
[00:01:24.200 --> 00:01:28.800]  那我們呢,我們知道這個道理
[00:01:28.800 --> 00:01:34.200]  但是我們呢,看起來兩個事情也很容易
[00:01:34.200 --> 00:01:38.400]  禱告呢,每個人能說話呢,都可以禱告
[00:01:38.400 --> 00:01:43.600]  有時候你也可以心裏頭默默地禱告,不出聲也可以禱告
[00:01:43.600 --> 00:01:49.400]  那我們讀《聖經》呢,這本《聖經》給我們的話,每個人都可以得到
[00:01:49.400 --> 00:01:52.200]  我們都有一點時間來讀
[00:01:52.200 --> 00:01:56.400]  所以這兩件事情呢,本來是很容易做到的
[00:01:56.400 --> 00:02:04.200]  但是呢,我自己發現呢,這兩件事情很容易,但是不能夠堅持
[00:02:04.200 --> 00:02:10.600]  有的時候就沒有去堅持了,有的時候就比較草率一些了
[00:02:10.600 --> 00:02:17.600]  不能夠真正的能夠把每天讀神的話,跟着每天的禱告呢
[00:02:17.600 --> 00:02:24.200]  能夠幫助我們有個正常的靈性的生活
[00:02:24.200 --> 00:02:28.400]  所以我想這個困難不是我們今天才有的
[00:02:28.400 --> 00:02:32.400]  當時的蒙徒呢,一定也有這個困難
[00:02:32.400 --> 00:02:37.600]  所以他看見耶穌禱告的時候,他就很羨慕
[00:02:37.600 --> 00:02:41.600]  可能看見耶穌禱告的時候,他的神態
[00:02:41.600 --> 00:02:47.600]  耶穌禱告,很可能不是說把自己關起來,一個人禱告
[00:02:47.600 --> 00:02:53.600]  有的時候他也會,有的時候我也會到曠野,到沒有人的地方禱告
[00:02:53.600 --> 00:02:59.600]  可是有的時候呢,很多時候呢,他禱告的時候,別人也看見
[00:02:59.600 --> 00:03:08.600]  這個蒙徒看見耶穌禱告的時候,那個神情的話,那麼的自然,那麼的親切,那麼的甘甜
[00:03:08.600 --> 00:03:13.600]  他就很羨慕,他也聽見他禱告的這些話
[00:03:13.600 --> 00:03:20.600]  所以他就說,如果我能夠像耶穌這樣禱告的話,那我就很有福氣了
[00:03:20.600 --> 00:03:25.600]  就是說我就覺得很收穫很大
[00:03:25.600 --> 00:03:30.600]  所以他就求耶穌求主教導我們禱告
[00:03:30.600 --> 00:03:33.600]  向約翰教導他的蒙徒
[00:03:33.600 --> 00:03:37.600]  那因爲他看到約翰也會教他的蒙徒怎麼禱告
[00:03:37.600 --> 00:03:40.600]  很可能也給他寫下來一些禱告文
[00:03:40.600 --> 00:03:43.600]  所以他也要耶穌這樣的說
[00:03:43.600 --> 00:03:50.600]  那麼耶穌就把這個禱告呢,就是從這個第二節開始
[00:03:50.600 --> 00:03:55.600]  你們要禱告的時候要說,從下面開始
[00:03:55.600 --> 00:04:01.600]  我們的天上的父開始,一直到最後,救我們脫離兇惡
[00:04:01.600 --> 00:04:08.600]  那麼這個呢,很多人就說這個主導文,主導文
[00:04:08.600 --> 00:04:11.600]  那麼這個非常重要
[00:04:11.600 --> 00:04:18.600]  有一些教會,我有時候到一些教會去講道,去傳講信息的話
[00:04:18.600 --> 00:04:23.600]  每次的話,這個每個禮拜天的節目裏頭
[00:04:23.600 --> 00:04:28.600]  有一項就是大家一起來唸主導文
[00:04:28.600 --> 00:04:33.600]  那麼他會在屏幕上打出來,把主導文的話打出來
[00:04:33.600 --> 00:04:37.600]  那麼會衆大家一起來讀
[00:04:37.600 --> 00:04:41.600]  每一次,每個禮拜天都是這樣
[00:04:41.600 --> 00:04:45.600]  但是這個主導文呢,其實不是主耶穌
[00:04:45.600 --> 00:04:49.600]  那一次的話,他說向父禱告
[00:04:49.600 --> 00:04:57.600]  他不是說,他每次禱告都是把這些話念給父神聽
[00:04:57.600 --> 00:05:03.600]  也不是叫我們把這些話,在我們禱告的時候,我們也把它念一遍
[00:05:03.600 --> 00:05:07.600]  他那是告訴我們一個禱告的原則
[00:05:07.600 --> 00:05:11.600]  我們向神禱告,向我們的父禱告
[00:05:11.600 --> 00:05:17.600]  應該禱告什麼,他就在這個短短的三節詩經裏頭
[00:05:17.600 --> 00:05:23.600]  就把這個禱告的原則告訴我們
[00:05:23.600 --> 00:05:27.600]  那麼這個是原則
[00:05:27.600 --> 00:05:32.600]  那麼這個就是原則說,當你要向父神禱告的時候
[00:05:32.600 --> 00:05:38.600]  你首先要禱告,想到神的目的
[00:05:38.600 --> 00:05:43.600]  祂的旨意是什麼,神所要的是什麼
