
[00:00:00.000 --> 00:00:05.400]  剛才我們來看耶穌基督在地上行的第一個神蹟
[00:00:05.400 --> 00:00:08.600]  我們剛才看耶穌基督在地上所行的第一個神蹟
[00:00:08.600 --> 00:00:12.800]  你信不信有神蹟呢?
[00:00:12.800 --> 00:00:14.400]  你相不相信有神蹟呢?
[00:00:14.400 --> 00:00:17.400]  歷史裏面有記載有神蹟啦,當然
[00:00:17.400 --> 00:00:19.000]  歷史記載有神蹟
[00:00:19.000 --> 00:00:20.600]  但今天還有沒有神蹟呢?
[00:00:20.600 --> 00:00:22.000]  今天還有沒有神蹟?
[00:00:22.000 --> 00:00:26.000]  我記得小時候看過一個節目
[00:00:26.000 --> 00:00:28.000]  我記得小時候看過一個節目
[00:00:28.000 --> 00:00:29.800]  有一個魔術師
[00:00:29.800 --> 00:00:31.000]  有一個魔術師
[00:00:31.000 --> 00:00:33.800]  整架波音747變走了
[00:00:33.800 --> 00:00:36.000]  把整個波音747變走了
[00:00:36.000 --> 00:00:38.400]  記不記得這個節目?
[00:00:38.400 --> 00:00:40.200]  記不記得有這個節目?
[00:00:40.200 --> 00:00:42.400]  後來他更厲害
[00:00:42.400 --> 00:00:44.200]  後來他更厲害
[00:00:44.200 --> 00:00:45.600]  美國自由神像
[00:00:45.600 --> 00:00:47.000]  美國自由神像
[00:00:47.000 --> 00:00:48.000]  都變走了
[00:00:48.000 --> 00:00:49.000]  都變走了
[00:00:49.000 --> 00:00:51.600]  當然我們知道這個只是魔術
[00:00:51.600 --> 00:00:53.600]  我們當然知道這是魔術
[00:00:53.600 --> 00:00:54.800]  是演抹法
[00:00:54.800 --> 00:00:56.400]  是演抹法而已
[00:00:56.400 --> 00:00:57.600]  但實在呢
[00:00:58.000 --> 00:01:01.000]  你有沒有聽過有些人用刀劈自己?
[00:01:01.000 --> 00:01:04.400]  你有沒有聽過有些人用刀劈自己?
[00:01:04.400 --> 00:01:07.400]  用刀劈自己你有沒有試過?
[00:01:07.400 --> 00:01:08.400]  有沒有試過?
[00:01:08.400 --> 00:01:09.800]  當然不會
[00:01:09.800 --> 00:01:10.600]  當然不會
[00:01:10.600 --> 00:01:12.000]  但那個人不斷劈的時候
[00:01:12.000 --> 00:01:13.800]  你有沒有發覺他不會流血?
[00:01:13.800 --> 00:01:16.400]  但那個人不斷劈的時候
[00:01:16.400 --> 00:01:17.400]  他不會流血
[00:01:17.400 --> 00:01:19.000]  你說這是什麼事?
[00:01:19.000 --> 00:01:20.000]  你說這是什麼?
[00:01:20.000 --> 00:01:22.200]  這些我們叫神打
[00:01:22.200 --> 00:01:23.600]  我們叫神打
[00:01:23.600 --> 00:01:26.000]  這些就是鬼上身
[00:01:26.000 --> 00:01:27.400]  這是鬼上身
[00:01:27.800 --> 00:01:29.200]  鬼有沒有能力呢?
[00:01:29.200 --> 00:01:30.400]  鬼有沒有能力呢?
[00:01:30.400 --> 00:01:31.600]  鬼是有些能力的
[00:01:31.600 --> 00:01:33.200]  鬼是有些能力的
[00:01:33.200 --> 00:01:34.800]  不過他的能力都是有限的
[00:01:34.800 --> 00:01:36.800]  不過他的能力都是有限的
[00:01:36.800 --> 00:01:37.600]  你知道嗎?
[00:01:37.600 --> 00:01:38.600]  聖經這樣說
[00:01:38.600 --> 00:01:40.200]  你看聖經這麼講
[00:01:40.200 --> 00:01:42.000]  如果神不容許的時候
[00:01:42.000 --> 00:01:43.600]  如果神不允許的話
[00:01:43.600 --> 00:01:45.400]  我們一條頭髮都不能落在地上
[00:01:45.400 --> 00:01:48.400]  我們一根頭髮都不能掉在地上
[00:01:48.400 --> 00:01:50.600]  雖然魔鬼有能力
[00:01:50.600 --> 00:01:52.000]  雖然魔鬼有能力
[00:01:52.000 --> 00:01:53.600]  但神如果不容許的話
[00:01:53.600 --> 00:01:55.000]  如果神不允許的話
[00:01:55.000 --> 00:01:58.000]  他沒辦法在我們生命中做任何的事
[00:01:58.000 --> 00:02:00.400]  他沒辦法在我們生命中做任何的事
[00:02:00.400 --> 00:02:03.000]  所以我們不怕鬼
[00:02:03.000 --> 00:02:04.400]  所以我們不怕鬼
[00:02:04.400 --> 00:02:05.800]  那回過頭來
[00:02:05.800 --> 00:02:07.600]  那回過頭來
[00:02:07.600 --> 00:02:09.800]  那今天這個世界上有沒有神蹟呢?
[00:02:09.800 --> 00:02:11.400]  今天這個世界上有沒有神蹟呢?
[00:02:11.400 --> 00:02:14.800]  21世紀2016年會不會有神蹟呢?
[00:02:14.800 --> 00:02:17.400]  21世紀2016年有沒有神蹟呢?
[00:02:17.400 --> 00:02:21.400]  我們教會有一個弟兄
[00:02:21.400 --> 00:02:22.600]  我們教會有一個弟兄
[00:02:22.600 --> 00:02:23.400]  他有一個兒子
[00:02:23.400 --> 00:02:24.400]  他有一個兒子
[00:02:24.800 --> 00:02:27.200]  患了一種病叫做肌肉萎縮症
[00:02:27.200 --> 00:02:29.400]  患了一種病叫做肌肉萎縮症
[00:02:29.400 --> 00:02:31.600]  他由十多歲開始就患了這個病
[00:02:31.600 --> 00:02:33.400]  他十多歲開始就患了這個病
[00:02:33.400 --> 00:02:34.600]  醫生裡面說
[00:02:34.600 --> 00:02:37.600]  通常二十多歲左右就離開世界了
[00:02:37.600 --> 00:02:40.600]  醫生講這個他應該到二十多歲就會離開世界
