
[00:00:00.000 --> 00:00:05.200]  今天我們繼續去重塑教會的系列裡面
[00:00:05.200 --> 00:00:10.800]  我們看另一個題目是明白並且遵行神的旨意
[00:00:10.800 --> 00:00:15.840]  我們主要是看羅馬書第十二章第一到第二節
[00:00:15.840 --> 00:00:17.840]  我想大家都很熟悉的
[00:00:17.840 --> 00:00:21.760]  但是今天我主要是用這個標準譯本
[00:00:21.760 --> 00:00:25.840]  所以大家讀慣和合本可能看到一些不同的字眼
[00:00:25.840 --> 00:00:31.680]  所以我藉著神的各樣憐憫勸你們要把自己的身體獻上
[00:00:31.680 --> 00:00:35.120]  作為聖潔蒙神喜悅的活祭
[00:00:35.120 --> 00:00:37.680]  這是你們理所當然的侍奉
[00:00:37.680 --> 00:00:43.120]  不要效法者世代要藉著理性的更新而改變
[00:00:43.120 --> 00:00:46.640]  使你們可以分辨什麼是神的旨意
[00:00:46.640 --> 00:00:50.640]  那美善可喜悅完美的旨意
[00:00:50.640 --> 00:00:57.040]  保羅要我們把我們的身體獻上當是一個活的祭
[00:00:57.040 --> 00:00:59.040]  就好像我們平時一樣
[00:00:59.040 --> 00:01:01.520]  我們問三個問題
[00:01:01.520 --> 00:01:06.480]  為什麼我們要獻上自己的身體作為活祭
[00:01:06.480 --> 00:01:08.480]  What 什麼是活祭
[00:01:08.480 --> 00:01:12.640]  How 怎樣去獻上我們的身體作活祭
[00:01:12.640 --> 00:01:16.480]  其實保羅的答案已經寫得很明顯
[00:01:16.480 --> 00:01:21.040]  第一我們為什麼要把自己的身體獻上如同活祭
[00:01:21.040 --> 00:01:25.360]  保羅說因為神的各樣憐憫
[00:01:25.360 --> 00:01:27.120]  他按照這件事
[00:01:27.120 --> 00:01:29.680]  In view of the mercies of God
[00:01:29.680 --> 00:01:32.880]  他提出這個要求的原因
[00:01:32.880 --> 00:01:36.160]  我們就要在上文下理裡面說
[00:01:36.160 --> 00:01:40.560]  看看保羅所指的神的各樣憐憫是什麼意思
[00:01:40.560 --> 00:01:41.760]  第二
[00:01:41.760 --> 00:01:48.160]  什麼是身體可以當成一個活祭
[00:01:48.160 --> 00:01:49.680]  一個生命的活祭
[00:01:49.680 --> 00:01:54.080]  保羅在裡面給了三個特徵
[00:01:54.080 --> 00:01:56.640]  這個禮物是聖潔的
[00:01:56.640 --> 00:01:59.040]  這個禮物是神所喜悅的
[00:01:59.040 --> 00:02:04.320]  這個獻禮的侍奉是理所當然的
[00:02:04.320 --> 00:02:09.920]  有些譯本翻譯為真正或者是屬靈的敬拜
[00:02:09.920 --> 00:02:16.320]  第三怎樣去實際地轉化我們的生命成為一個活生生的禮物
[00:02:16.320 --> 00:02:21.440]  聖潔神所喜悅而是一個真正屬靈的敬拜呢
[00:02:21.440 --> 00:02:24.240]  方法就是不要效法這個世界
[00:02:24.240 --> 00:02:29.120]  而是透過更新的理性去改變
[00:02:29.120 --> 00:02:31.680]  因為當我們的心思意念改變的時候
[00:02:31.680 --> 00:02:35.520]  我們就能夠分辨神的旨意是什麼
[00:02:35.520 --> 00:02:38.080]  我們逐點去研究
[00:02:38.080 --> 00:02:42.240]  首先我們為什麼要將自己的身體獻上成為一個活祭呢
[00:02:42.240 --> 00:02:48.320]  這個可能是我講任何事情之前的最大障礙
[00:02:48.320 --> 00:02:52.400]  要人獻上自己的東西其實已經夠難了
[00:02:52.400 --> 00:02:53.840]  你想想舊約當中
[00:02:53.840 --> 00:02:55.760]  為什麼動物獻祭
[00:02:55.760 --> 00:03:00.880]  動物獻祭其實有個用來做贖罪有個阻嚇的作用
[00:03:00.880 --> 00:03:04.960]  因為他會讓那些罪人知道他所犯的過犯
[00:03:04.960 --> 00:03:08.000]  是要付出一個代價來補償的
[00:03:08.000 --> 00:03:11.360]  代價就使得他下次同樣受引誘
[00:03:11.360 --> 00:03:15.680]  或者不小心準備再犯的時候會三思
[00:03:15.680 --> 00:03:20.160]  但是這個代價都仍然是生外物動物
[00:03:20.160 --> 00:03:21.840]  保羅這裡說的話
[00:03:21.840 --> 00:03:24.880]  我們要獻上的是我們自己
[00:03:24.880 --> 00:03:26.160]  我們自己的身體
[00:03:26.160 --> 00:03:29.120]  我們自己的生命
[00:03:29.120 --> 00:03:33.600]  如果你看看羅馬書第十二章上下文的時候
[00:03:33.600 --> 00:03:39.280]  我們就會看到他的答案神的各樣的憐憫神的慈悲
[00:03:39.280 --> 00:03:42.800]  有中文和合本的時候的意思
[00:03:42.800 --> 00:03:46.720]  如果手上有手機有電話可以看得到
[00:03:46.720 --> 00:03:48.640]  羅馬書其實是比較好的
[00:03:48.640 --> 00:03:51.760]  因為那個時候就會探探前前後後
[00:03:51.760 --> 00:03:55.840]  羅馬書第十二章之前幾章的經文裡面
[00:03:55.840 --> 00:03:59.840]  保羅似乎是有一個寫作的動機
[00:03:59.840 --> 00:04:05.360]  他似乎在疏導在化解羅馬教會當中
[00:04:05.360 --> 00:04:08.800]  有一些講希伯來話的猶太裔基督徒
[00:04:08.800 --> 00:04:12.880]  和外邦的基督徒之間的一個緊張的關係
[00:04:12.880 --> 00:04:18.240]  詳細的歷史的背景我們其實只能夠推測
