
[00:00:00.000 --> 00:00:03.000]  各位午堂頂姐妹平安
[00:00:03.000 --> 00:00:10.000]  很多時站在港台上講道的人
[00:00:10.000 --> 00:00:16.000]  其實都是一個在很危險的位置
[00:00:16.000 --> 00:00:22.000]  因為很多時他為了表達他講道的內容
[00:00:22.000 --> 00:00:26.000]  難免他都會將一些生活的例子講出來
[00:00:27.000 --> 00:00:31.000]  而這些生活的例子很多時都是來自自己的經歷
[00:00:31.000 --> 00:00:35.000]  因為講別人就不是那麼好
[00:00:35.000 --> 00:00:38.000]  通常講自己應該都可以
[00:00:38.000 --> 00:00:42.000]  但這些很多時都是軟弱
[00:00:42.000 --> 00:00:43.000]  一些是過去
[00:00:43.000 --> 00:00:46.000]  但在這裡都願意跟頂姐妹分享
[00:00:46.000 --> 00:00:51.000]  記得在十多年前
[00:00:51.000 --> 00:00:55.000]  當時還是三四字頭左右
[00:00:55.000 --> 00:01:00.000]  每逢在香港經過一些醫務所
[00:01:00.000 --> 00:01:03.000]  或者去到一些牙醫診所
[00:01:03.000 --> 00:01:06.000]  其實自己內心都有一種很特別的感覺
[00:01:06.000 --> 00:01:16.000]  因為其實自己跟醫學院都兩次擦肩而過
[00:01:16.000 --> 00:01:18.000]  當然現在過了這麼久
[00:01:18.000 --> 00:01:21.000]  這份感覺已經消失了
[00:01:22.000 --> 00:01:26.000]  但曾幾何時當時還是年少十幾二十歲
[00:01:26.000 --> 00:01:28.000]  就覺得醫生很有型
[00:01:28.000 --> 00:01:31.000]  賺錢又多
[00:01:31.000 --> 00:01:34.000]  你知道香港做醫生是辛苦的
[00:01:34.000 --> 00:01:36.000]  但都很有型
[00:01:36.000 --> 00:01:39.000]  甚至當時我記得我有一個同學
[00:01:39.000 --> 00:01:40.000]  他現在都是醫生
[00:01:40.000 --> 00:01:41.000]  不過他都快要退休了
[00:01:41.000 --> 00:01:43.000]  他都收成期了
[00:01:43.000 --> 00:01:45.000]  所以他都提早退休
[00:01:45.000 --> 00:01:46.000]  去了加拿大
[00:01:46.000 --> 00:01:50.000]  那位同學是中學讀書的
[00:01:51.000 --> 00:01:53.000]  他說醫生很有型
[00:01:53.000 --> 00:01:56.000]  就算車子停泊在路邊
[00:01:56.000 --> 00:01:57.000]  放一個聽筒
[00:01:57.000 --> 00:01:59.000]  放一件白袍在車頭
[00:01:59.000 --> 00:02:01.000]  警察都會給面子
[00:02:01.000 --> 00:02:03.000]  當時我們很小
[00:02:03.000 --> 00:02:06.000]  不知道警察怎麼會因為你放了什麼
[00:02:06.000 --> 00:02:07.000]  在這裡不抄牌
[00:02:07.000 --> 00:02:09.000]  但當時小時候就是這樣的印象
[00:02:09.000 --> 00:02:11.000]  醫生很有型
[00:02:11.000 --> 00:02:13.000]  社會很有地位
[00:02:13.000 --> 00:02:15.000]  人們都會給你面子
[00:02:15.000 --> 00:02:16.000]  停泊車子
[00:02:16.000 --> 00:02:18.000]  人們當然以為你去救人
[00:02:18.000 --> 00:02:21.000]  所以都會不特別去教你
[00:02:21.000 --> 00:02:23.000]  那時候就有這樣的印象
[00:02:23.000 --> 00:02:24.000]  你通常都是這樣
[00:02:24.000 --> 00:02:26.000]  小朋友做什麼
[00:02:26.000 --> 00:02:28.000]  不是律師就是醫生
[00:02:28.000 --> 00:02:31.000]  不是醫生就是什麼師
[00:02:31.000 --> 00:02:36.000]  當時就很努力讀書
[00:02:36.000 --> 00:02:39.000]  不自量力
[00:02:39.000 --> 00:02:41.000]  自己讀書都不算很厲害
[00:02:41.000 --> 00:02:46.000]  兩次都擦肩而過
[00:02:46.000 --> 00:02:50.000]  因為我自己都重讀了一年的A-Level
[00:02:50.000 --> 00:02:52.000]  英國叫做Sixth Form
[00:02:52.000 --> 00:02:56.000]  所以兩次都不能夠進入醫學院
[00:02:56.000 --> 00:02:58.000]  到現在都覺得
[00:02:58.000 --> 00:02:59.000]  如果有人問
[00:02:59.000 --> 00:03:01.000]  人生如果再來多一次
[00:03:01.000 --> 00:03:03.000]  有什麼你會想做呢
[00:03:03.000 --> 00:03:04.000]  不知道你有沒有這樣想過
[00:03:04.000 --> 00:03:06.000]  例如會不會
[00:03:06.000 --> 00:03:10.000]  很可惜當時沒有捉緊第一個女朋友
[00:03:10.000 --> 00:03:14.000]  或者會不會當時入錯行
[00:03:14.000 --> 00:03:18.000]  很多時候都會有類似這樣的說笑
[00:03:18.000 --> 00:03:20.000]  當然知道時光不能倒流
[00:03:20.000 --> 00:03:24.000]  很多時候人生的關口過了就是過了
[00:03:24.000 --> 00:03:30.000]  其實2024年來到這裡都將會終結
[00:03:30.000 --> 00:03:32.000]  今天29號
[00:03:32.000 --> 00:03:34.000]  還有三天
[00:03:34.000 --> 00:03:37.000]  2024年就永遠成為歷史
[00:03:37.000 --> 00:03:40.000]  時間永遠都不等人
[00:03:41.000 --> 00:03:45.000]  不單止2024年在倒數之中
[00:03:45.000 --> 00:03:47.000]  其實你和我的人生
[00:03:47.000 --> 00:03:49.000]  從出生那天
[00:03:49.000 --> 00:03:51.000]  都在倒數
[00:03:51.000 --> 00:03:56.000]  我們每天都在倒數我們的生命
[00:03:56.000 --> 00:04:01.000]  其實很多事情可能我們很在意
[00:04:01.000 --> 00:04:05.000]  但是那些事情最終都捉不住
[00:04:05.000 --> 00:04:10.000]  就算當年我是有幸進了醫學院
[00:04:10.000 --> 00:04:12.000]  可能不會是一個好的醫生
[00:04:12.000 --> 00:04:15.000]  就算當時賺了很多錢
[00:04:15.000 --> 00:04:17.000]  到了這個年紀都差不多退休了
[00:04:17.000 --> 00:04:19.000]  那些錢可能都已經散了
[00:04:19.000 --> 00:04:24.000]  很多的傷心
[00:04:24.000 --> 00:04:25.000]  很多的過去
[00:04:25.000 --> 00:04:27.000]  或者很多的不甘心
[00:04:27.000 --> 00:04:29.000]  很多得不到的東西
[00:04:29.000 --> 00:04:33.000]  其實當你將來回望
[00:04:33.000 --> 00:04:36.000]  可能並不是你想得那麼重要
[00:04:37.000 --> 00:04:40.000]  當然這些只是一些過去
[00:04:40.000 --> 00:04:41.000]  你和我都知道
[00:04:41.000 --> 00:04:43.000]  很多事情都不能夠回頭
[00:04:43.000 --> 00:04:46.000]  但是人往往就是這樣
[00:04:46.000 --> 00:04:53.000]  手上有一隻杯裝著一些水
[00:04:53.000 --> 00:04:57.000]  如果你拿著這隻杯
[00:04:57.000 --> 00:04:59.000]  一分鐘
