
[00:00:00.000 --> 00:00:02.000]  各位聽眾,各位早晨
[00:00:02.000 --> 00:00:06.000]  今天是2017年最後一個主日
[00:00:06.000 --> 00:00:10.000]  不知道大家有沒有回想過往一年
[00:00:10.000 --> 00:00:13.000]  有沒有什麼熟齡的經驗是很難忘的呢?
[00:00:13.000 --> 00:00:15.000]  有沒有人開始回顧一下這一年呢?
[00:00:15.000 --> 00:00:17.000]  有沒有人呢?
[00:00:17.000 --> 00:00:19.000]  未必有吧?
[00:00:19.000 --> 00:00:23.000]  有高有低,有些開心的事情,有些不開心的事情
[00:00:23.000 --> 00:00:27.000]  我們說每一個人生的歷程都跟信仰是有關係的
[00:00:27.000 --> 00:00:29.000]  對於信徒來說
[00:00:29.000 --> 00:00:32.000]  每一件的事情,可能我們跌傷腳
[00:00:32.000 --> 00:00:36.000]  或者是有些家庭的事情出現
[00:00:36.000 --> 00:00:40.000]  或者是信徒信徒之間的關係
[00:00:40.000 --> 00:00:43.000]  之前之後怎樣發生出現
[00:00:43.000 --> 00:00:46.000]  我們怎樣反省,怎樣回應,怎樣跟進
[00:00:46.000 --> 00:00:48.000]  都跟我們信仰很有關係
[00:00:48.000 --> 00:00:51.000]  今天讀的經文,要講到一段經文
[00:00:51.000 --> 00:00:54.000]  是我順著初期已經很熟悉的經文
[00:00:54.000 --> 00:00:56.000]  特別是第五章十七節
[00:00:56.000 --> 00:01:00.000]  上次背經聖經文的比賽是我出的題目
[00:01:00.000 --> 00:01:01.000]  誰會背?
[00:01:01.000 --> 00:01:03.000]  好像只有一位會背
[00:01:03.000 --> 00:01:08.000]  是一個很重要的新做的人
[00:01:08.000 --> 00:01:11.000]  一個新的歷程,一個更新
[00:01:11.000 --> 00:01:17.000]  但是這一節的經文不單止對一個未信徒到信主的人適用
[00:01:17.000 --> 00:01:22.000]  其實這個經文是對每一個信徒都適用的
[00:01:22.000 --> 00:01:26.000]  哥倫多教會是一個保羅住了大約十八個月
[00:01:26.000 --> 00:01:31.000]  一年半左右在那裏服侍,傳揚,信仰的地方
[00:01:31.000 --> 00:01:34.000]  話說下一季追學,我教哥倫多前書
[00:01:34.000 --> 00:01:35.000]  今天都賣了告白
[00:01:35.000 --> 00:01:38.000]  如果你想上,聽完覺得哥倫多教會,哥倫多書信都是好的
[00:01:38.000 --> 00:01:39.000]  可以上一下
[00:01:39.000 --> 00:01:43.000]  這個教會是來自一個外邦世界
[00:01:43.000 --> 00:01:46.000]  一個很文明,很發達的城市
[00:01:46.000 --> 00:01:48.000]  可以當時來說,很多的人口
[00:01:48.000 --> 00:01:52.000]  有大約五十萬人口,是一個非常大的城市
[00:01:52.000 --> 00:01:55.000]  大城市有很多問題
[00:01:55.000 --> 00:02:02.000]  在道德,在拜偶像,各方面都是很不理想的
[00:02:02.000 --> 00:02:06.000]  有很多的荒淫,淫亂,荒煙,醉酒
[00:02:06.000 --> 00:02:09.000]  如果當時說我們去哥倫多
[00:02:09.000 --> 00:02:13.000]  那些人就說,哦,那你就是去拉斯維加斯了
[00:02:13.000 --> 00:02:17.000]  可能是同性結婚,可能是賭錢,可能是做很多事
[00:02:17.000 --> 00:02:19.000]  你就去這個地方吧
[00:02:19.000 --> 00:02:22.000]  所以哥倫多這個地方是很出名的
[00:02:22.000 --> 00:02:26.000]  不過是一個很腐敗的意思
[00:02:26.000 --> 00:02:29.000]  在這個背景裏
[00:02:29.000 --> 00:02:32.000]  保羅說這段經文十四至十九節
[00:02:32.000 --> 00:02:34.000]  其實前面有些上文說到
[00:02:34.000 --> 00:02:36.000]  你可以回去看聖經
[00:02:36.000 --> 00:02:39.000]  說到保羅和別人解釋
[00:02:39.000 --> 00:02:40.000]  譬如十三節,他說
[00:02:40.000 --> 00:02:44.000]  我們如果癲狂是為神,如果謹守是為了你們
[00:02:44.000 --> 00:02:45.000]  其實保羅在這裏說
[00:02:45.000 --> 00:02:49.000]  這段經文前面是說為何他侍奉這麼沒有底線
[00:02:49.000 --> 00:02:51.000]  為何這麼盡心地服侍
[00:02:51.000 --> 00:02:53.000]  是一種沒有保留的服侍
[00:02:53.000 --> 00:02:55.000]  保羅說到有些原因
[00:02:55.000 --> 00:02:59.000]  這裏十四至十九節就說到這個很核心的原因
[00:02:59.000 --> 00:03:02.000]  我不知道大家覺得你參與教會
[00:03:02.000 --> 00:03:05.000]  你信了主之後,有沒有一些很熱心的侍奉
[00:03:05.000 --> 00:03:07.000]  最熱心是做了些甚麼呢
[00:03:07.000 --> 00:03:11.000]  有些人最熱心就是在那裏幫忙接程序表
[00:03:11.000 --> 00:03:14.000]  我最熱心就是做這件事,最熱心做了這件事
[00:03:14.000 --> 00:03:16.000]  但對於保羅來說
[00:03:16.000 --> 00:03:17.000]  他不是做了一些事
[00:03:17.000 --> 00:03:20.000]  是他的人生完全扭轉過來
[00:03:20.000 --> 00:03:22.000]  將所有的壓上
[00:03:22.000 --> 00:03:25.000]  如果我們喜歡玩某種撲克的遊戲
[00:03:25.000 --> 00:03:26.000]  就是全部壓上
[00:03:26.000 --> 00:03:27.000]  All in
[00:03:27.000 --> 00:03:28.000]  全部放進去
[00:03:28.000 --> 00:03:30.000]  這是他的人生的信仰
[00:03:30.000 --> 00:03:32.000]  今天我們看看這幾節經文
[00:03:32.000 --> 00:03:34.000]  對我們在二零一七年
[00:03:34.000 --> 00:03:37.000]  二零一八年裏有甚麼可以值得思想
[00:03:37.000 --> 00:03:44.000]  第一個的提點就是在十四和十七節裏
[00:03:44.000 --> 00:03:48.000]  保羅說一個舊人成為一個新人
[00:03:48.000 --> 00:03:49.000]  我們再讀這兩節經文
[00:03:49.000 --> 00:03:50.000]  請讀
[00:03:50.000 --> 00:03:53.000]  原來基督的愛激勵我們
[00:03:53.000 --> 00:03:56.000]  因我們想一人機體眾人死
[00:03:56.000 --> 00:03:58.000]  眾人就死了
[00:03:58.000 --> 00:04:00.000]  若有人在基督裏
[00:04:00.000 --> 00:04:02.000]  他就是新造的人
[00:04:02.000 --> 00:04:06.000]  舊事已過都變成新的了
[00:04:06.000 --> 00:04:09.000]  我們知道今天我們活著在一個新的人
[00:04:09.000 --> 00:04:11.000]  一個舊的過去
[00:04:11.000 --> 00:04:13.000]  一個新的現在
[00:04:13.000 --> 00:04:15.000]  而這個舊和新
[00:04:15.000 --> 00:04:18.000]  不是信主那一刻的舊人
[00:04:18.000 --> 00:04:22.000]  譬如我信了主大概有三十七年
[00:04:22.000 --> 00:04:24.000]  大概三十七年
[00:04:24.000 --> 00:04:26.000]  不是三十七年前的舊和新
[00:04:26.000 --> 00:04:29.000]  是今天的新和昨日的舊
[00:04:29.000 --> 00:04:31.000]  是一個不斷的更新的歷程
[00:04:31.000 --> 00:04:33.000]  所以羅馬書十二章第一第二節
[00:04:33.000 --> 00:04:35.000]  都是講到心意更新而變化
[00:04:35.000 --> 00:04:38.000]  我們的信仰不是幾十年前
[00:04:38.000 --> 00:04:41.000]  三十七年前信了耶穌的舊和新
[00:04:41.000 --> 00:04:43.000]  而是昨日的舊和今天的新
[00:04:43.000 --> 00:04:45.000]  我們都要更新自己
[00:04:45.000 --> 00:04:49.000]  是每天成長的一種關係
[00:04:49.000 --> 00:04:51.000]  在基督裏面
[00:04:51.000 --> 00:04:55.000]  這種表達在保羅或聖經裏用了很多次
[00:04:55.000 --> 00:04:58.000]  基督裏面不單是信耶穌的意思
[00:04:58.000 --> 00:05:01.000]  是每天我們活出基督的榜樣
[00:05:01.000 --> 00:05:06.000]  我們頭腦所想的是不是關於基督的事情
[00:05:06.000 --> 00:05:08.000]  是不是他所想的事情
[00:05:08.000 --> 00:05:10.000]  我們所做人處事的方法
[00:05:10.000 --> 00:05:12.000]  是不是屬於耶穌的方法
[00:05:12.000 --> 00:05:14.000]  還是我們自己的方法
[00:05:14.000 --> 00:05:16.000]  我們所表達出來
[00:05:16.000 --> 00:05:18.000]  別人看到你說你像不像耶穌
[00:05:18.000 --> 00:05:19.000]  你是不是信耶穌
[00:05:19.000 --> 00:05:21.000]  你是不是能夠榮耀耶穌
[00:05:21.000 --> 00:05:23.000]  你都不行的
[00:05:23.000 --> 00:05:25.000]  你又這樣又小毛病又貪心
[00:05:25.000 --> 00:05:28.000]  你做些心急的紅燈
