
[00:00:00.000 --> 00:00:02.540]  鼎師傅平安,又來看聖經了
[00:00:02.540 --> 00:00:04.520]  還是在看阿伯拉罕
[00:00:04.520 --> 00:00:08.460]  這次聖經人、聖經事、生命樹為你預備
[00:00:08.460 --> 00:00:10.460]  娶了一個妻子
[00:00:10.460 --> 00:00:12.460]  這是什麼呢?
[00:00:12.460 --> 00:00:15.060]  阿伯拉罕叫僕人
[00:00:15.060 --> 00:00:19.220]  為他的兒子要娶一個妻子
[00:00:19.220 --> 00:00:21.220]  誰娶一個妻子呢?
[00:00:21.220 --> 00:00:24.220]  本來娶妻子就算了
[00:00:24.220 --> 00:00:26.220]  不過聖經裡面的字
[00:00:26.220 --> 00:00:30.020]  阿伯拉罕說你幫我兒子娶一個妻子
[00:00:30.020 --> 00:00:33.220]  所以用一個不是兩個
[00:00:33.220 --> 00:00:34.820]  不是數目的問題
[00:00:34.820 --> 00:00:36.420]  是娶妻
[00:00:36.420 --> 00:00:40.220]  和娶一個妻子是經文的字
[00:00:40.220 --> 00:00:42.020]  我們看看怎麼發生
[00:00:42.020 --> 00:00:44.220]  這幾天講的東西都很長
[00:00:44.220 --> 00:00:46.020]  為什麼呢?因為是故事
[00:00:46.020 --> 00:00:47.220]  不是一節金句
[00:00:47.220 --> 00:00:48.220]  很長
[00:00:48.220 --> 00:00:52.220]  我們在聖經故事裡面學習
[00:00:52.220 --> 00:00:54.220]  二十四章第一節
[00:00:54.220 --> 00:00:55.820]  阿伯拉罕年紀老邁
[00:00:55.820 --> 00:01:00.220]  向來在一切事上也華都似福及譚
[00:01:00.220 --> 00:01:05.020]  你看到阿伯拉罕不單武功好
[00:01:05.020 --> 00:01:07.020]  四王戰勝五王
[00:01:07.020 --> 00:01:10.020]  他還很懂得人情世故
[00:01:10.020 --> 00:01:12.020]  又很懂得做生意
[00:01:12.020 --> 00:01:13.020]  很富裕
[00:01:13.020 --> 00:01:15.020]  去到做一個寄居的
[00:01:15.020 --> 00:01:17.020]  他沒有說神將這塊地給了我
[00:01:17.020 --> 00:01:19.020]  你們將來都是我管轄的
[00:01:19.020 --> 00:01:21.020]  我是一個寄居的人
[00:01:21.020 --> 00:01:22.020]  外人來的
[00:01:22.020 --> 00:01:24.020]  想找塊地娶我太太
[00:01:24.020 --> 00:01:26.020]  我煮你拿去
[00:01:26.020 --> 00:01:27.420]  這樣就很好
[00:01:27.420 --> 00:01:29.020]  開這麼高的價
[00:01:29.020 --> 00:01:30.020]  他聰明照給
[00:01:30.020 --> 00:01:32.020]  四百尺赫勒
[00:01:32.020 --> 00:01:33.420]  真是天價
[00:01:33.420 --> 00:01:34.420]  我覺得
