
[00:00:00.000 --> 00:00:04.280]  可以在這裏和大家分享一場懸主的話語祝福大家
[00:00:04.280 --> 00:00:07.480]  開始前我想說我們教會今年的主題是甚麼
[00:00:07.480 --> 00:00:08.120]  記不記得
[00:00:08.120 --> 00:00:09.480]  不記得就快點看
[00:00:09.480 --> 00:00:12.480]  就是進入社區活出福音
[00:00:12.480 --> 00:00:16.320]  我不知道你們有多少去實踐或者去嘗試
[00:00:16.320 --> 00:00:18.080]  我就自己檢視自己
[00:00:18.080 --> 00:00:21.240]  我覺得我自己已經做了50%
[00:00:21.240 --> 00:00:22.240]  為甚麼呢
[00:00:22.240 --> 00:00:24.760]  話說我兩個月前就結婚
[00:00:24.760 --> 00:00:26.400]  搬了來西灣河區
[00:00:26.400 --> 00:00:30.880]  所以我肉身上完全進入了這個社區
[00:00:30.880 --> 00:00:33.600]  所以我覺得我已經做到前半部分
[00:00:33.600 --> 00:00:36.680]  但後半部分當然就一起努力
[00:00:36.680 --> 00:00:38.480]  我想分享的是
[00:00:38.480 --> 00:00:40.080]  其實看這張照片
[00:00:40.080 --> 00:00:41.800]  我兩個月前就結婚
[00:00:41.800 --> 00:00:43.800]  我有一個新的身份
[00:00:43.800 --> 00:00:45.760]  就是別人的丈夫
[00:00:45.760 --> 00:00:47.160]  我們看看這張照片
[00:00:47.160 --> 00:00:48.800]  我一些食物的照片
[00:00:48.800 --> 00:00:52.120]  這些照片全部都是我老婆做的
[00:00:52.120 --> 00:00:53.840]  就是Anna姐姐做的
[00:00:53.840 --> 00:00:55.800]  不是這個意思
[00:00:55.800 --> 00:00:58.280]  因為這張照片看不到味道
[00:00:58.280 --> 00:01:00.040]  所以暫時不用拍
[00:01:00.040 --> 00:01:01.480]  我想分享的是
[00:01:01.480 --> 00:01:02.560]  我有一個身份
[00:01:02.560 --> 00:01:03.760]  就是丈夫的身份
[00:01:03.760 --> 00:01:06.080]  我也在適應或者學習
