
[00:00:00.000 --> 00:00:03.000]  如果我問大家今天是甚麼特別日子
[00:00:03.000 --> 00:00:05.000]  你會怎麼說呢?
[00:00:05.000 --> 00:00:09.000]  沒有呀?
[00:00:09.000 --> 00:00:11.000]  有沒有甚麼特別日子呀?
[00:00:11.000 --> 00:00:14.000]  有沒有人生日呀今天?
[00:00:14.000 --> 00:00:16.000]  有沒有人結婚周年呀?
[00:00:16.000 --> 00:00:18.000]  今天是甚麼日子呢?
[00:00:18.000 --> 00:00:20.000]  可不可以告訴我?
[00:00:20.000 --> 00:00:22.000]  12月28號囉
[00:00:22.000 --> 00:00:24.000]  有多難呢?
[00:00:24.000 --> 00:00:26.000]  是聖誕之後的崇拜是嗎?
[00:00:26.000 --> 00:00:29.000]  但亦是2014年最後的崇拜是嗎?
[00:00:29.000 --> 00:00:31.000]  你跟隔壁說
[00:00:31.000 --> 00:00:34.000]  我們很開心在最後的崇拜跟你一起敬拜主
[00:00:34.000 --> 00:00:41.000]  2014年很快要過去
[00:00:41.000 --> 00:00:42.000]  最近呢
[00:00:42.000 --> 00:00:44.000]  我不知道大家有沒有玩念書呀
[00:00:44.000 --> 00:00:45.000]  Facebook
[00:00:45.000 --> 00:00:47.000]  又另一種洗版是嗎?
[00:00:47.000 --> 00:00:50.000]  以往有一種叫Look Back
[00:00:50.000 --> 00:00:51.000]  就會將你呢
[00:00:51.000 --> 00:00:53.000]  由你開這個Facebook帳戶
[00:00:53.000 --> 00:00:54.000]  到那一天
[00:00:54.000 --> 00:00:55.000]  你的相片呢
[00:00:55.000 --> 00:00:57.000]  就會Post出來是嗎?
[00:00:57.000 --> 00:00:59.000]  最近那個洗版是甚麼呀?
[00:00:59.000 --> 00:01:01.000]  叫年度回顧呀
[00:01:01.000 --> 00:01:03.000]  有沒有Post到呀你們?
[00:01:03.000 --> 00:01:04.000]  沒有呀
[00:01:04.000 --> 00:01:05.000]  因為我看過我的相片
[00:01:05.000 --> 00:01:07.000]  我覺得不是很漂亮
[00:01:07.000 --> 00:01:09.000]  還有好像呢
[00:01:09.000 --> 00:01:10.000]  他幫我選的
[00:01:10.000 --> 00:01:14.000]  我覺得又不是我覺得很重要的一些事情
[00:01:14.000 --> 00:01:15.000]  不過
[00:01:15.000 --> 00:01:16.000]  當我真的回顧的時候
[00:01:16.000 --> 00:01:18.000]  我看到一些相片
[00:01:18.000 --> 00:01:19.000]  特別呢
[00:01:19.000 --> 00:01:20.000]  我和我先生23
[00:01:20.000 --> 00:01:22.000]  結婚周年紀念的時候
[00:01:22.000 --> 00:01:24.000]  我想起23年
[00:01:24.000 --> 00:01:26.000]  是很多恩典
[00:01:26.000 --> 00:01:27.000]  縱然呢
[00:01:27.000 --> 00:01:29.000]  很多的難處
[00:01:29.000 --> 00:01:30.000]  人生就是這樣
[00:01:30.000 --> 00:01:31.000]  很多難處
[00:01:31.000 --> 00:01:32.000]  不過再回顧呢
[00:01:32.000 --> 00:01:33.000]  有很多恩典
[00:01:33.000 --> 00:01:35.000]  就算你沒有Facebook也好
[00:01:35.000 --> 00:01:37.000]  今天我們就一起去回顧
[00:01:37.000 --> 00:01:39.000]  上帝在我們生命的恩典
[00:01:39.000 --> 00:01:41.000]  在今天我會講
[00:01:41.000 --> 00:01:42.000]  菲律賓書第四章
[00:01:42.000 --> 00:01:44.000]  亦都是最後一章
[00:01:44.000 --> 00:01:48.000]  在年初的時候
[00:01:48.000 --> 00:01:49.000]  當我開始講菲律賓書
[00:01:49.000 --> 00:01:52.000]  當時是年少第一日
[00:01:52.000 --> 00:01:54.000]  那天就是約書亞區
[00:01:54.000 --> 00:01:55.000]  即是我木區要負責
[00:01:55.000 --> 00:01:57.000]  我就要去港島
[00:01:57.000 --> 00:02:00.000]  那篇就覺得神很應的
[00:02:00.000 --> 00:02:02.000]  那篇就說我們要同心合意傳福音
[00:02:02.000 --> 00:02:05.000]  這是菲律賓書第一章
[00:02:05.000 --> 00:02:07.000]  無論你信逆
[00:02:07.000 --> 00:02:08.000]  面對什麼難處
[00:02:08.000 --> 00:02:09.000]  好像保羅
[00:02:09.000 --> 00:02:11.000]  就算他坐牢也要傳福音
[00:02:11.000 --> 00:02:13.000]  去到八月十月
[00:02:13.000 --> 00:02:17.000]  我分別去分享了第二章和第三章
[00:02:17.000 --> 00:02:18.000]  在那段日子
[00:02:18.000 --> 00:02:20.000]  我們要去學習合一
[00:02:20.000 --> 00:02:23.000]  神就將這個訊息給我們
[00:02:23.000 --> 00:02:26.000]  我們合一是因為我們在基督裏面
[00:02:26.000 --> 00:02:28.000]  我們要有合一的表現
[00:02:28.000 --> 00:02:29.000]  我們要活出一個謙卑
[00:02:29.000 --> 00:02:31.000]  一個信服的生命
[00:02:31.000 --> 00:02:33.000]  去見證基督
[00:02:33.000 --> 00:02:37.000]  我們在追求很多公義和平的時候
[00:02:37.000 --> 00:02:38.000]  神有提醒我們
[00:02:38.000 --> 00:02:41.000]  最重要我們追求的是耶穌基督
[00:02:41.000 --> 00:02:44.000]  祂要得著我們所得著的
[00:02:44.000 --> 00:02:46.000]  今天來到第四章
[00:02:46.000 --> 00:02:49.000]  菲律賓書最後一章
[00:02:49.000 --> 00:02:50.000]  保羅一開始
[00:02:50.000 --> 00:02:51.000]  他就稱菲律賓的信徒
[00:02:51.000 --> 00:02:53.000]  他說
[00:02:53.000 --> 00:02:54.000]  我所親愛
[00:02:54.000 --> 00:02:56.000]  我所想念的弟兄
[00:02:56.000 --> 00:02:59.000]  他說你們就是我的喜樂和冠冕
[00:02:59.000 --> 00:03:02.000]  當我們看新漢語
[00:03:02.000 --> 00:03:04.000]  簡單的解釋就是
[00:03:04.000 --> 00:03:05.000]  我的弟兄
[00:03:05.000 --> 00:03:07.000]  我的喜樂和冠冕
[00:03:07.000 --> 00:03:10.000]  即是將這班弟兄稱為
[00:03:10.000 --> 00:03:11.000]  你是我的喜樂
[00:03:11.000 --> 00:03:13.000]  是我冠冕
[00:03:13.000 --> 00:03:14.000]  如果是外國人
[00:03:14.000 --> 00:03:17.000]  你會發覺他們很自由奔放
[00:03:17.000 --> 00:03:21.000]  我的寶貝
[00:03:21.000 --> 00:03:23.000]  即是我的寶貝
[00:03:23.000 --> 00:03:25.000]  你們有沒有稱呼你們的家人
[00:03:25.000 --> 00:03:26.000]  老公老婆
[00:03:26.000 --> 00:03:28.000]  子女會嗎
[00:03:28.000 --> 00:03:29.000]  會的
[00:03:29.000 --> 00:03:32.000]  我知道有些鬼鬼姊姊性格的人會
[00:03:32.000 --> 00:03:34.000]  Hello my sweetheart
[00:03:34.000 --> 00:03:36.000]  我兩個兒子小時候
[00:03:36.000 --> 00:03:38.000]  我都會叫他們心肝寶貝
[00:03:38.000 --> 00:03:39.000]  大一點就不行了
[00:03:39.000 --> 00:03:43.000]  他們覺得很肉麻
[00:03:43.000 --> 00:03:44.000]  保羅說
[00:03:44.000 --> 00:03:46.000]  這班信徒是他的喜樂
[00:03:46.000 --> 00:03:48.000]  是他的冠冕
[00:03:48.000 --> 00:03:50.000]  但當時保羅在哪裏呢
[00:03:50.000 --> 00:03:51.000]  如果大家記得
[00:03:51.000 --> 00:03:53.000]  菲律賓書是監獄書信
[00:03:53.000 --> 00:03:56.000]  即是保羅在監獄裏面
[00:03:56.000 --> 00:03:58.000]  有沒有喜樂呢
[00:03:58.000 --> 00:04:00.000]  沒有
[00:04:00.000 --> 00:04:03.000]  但這班信徒他們在經歷甚麼呢
[00:04:03.000 --> 00:04:04.000]  如果大家記得
[00:04:04.000 --> 00:04:07.000]  或者可能不是每個人都聽過的篇
[00:04:07.000 --> 00:04:10.000]  菲律賓教會當時面對的是
[00:04:10.000 --> 00:04:12.000]  內憂外患
[00:04:12.000 --> 00:04:14.000]  外患有很多假教師
[00:04:14.000 --> 00:04:17.000]  有很多假的教導
[00:04:17.000 --> 00:04:18.000]  內患有很多的紛爭
[00:04:18.000 --> 00:04:20.000]  很多的結黨
[00:04:20.000 --> 00:04:21.000]  所以不喜樂
[00:04:21.000 --> 00:04:24.000]  但菲律賓書正正出現了很多次
[00:04:24.000 --> 00:04:26.000]  這個中文的翻譯
[00:04:26.000 --> 00:04:27.000]  原文不是同一個字
[00:04:27.000 --> 00:04:29.000]  不過中文翻譯是同一個
