
[00:00:00.000 --> 00:00:03.000]  大興姐妹平安,我們先低頭禱告
[00:00:03.000 --> 00:00:08.000]  天父,我們多謝祢,因為祢的兒子為我們寫了十字架
[00:00:08.000 --> 00:00:12.000]  因為祢兒子的寫命,我們今天聚集在祢的面前
[00:00:12.000 --> 00:00:14.000]  成為一幫蒙愛的人
[00:00:14.000 --> 00:00:18.000]  我們願意一起思想祢自己的話語的時候
[00:00:18.000 --> 00:00:21.000]  祢再一次跟我們講祢救贖的偉大
[00:00:21.000 --> 00:00:23.000]  以致到我們心悅誠服的根蟲
[00:00:23.000 --> 00:00:26.000]  奉耶穌基督的名祈求,下門
[00:00:27.000 --> 00:00:30.000]  好,剛才師母大師也講過
[00:00:30.000 --> 00:00:36.000]  現在進入了受苦節和復活節的一個季節
[00:00:36.000 --> 00:00:42.000]  我記得上個禮拜去醫院
[00:00:42.000 --> 00:00:48.000]  在醫院看到很多人的頭上
[00:00:48.000 --> 00:00:53.000]  畫了一些黑色的炭或灰
[00:00:53.000 --> 00:00:57.000]  畫了一個十字,不知道上兩個禮拜的禮拜三
[00:00:57.000 --> 00:00:59.000]  你有沒有見過
[00:00:59.000 --> 00:01:04.000]  我想起那時候我在神學院讀書的時候
[00:01:04.000 --> 00:01:10.000]  有一個時間都是這樣的
[00:01:10.000 --> 00:01:13.000]  那個通常叫做 Ash Wednesday
[00:01:13.000 --> 00:01:18.000]  即是蘆灰中的星期三
[00:01:18.000 --> 00:01:23.000]  蘆灰中的星期三其實就標誌著
[00:01:23.000 --> 00:01:28.000]  接下來往後的四十天就是受苦節的時間
[00:01:28.000 --> 00:01:34.000]  基督徒就開始思想主耶穌基督的受苦
[00:01:34.000 --> 00:01:40.000]  我們也想像主耶穌為我們去賦上那麼多的時候
[00:01:40.000 --> 00:01:43.000]  我們在生活上,在這四十天
[00:01:43.000 --> 00:01:48.000]  盡量去一方面紀念主
[00:01:48.000 --> 00:01:51.000]  如果我們要去刻苦幾深
[00:01:51.000 --> 00:01:54.000]  聖經也有用這個名字刻苦幾深
[00:01:54.000 --> 00:02:02.000]  去和耶穌一起去經歷神對我們的救贖的時候
[00:02:02.000 --> 00:02:04.000]  我們去放下自己
[00:02:04.000 --> 00:02:08.000]  放下一些我們在世間上
[00:02:08.000 --> 00:02:13.000]  可能是我們很珍視的、很珍惜的
[00:02:13.000 --> 00:02:15.000]  但是也是捆綁著我們的
[00:02:15.000 --> 00:02:17.000]  我們再一次去反省
[00:02:17.000 --> 00:02:20.000]  我們和神的關係願意去放下
[00:02:20.000 --> 00:02:26.000]  所以如果你記得每次逢受苦節之前
[00:02:26.000 --> 00:02:28.000]  都會講一個系列
[00:02:28.000 --> 00:02:31.000]  因為這些不單只是一個
[00:02:31.000 --> 00:02:36.000]  我們信仰當中的一些時節的問題
[00:02:36.000 --> 00:02:38.000]  其實我們作為基督徒
[00:02:38.000 --> 00:02:41.000]  每逢這些時日的時候
[00:02:41.000 --> 00:02:44.000]  可能我們平時都有紀念主耶穌基督
[00:02:44.000 --> 00:02:45.000]  釘十字架
[00:02:45.000 --> 00:02:47.000]  但是我們也都
[00:02:47.000 --> 00:02:49.000]  就等於你平時都
[00:02:49.000 --> 00:02:50.000]  譬如你丈夫對太太好
[00:02:50.000 --> 00:02:52.000]  太太對丈夫好
[00:02:52.000 --> 00:02:54.000]  但是你生日的時候
[00:02:54.000 --> 00:02:56.000]  你特別可能煮一頓好吃的給他吃
[00:02:56.000 --> 00:02:57.000]  是不是?
[00:02:57.000 --> 00:02:58.000]  就是同樣的
[00:02:58.000 --> 00:02:59.000]  一樣的
[00:02:59.000 --> 00:03:02.000]  就是我們思想到主耶穌的受苦
[00:03:02.000 --> 00:03:03.000]  釘十字架
[00:03:03.000 --> 00:03:04.000]  我們平時都紀念
[00:03:04.000 --> 00:03:06.000]  但是這個特別的時日的時候
[00:03:06.000 --> 00:03:08.000]  我們更加去思想的時候
[00:03:08.000 --> 00:03:10.000]  更加去反省我們自己
[00:03:10.000 --> 00:03:13.000]  有些什麼是因為罪的緣故
[00:03:13.000 --> 00:03:15.000]  或者我們私慾的緣故
[00:03:15.000 --> 00:03:16.000]  捆綁著我們的
[00:03:16.000 --> 00:03:18.000]  我們好像和主耶穌
[00:03:18.000 --> 00:03:20.000]  和釘十字架一樣
