
[00:00:00.000 --> 00:00:05.560]  我們由今年一月開始一直在讀《馬可福音》
[00:00:05.560 --> 00:00:09.040]  我們給它一個講道系列的總題叫做
[00:00:09.040 --> 00:00:11.000]  《非凡的見證》
[00:00:11.000 --> 00:00:14.400]  不是因為馬可是一個非凡的作者
[00:00:14.400 --> 00:00:19.080]  而是因為主耶穌基督他是一個非凡的救主
[00:00:19.080 --> 00:00:24.040]  今天的經文是《馬可福音》第六章三十至四十四節
[00:00:24.040 --> 00:00:28.360]  今天的講題是《親自下傳》
[00:00:28.360 --> 00:00:32.160]  其實今天的講題也可以有另外一個題目
[00:00:32.160 --> 00:00:34.320]  另外一個題目會是
[00:00:34.320 --> 00:00:36.240]  荒野的盛宴
[00:00:36.240 --> 00:00:38.960]  在荒野裏面的盛宴
[00:00:38.960 --> 00:00:44.320]  主耶穌基督在荒野裏面為他所愛的羊群
[00:00:44.320 --> 00:00:48.360]  預備了一個豐盛的筵席
[00:00:48.360 --> 00:00:51.720]  這是一個家傳戶曉的神蹟
[00:00:51.720 --> 00:00:55.520]  我想大家如果讀過兒童的主要學
[00:00:55.520 --> 00:00:59.160]  一定有做過這套戲
[00:00:59.160 --> 00:01:03.600]  在《約翰》的版本裏面
[00:01:03.600 --> 00:01:08.120]  當有五千個男人或者差不多一萬個人
[00:01:08.120 --> 00:01:09.840]  加上一些女人和小朋友
[00:01:09.840 --> 00:01:13.360]  當他們很肚餓的時候
[00:01:13.360 --> 00:01:15.320]  而已經日落的時候
[00:01:15.320 --> 00:01:18.840]  沒有辦法再找到東西吃的時候
[00:01:18.840 --> 00:01:20.200]  有一個小朋友
[00:01:20.200 --> 00:01:21.600]  有一個男孩子
[00:01:21.600 --> 00:01:22.840]  我猜是男孩子
[00:01:22.840 --> 00:01:27.960]  有一個孩子拿了五個大麥餅和兩條魚出來
[00:01:27.960 --> 00:01:31.080]  於是耶穌顯了一個神蹟
[00:01:31.080 --> 00:01:36.280]  用這五個餅和兩條魚餵飽了五千個男人
[00:01:36.280 --> 00:01:40.600]  相信可能超過一萬的人次
[00:01:40.600 --> 00:01:43.880]  當老師教完你的主要學之後
[00:01:43.880 --> 00:01:46.320]  就會給你一點點應用
[00:01:46.320 --> 00:01:48.000]  問一下小朋友
[00:01:48.000 --> 00:01:51.080]  你的五餅二魚又在哪裏呢?
[00:01:51.080 --> 00:01:53.560]  有沒有想過你的五餅二魚
[00:01:53.560 --> 00:01:55.120]  如果擺在耶穌的手上
[00:01:55.120 --> 00:01:56.600]  擺在上帝的手上
[00:01:56.600 --> 00:01:59.200]  可以餵飽多少人呢?
[00:01:59.200 --> 00:02:00.800]  於是就說
[00:02:00.800 --> 00:02:06.080]  好,我們現在收奉獻了
[00:02:06.080 --> 00:02:08.440]  這個故事是不是這樣解釋的呢?
[00:02:08.440 --> 00:02:11.200]  這個故事是不是這樣應用的呢?
[00:02:11.200 --> 00:02:12.280]  我不知道你知不知道
[00:02:12.280 --> 00:02:14.600]  五餅二魚是一個很特別的故事
[00:02:14.600 --> 00:02:17.920]  五餅二魚是四福音裏面
[00:02:17.920 --> 00:02:21.040]  唯一四福音都有記載的神蹟
[00:02:21.040 --> 00:02:24.040]  耶穌有很多很多不同的神蹟
[00:02:24.040 --> 00:02:25.720]  有些在一個福音裏面
[00:02:25.720 --> 00:02:26.720]  有些在兩個福音裏面
[00:02:26.720 --> 00:02:28.160]  有些在三個福音裏面有
[00:02:28.160 --> 00:02:31.320]  但是只有五餅二魚的神蹟
[00:02:31.320 --> 00:02:34.120]  是四本福音書都有記載的
[00:02:34.120 --> 00:02:35.360]  就是說
[00:02:35.360 --> 00:02:36.240]  馬可也好
[00:02:36.240 --> 00:02:37.200]  馬太也好
[00:02:37.200 --> 00:02:37.880]  路加也好
[00:02:37.880 --> 00:02:38.560]  約翰也好
[00:02:38.560 --> 00:02:42.800]  都對這個神蹟情有獨鍾
[00:02:42.800 --> 00:02:44.960]  如果你很熟悉四福音的時候
[00:02:44.960 --> 00:02:46.120]  你可能跟我說
[00:02:46.120 --> 00:02:47.520]  林牧師其實你漏了一個
[00:02:47.520 --> 00:02:48.840]  其實還有另外一個神蹟
[00:02:48.840 --> 00:02:51.640]  四福音裏面都有的
[00:02:51.640 --> 00:02:54.080]  不過那個神蹟不是耶穌做的
[00:02:54.080 --> 00:02:56.240]  是耶穌被做的
[00:02:56.240 --> 00:02:59.040]  那個神蹟叫做復活
[00:02:59.040 --> 00:03:00.440]  是耶穌被復活
[00:03:00.440 --> 00:03:02.000]  不是耶穌自己做的
[00:03:02.000 --> 00:03:04.720]  是耶穌被復活的神蹟
