
[00:00:00.000 --> 00:00:06.000]  今天題目是 查驗 錯謬的零
[00:00:06.000 --> 00:00:14.000]  這個 錯謬的零 好像這個 假幣
[00:00:14.000 --> 00:00:16.000]  偽鈔
[00:00:16.000 --> 00:00:19.000]  有沒有收過偽鈔
[00:00:19.000 --> 00:00:22.000]  收的最多是什麼
[00:00:22.000 --> 00:00:25.000]  這個 100塊
[00:00:26.000 --> 00:00:30.000]  最流行 最多的假幣就是這個
[00:00:30.000 --> 00:00:33.000]  你怎麼去分別
[00:00:33.000 --> 00:00:35.000]  這個是假的 這個是真的
[00:00:35.000 --> 00:00:43.000]  很難分別
[00:00:43.000 --> 00:00:46.000]  正弟兄 假弟兄就很容易分別
[00:00:46.000 --> 00:00:48.000]  我們有一個假弟兄
[00:00:48.000 --> 00:00:51.000]  當初有沒有姓鄭的
[00:00:51.000 --> 00:00:53.000]  姓鄭的有沒有
[00:00:54.000 --> 00:00:57.000]  鄭的姐妹 是 鄭姐妹
[00:00:57.000 --> 00:00:59.000]  假弟兄 很容易分
[00:00:59.000 --> 00:01:06.000]  但是 真幣 假幣就很難分了
[00:01:06.000 --> 00:01:08.000]  怎麼去分
[00:01:08.000 --> 00:01:10.000]  你分不清楚
[00:01:10.000 --> 00:01:12.000]  如果你分得清楚
[00:01:12.000 --> 00:01:15.000]  你就不會收了這個假幣 對不對
[00:01:15.000 --> 00:01:19.000]  要找誰去分 去銀行
[00:01:20.000 --> 00:01:25.000]  他們一看 可能看不出來
[00:01:25.000 --> 00:01:27.000]  他要找什麼燈去照一照
[00:01:27.000 --> 00:01:29.000]  或者什麼去驗一驗
[00:01:29.000 --> 00:01:31.000]  打開他的電腦
[00:01:31.000 --> 00:01:35.000]  這個真幣 假幣的對照 可以找出來
[00:01:35.000 --> 00:01:40.000]  不過有一些在銀行裡面做的
[00:01:40.000 --> 00:01:47.000]  對我說 其實真幣 假幣
[00:01:47.000 --> 00:01:49.000]  很容易分出來
[00:01:50.000 --> 00:01:52.000]  看慣真的 假的
[00:01:52.000 --> 00:01:56.000]  一拿到手上 一看
[00:01:56.000 --> 00:01:58.000]  摸一摸他
[00:01:58.000 --> 00:02:01.000]  大概他可以有把握
[00:02:01.000 --> 00:02:04.000]  知道這個可能是假的
[00:02:04.000 --> 00:02:07.000]  當然還是要去驗證一下
[00:02:07.000 --> 00:02:09.000]  找這個機器去驗證一下
[00:02:09.000 --> 00:02:15.000]  如果你多看 多數這個真的幣
[00:02:15.000 --> 00:02:17.000]  真的鈔票
[00:02:17.000 --> 00:02:19.000]  假的幣 假的鈔票
[00:02:19.000 --> 00:02:21.000]  很容易就看出來了
