
[00:00:00.000 --> 00:00:10.000]  記者:鄧小姐,大家戴著口罩,看不到大家的笑容,不要緊,我們心照的。
[00:00:10.000 --> 00:00:17.000]  記者:星期日早上,我們難得可以回來教會敬拜、侍奉主。
[00:00:17.000 --> 00:00:24.000]  記者:我都不是很多機會戴著口罩講道,你更加不是很多機會戴著口罩聽道。
[00:00:24.000 --> 00:00:32.000]  記者:很好,我們覺得在這個地方,在疫症蔓延的時候,我們可以一齊回來教會敬拜。
[00:00:32.000 --> 00:00:41.000]  記者:最近我都想起兩位中國歷史的人物,他們的名字很特別的。
[00:00:41.000 --> 00:00:49.000]  記者:一個姓霍,叫做去病;一位姓申,叫做棄疾。
[00:00:49.000 --> 00:00:57.000]  記者:去病、棄疾,小時候讀書,讀到這些名字的時候,其實沒有什麼印象。
[00:00:57.000 --> 00:01:07.000]  記者:不過,年紀大了,剛好遇上疫症,就覺得他們的父親為他們改這兩個名字,非常有意思。
[00:01:07.000 --> 00:01:15.000]  記者:去病、棄疾,所以都祝願大家身體健康,百毒不侵。
[00:01:15.000 --> 00:01:19.000]  記者:還要藥到病除,口罩充足。
[00:01:19.000 --> 00:01:24.000]  記者:我最近還想,祝願人家什麼好呢?輪謝健康。
[00:01:24.000 --> 00:01:28.000]  記者:不單止我要健康,還要輪謝健康。
[00:01:28.000 --> 00:01:34.000]  記者:今天大家在這個地方一齊來敬拜,一齊聽道。
[00:01:34.000 --> 00:01:40.000]  記者:我們都知道很多人,突然之間在網上進行在家裡的敬拜,都很難得的。
[00:01:40.000 --> 00:01:54.000]  記者:我們一齊祈禱,天會感恩,我們能夠在這個很特別的日子,在這個非常時期,我們仍然如常的回到教會來敬拜你。
[00:01:54.000 --> 00:02:04.000]  記者:處於我們要顯出我們特別敬虔,我們只是想表示,我們特別需要主你的恩典,只求你來幫助。
[00:02:04.000 --> 00:02:12.000]  記者:我們不單止需要恩典來免除疫症,我們更加需要恩典來更加歸向你。
[00:02:12.000 --> 00:02:20.000]  記者:我們心更加轉向你,讓我們心思意念完全屬於你,奉耶穌基督的聖名求。
[00:02:20.000 --> 00:02:22.000]  記者:阿們。
[00:02:22.000 --> 00:02:28.000]  生命記第十五章是一段很特別的經文。
[00:02:28.000 --> 00:02:37.000]  那段經文提到以色列人每七年有一年叫做安息年。
[00:02:37.000 --> 00:02:42.000]  但他不單止說安息年,他特別提到的是一個豁免年。
[00:02:42.000 --> 00:02:52.000]  豁免什麼呢?他說如果弟兄欠債,欠你的債,到了第七年的時候,你就要豁免他的債項。
[00:02:52.000 --> 00:03:02.000]  很好喔,如果今天我們在銀行做mortgage,我們工作了六年,到第七年豁免我們的債項,那不就挺好喔。
[00:03:02.000 --> 00:03:05.000]  這個是舊約裡面的吩咐要求。
[00:03:05.000 --> 00:03:11.000]  他特別強調豁免的時候,他說你要放手豁免。
[00:03:11.000 --> 00:03:20.000]  放手豁免是我們和修本的翻譯,但其實舊的和合本翻譯用的字更加全神。
[00:03:20.000 --> 00:03:30.000]  他用鬆開手,什麼叫鬆開手呢?意思是你拿著那些錢,現在你鬆開放手了,open handed我們叫。
[00:03:30.000 --> 00:03:42.000]  廣東話是不要捏得太緊,你開公司的,你對你的員工不要捉得太緊,是這個意思,留有餘地的。
[00:03:42.000 --> 00:03:47.000]  新約聖經就不用鬆開手這個意義上了。
[00:03:47.000 --> 00:04:05.000]  新約聖經就耶穌教導我們,如果有人勉強你走一里路,你就不單止走一里路,並且和他走第二里路,去做額外的。
[00:04:05.000 --> 00:04:14.000]  保羅在羅馬書第十二章他有另一個說法,他說不要以惡報惡,眾人以為美的事要留心去作。
[00:04:14.000 --> 00:04:20.000]  他用了一個很全神的說法,他說你受敵若惡,你就給他吃喝,你就給他喝。
[00:04:20.000 --> 00:04:26.000]  我們見到有人惡,我們給他吃,我們見到有人喝,我們給他喝,人之常情。
[00:04:26.000 --> 00:04:33.000]  不過他說那個是你的受敵,他說你受敵如果是惡,你給他吃,若惡你給他喝。
[00:04:33.000 --> 00:04:42.000]  我就發覺好像為當時的社會,為當時的社區帶來一個正能量,我們叫用今天的說法。
[00:04:42.000 --> 00:04:49.000]  聖經用的字就是動了慈心,動了慈心。
[00:04:49.000 --> 00:04:58.000]  今天我們剛才和Jesus讀了一段經文,就是馬克福第一章,講耶穌醫治一個麻瘋病人。
[00:04:58.000 --> 00:05:09.000]  我們看第二章,第四十一節,他說耶穌動了慈心,就伸手摸他,說我肯,你潔淨了。
[00:05:09.000 --> 00:05:17.000]  這裡提到耶穌有兩個動作,第一個動作是動了慈心,第二個動作是伸手摸他。
[00:05:17.000 --> 00:05:25.000]  照這樣翻譯,我的印象就是耶穌做了兩個動作,那兩個動作好像沒有關係。
[00:05:25.000 --> 00:05:40.000]  中文翻譯加字中間,就,就是說動了慈心,就伸手摸他。動了慈心是裡面的,你看不到那種心。
[00:05:40.000 --> 00:05:50.000]  伸手摸他是看得到的一個動作,這兩個動作是配合的,是二一一二二的。
[00:05:50.000 --> 00:06:01.000]  照理來說,耶穌動了慈心,他伸手摸那個麻瘋病人,摸那個是嚴重皮膚病的,當年來說,是不治之症的。
