
[00:00:00.000 --> 00:00:03.660]  各位我們又開始我們的茶經了
[00:00:03.660 --> 00:00:07.820]  今天我們主要會看《史詩記》第十五章
[00:00:07.820 --> 00:00:11.980]  就是講參宣如何去殺菲利士人
[00:00:11.980 --> 00:00:15.320]  上次我們看了第十四章
[00:00:15.320 --> 00:00:18.060]  參宣喜歡了菲利士女人
[00:00:18.060 --> 00:00:20.660]  雖然父母阻止
[00:00:20.660 --> 00:00:23.680]  他說自己民族有這麼多好女孩
[00:00:23.680 --> 00:00:25.380]  為甚麼你不娶呢?
[00:00:25.380 --> 00:00:26.500]  他不會理
[00:00:26.500 --> 00:00:30.340]  結果他要跟菲利士女子行婚
[00:00:30.340 --> 00:00:33.380]  但是他已經融入了他們的民族裏面
[00:00:33.380 --> 00:00:37.000]  他去到她的家裏擺設婚宴
[00:00:37.000 --> 00:00:40.200]  但是他很想顯示自己的智慧
[00:00:40.200 --> 00:00:44.200]  於是用自己的經歷來出了一個謎語
[00:00:44.200 --> 00:00:45.520]  叫他們猜
[00:00:45.520 --> 00:00:49.020]  但是你自己的經歷怎樣猜得到呢?
[00:00:49.020 --> 00:00:52.800]  於是那班人就來要脅他的太太
[00:00:52.800 --> 00:00:56.580]  他說如果你不去套住那個謎底
[00:00:56.580 --> 00:00:59.800]  我們就會放火燒你的房子
[00:00:59.800 --> 00:01:03.920]  於是那個女人就不斷在他面前哭哭啼啼
[00:01:03.920 --> 00:01:06.320]  結果參宣忍受不了
[00:01:06.320 --> 00:01:08.580]  把那個謎底說出來了
[00:01:08.580 --> 00:01:10.880]  結果他就輸了
[00:01:10.880 --> 00:01:14.880]  然後就要完成他自己的承諾
[00:01:14.880 --> 00:01:19.740]  就是去拿三十件外衣和三十件女衣
[00:01:19.740 --> 00:01:22.440]  然後就給他們
[00:01:22.440 --> 00:01:24.440]  就走了
[00:01:24.440 --> 00:01:28.880]  結果這個婚姻就是一塌糊塗
[00:01:28.880 --> 00:01:30.260]  失敗終場
[00:01:30.260 --> 00:01:31.980]  我想分享一下
[00:01:31.980 --> 00:01:33.340]  查完經之後
[00:01:33.340 --> 00:01:35.820]  其實我都會檢討一下
[00:01:35.820 --> 00:01:38.660]  我自己講了些什麼
[00:01:38.660 --> 00:01:40.800]  但是我不會因為這樣就滿足了
[00:01:40.800 --> 00:01:43.440]  我會繼續去看不同的參考書
[00:01:43.440 --> 00:01:44.720]  看看還有沒有一些東西
[00:01:44.720 --> 00:01:46.520]  我可能漏了要補充的
[00:01:46.520 --> 00:01:49.020]  所以上次有些東西可能還沒有講
[00:01:49.020 --> 00:01:50.560]  我就先補充一點
[00:01:50.560 --> 00:01:53.600]  就是拿三十件外衣和三十件女衣
[00:01:53.600 --> 00:01:55.400]  內衣是什麼呢?
[00:01:55.400 --> 00:01:56.240]  大家都很熟悉
[00:01:56.240 --> 00:01:57.220]  就是我們穿的那些
[00:01:57.220 --> 00:01:58.400]  是貼身的
[00:01:58.400 --> 00:02:01.200]  是較為柔軟的布料造成的
[00:02:01.200 --> 00:02:03.700]  然後外衣請你記住
[00:02:03.700 --> 00:02:05.440]  就好像禮服一樣
[00:02:05.440 --> 00:02:08.640]  不是一件普通T恤裡面穿一件內衣
[00:02:08.640 --> 00:02:12.140]  普通人家只能夠製造一套衣服
[00:02:12.140 --> 00:02:15.840]  所以參宣要拿三十套外衣
[00:02:15.840 --> 00:02:17.400]  三十套女衣
[00:02:17.400 --> 00:02:22.740]  其實這個賭債是頗龐大的獎金
[00:02:22.740 --> 00:02:24.160]  然後就說到
[00:02:24.160 --> 00:02:28.720]  你們如果不是叫我家裡那隻母牛毒
[00:02:28.720 --> 00:02:31.560]  來套我的料
[00:02:31.560 --> 00:02:33.340]  你怎麼會知道呢?
[00:02:33.340 --> 00:02:37.780]  他竟然叫自己的妻子做母牛毒
[00:02:37.780 --> 00:02:39.880]  我們稍後
[00:02:39.880 --> 00:02:41.660]  就是九月第一個星期回來
[00:02:41.660 --> 00:02:44.720]  我們就會看參宣和大利拉的關係
[00:02:44.720 --> 00:02:47.540]  參宣在做牛要做的事情
[00:02:47.540 --> 00:02:48.740]  母牛毒是什麼呢?
[00:02:48.740 --> 00:02:52.120]  就是未曾生過嬰兒的牛
[00:02:52.120 --> 00:02:56.240]  通常是不會用來耕田的
[00:02:56.240 --> 00:03:00.900]  參宣就指責他們利用他的妻子套出來的謎底
[00:03:00.900 --> 00:03:06.000]  就好像用一隻不應該耕田的牛去耕田
[00:03:06.000 --> 00:03:08.280]  是非常不公平的
[00:03:08.280 --> 00:03:12.480]  其實我們看到一個人如果過分自信的話
[00:03:12.480 --> 00:03:15.640]  往往自己在危機中是不知道的
[00:03:15.640 --> 00:03:18.220]  他自己出這個謎語一定很厲害的
[00:03:18.220 --> 00:03:19.660]  他看自己有沒有弱點
[00:03:19.660 --> 00:03:25.080]  第十五章記載一些衝突事件
[00:03:25.080 --> 00:03:26.880]  你留意這幅圖
[00:03:26.880 --> 00:03:30.600]  參宣拿著什麼武器去對付那些菲律賓人
[00:03:30.600 --> 00:03:35.140]  原來參宣很想再續前緣
[00:03:35.140 --> 00:03:41.200]  但是這個前緣是很難再續的
[00:03:41.200 --> 00:03:44.580]  我們看《時事記》第十五章的第一節
[00:03:44.580 --> 00:03:47.720]  「過了四日子到割蜜子的時候
[00:03:47.720 --> 00:03:51.040]  參宣帶著一隻山羊羔去看他的妻子
[00:03:51.040 --> 00:03:53.600]  說我要進內室見我的妻子
[00:03:53.600 --> 00:03:56.220]  他岳父不容他進去」
[00:03:56.220 --> 00:03:58.540]  《聖經》記載再過了一段日子
[00:03:58.540 --> 00:04:01.660]  參宣就回去想見自己的妻子了
[00:04:01.660 --> 00:04:04.160]  這段日子究竟有多久呢?
[00:04:04.160 --> 00:04:06.640]  其實我們不是很知道
[00:04:06.640 --> 00:04:09.360]  怎樣去找妻子呢?
[00:04:09.360 --> 00:04:13.720]  很可能是一時怒氣沖沖
[00:04:13.720 --> 00:04:15.520]  很丟臉就走了
[00:04:15.520 --> 00:04:17.340]  過了一段時間
[00:04:17.340 --> 00:04:19.660]  心情就平復了
[00:04:19.660 --> 00:04:24.860]  這時候也很可能被另外一種情緒所影響
[00:04:24.860 --> 00:04:28.380]  回想起我的妻子是多麼的美麗
[00:04:28.380 --> 00:04:30.860]  她有多美妙的身材
[00:04:30.860 --> 00:04:33.180]  甚至他們曾經發生過關係
[00:04:33.180 --> 00:04:36.620]  在這段歡愉的時間是多麼的好呢?
[00:04:36.620 --> 00:04:39.420]  於是他很想得到情慾的滿足
[00:04:39.420 --> 00:04:40.780]  於是又怎樣呢?
[00:04:40.780 --> 00:04:42.580]  就回去見他的妻子了
[00:04:42.580 --> 00:04:44.100]  所以你有沒有留意到
[00:04:44.100 --> 00:04:46.820]  他要走進他的內室
[00:04:46.820 --> 00:04:50.380]  即是登堂入室、入睡房
[00:04:50.380 --> 00:04:52.500]  他帶著一隻羊羔
[00:04:52.500 --> 00:04:55.280]  應該是想帶給太太
[00:04:55.280 --> 00:04:59.020]  請她回家的時候一份回家的禮物
[00:04:59.020 --> 00:05:02.260]  但是岳父不讓他進入家門
[00:05:02.260 --> 00:05:03.560]  為甚麼?
[00:05:03.560 --> 00:05:06.220]  如果我們上次有查經的時候會知道
[00:05:06.220 --> 00:05:12.520]  原來他的妻子已經被他父親判了給
[00:05:12.520 --> 00:05:16.460]  另外一個當日30個人要監視參孫
[00:05:16.460 --> 00:05:18.580]  所謂陪伴他的兄弟
[00:05:18.580 --> 00:05:19.920]  就給了其中一個人
[00:05:19.920 --> 00:05:20.740]  為甚麼呢?
[00:05:20.740 --> 00:05:22.320]  擺著擺著
[00:05:22.320 --> 00:05:23.740]  婚宴的新郎哥走了
[00:05:23.740 --> 00:05:24.940]  剩下一個新娘子
[00:05:24.940 --> 00:05:26.440]  這樣很蒙面的
[00:05:26.440 --> 00:05:28.920]  這時候是一個很大的羞辱
[00:05:28.920 --> 00:05:31.120]  所以他就不讓她進去
[00:05:31.120 --> 00:05:35.620]  但是岳父就開出一個很特別的條件
[00:05:35.620 --> 00:05:38.640]  我們先看看是甚麼條件
[00:05:38.640 --> 00:05:41.680]  「我估定你是極其恨她
[00:05:41.680 --> 00:05:45.080]  因此我將她給了你的陪伴
[00:05:45.080 --> 00:05:47.860]  她的妹子不是比她還美麗嗎?
[00:05:47.860 --> 00:05:50.560]  你可以娶她來代替她」
[00:05:50.560 --> 00:05:52.160]  夫人說你走了
[00:05:52.160 --> 00:05:53.760]  我怎麼知道你會回來
[00:05:53.760 --> 00:06:01.540]  所以我就將你的妻子轉嫁給另外一個陪伴者
[00:06:01.540 --> 00:06:03.540]  現在這樣
[00:06:03.540 --> 00:06:07.320]  「她的妹子不是比她還美麗嗎?
[00:06:07.320 --> 00:06:11.560]  那不如你娶她來代替她吧」
[00:06:11.560 --> 00:06:15.180]  岳父願意將另一個女兒給他
[00:06:15.180 --> 00:06:17.480]  這個就是他的姨仔
[00:06:17.480 --> 00:06:19.780]  至少應該是更加年輕
[00:06:19.780 --> 00:06:21.780]  但可能更加漂亮
[00:06:21.780 --> 00:06:24.000]  但秋先不理會這些
