
[00:00:00.000 --> 00:00:05.000]  其實在人生的那邊,我們可以一生營營營營去做外面的事
[00:00:05.000 --> 00:00:11.000]  但我們怎樣去平衡我們的人生,在教會那邊,我們怎樣去平衡
[00:00:11.000 --> 00:00:15.000]  我都做過你們這樣的年紀的一個階段,一定做過的
[00:00:15.000 --> 00:00:21.000]  我不會一出世就變成25歲,我一定由零歲開始慢慢慢慢去到25歲
[00:00:21.000 --> 00:00:26.000]  但在過程那邊,我們亦都明白的,時代可能不同了
[00:00:26.000 --> 00:00:32.000]  過去的時代可能是一個比較單純一點,我們可能會有很多機會的時代
[00:00:32.000 --> 00:00:38.000]  但現在這個時代,我們會說沒有什麼機會了,我們的機會已經被我們這班外人家霸佔了
[00:00:38.000 --> 00:00:41.000]  我們又不肯走,又不肯退休,我們怎樣搶位呢
[00:00:41.000 --> 00:00:44.000]  我們亦都有很多的壓力,這種的感受
[00:00:44.000 --> 00:00:51.000]  加上在這個世代,其實美國最近一個最新一期的美國的時代雜誌
[00:00:51.000 --> 00:00:57.000]  它的主題就是這個是一個Me Me Me Generation
[00:00:57.000 --> 00:01:01.000]  即是一個很自我的一個時代
[00:01:01.000 --> 00:01:09.000]  如果是一個很自我的時代,又加上我們這個世代有很多的所謂保護主義的抬頭
[00:01:09.000 --> 00:01:11.000]  我們看到美國是一個保護主義的抬頭
[00:01:11.000 --> 00:01:16.000]  我們看到無論法國也好,意大利最近的大選也好
[00:01:16.000 --> 00:01:22.000]  亦都是開始慢慢慢慢看到一個很自我保護的一個時代的一個抬頭
[00:01:22.000 --> 00:01:25.000]  英國又脫歐,這個世界其實很多東西很混亂
[00:01:25.000 --> 00:01:31.000]  到我們今天看到世界這麼多混亂,忽然之間想起索馬里,我們想不到的
[00:01:31.000 --> 00:01:35.000]  因為被很多大國的問題已經霸佔了我們的思想
[00:01:35.000 --> 00:01:40.000]  所以我們從來都不會想起索馬里,一個東非的一個地方
[00:01:40.000 --> 00:01:43.000]  它死了幾百人,從來都沒有人知道
[00:01:43.000 --> 00:01:50.000]  以致到有時我們人自己因為自我的緣故,我們慢慢慢慢又開始有些麻木
[00:01:50.000 --> 00:01:54.000]  但另一方面,當我自己看回今天我想和大家分享的這段聖經
[00:01:54.000 --> 00:02:00.000]  就是在《江唔多前書》第三章,由第十節到十七節一段聖經的時候
[00:02:00.000 --> 00:02:05.000]  我就開始去想,我怎樣在一個很自我的世代裏邊
[00:02:05.000 --> 00:02:09.000]  我們在作為一個基督徒,我相信我們都是基督徒
[00:02:09.000 --> 00:02:12.000]  我相信我們大部份都說自己是基督徒
[00:02:12.000 --> 00:02:15.000]  我不是故意說自己是基督徒
[00:02:15.000 --> 00:02:19.000]  否則你不會坐在這裏,絕大部份都是基督徒
[00:02:19.000 --> 00:02:23.000]  但我們作為基督徒,我們面對現在這個世代
[00:02:23.000 --> 00:02:29.000]  我們怎樣和這個世代說,我們做基督徒是很特別
[00:02:29.000 --> 00:02:34.000]  我們怎樣和這個世界說,我們做基督徒是可以很感恩
[00:02:34.000 --> 00:02:41.000]  我們怎樣和這個世界說,我們做基督徒,我們可以讓他們羨慕
[00:02:41.000 --> 00:02:48.000]  我不知道大家上班的時候,旁邊的人同事知不知道你是基督徒
[00:02:48.000 --> 00:02:53.000]  知,是吧,應該知吧,知不知道
[00:02:53.000 --> 00:02:57.000]  教會應該知,教會不知就大件事
[00:02:57.000 --> 00:03:03.000]  但旁邊的人見到你是基督徒,他們會否羨慕你是基督徒
[00:03:03.000 --> 00:03:12.000]  或是覺得基督徒很老套,一個世界還有人去教會,教會是甚麼
[00:03:12.000 --> 00:03:17.000]  其實你和我是在面對同一個世界
[00:03:17.000 --> 00:03:21.000]  即是今天我們走出去,說自己是基督徒
[00:03:21.000 --> 00:03:25.000]  剛才一開始的時候,我們說明天是選舉,立法局
[00:03:25.000 --> 00:03:29.000]  其中有一區有個基督徒出來
[00:03:29.000 --> 00:03:33.000]  有個基督徒,整段時間都在說基督教
