
[00:00:00.000 --> 00:00:04.120]  真是主讓你的靈進到弟兄姊妹的生命裏面
[00:00:04.120 --> 00:00:08.680]  今日讓我們在你面前坦然無懼
[00:00:08.680 --> 00:00:11.760]  一切難阻我們親近你的
[00:00:11.760 --> 00:00:15.520]  一切的驕傲一切的心顏都要離開我們
[00:00:15.520 --> 00:00:18.040]  讓我們在敬拜的裏面
[00:00:18.040 --> 00:00:20.080]  在回應師的敬拜裏面
[00:00:20.080 --> 00:00:23.200]  讓我們更深的進到你的同在裏面
[00:00:23.200 --> 00:00:25.480]  主要讓我們進到你的同在裏面
[00:00:25.480 --> 00:00:27.960]  聖靈和我們的心去印證
[00:00:27.960 --> 00:00:31.800]  我們每一個對你所愛的兒女
[00:00:31.800 --> 00:00:36.800]  讓我們去領會去擁抱這個高貴的身份
[00:00:36.800 --> 00:00:39.280]  是天上爸爸寶貴的兒女
[00:00:39.280 --> 00:00:41.560]  這個身份是沒有任何人能夠奪去
[00:00:41.560 --> 00:00:44.320]  沒有任何過去沒有任何遭遇
[00:00:44.320 --> 00:00:45.760]  沒有任何的歷史
[00:00:45.760 --> 00:00:49.040]  沒有任何其他破爛了親近你的東西
[00:00:49.040 --> 00:00:50.760]  可以完全奪去
[00:00:50.760 --> 00:00:53.880]  主要今日就讓我們來到你的面前
[00:00:53.880 --> 00:00:56.720]  在天上的符案收在你的兒女身上
[00:00:56.720 --> 00:00:58.640]  挑冠長闊高深的愛
[00:00:58.640 --> 00:01:01.240]  聖靈幫助我們更加明白擁抱
[00:01:01.240 --> 00:01:03.360]  並且體會主你的心
[00:01:03.360 --> 00:01:06.360]  主要來到將你的心顯明
[00:01:06.360 --> 00:01:08.120]  告訴你的兒女
[00:01:08.120 --> 00:01:09.200]  我們奉耶穌基督的名
[00:01:09.200 --> 00:01:12.320]  吩咐一切破爛了我們親近你剛硬的心
[00:01:12.320 --> 00:01:14.160]  一切的驕傲要離開我們
[00:01:14.160 --> 00:01:15.960]  一切破爛了我們聽主你的聲音
[00:01:15.960 --> 00:01:17.120]  都要離開我們
[00:01:17.120 --> 00:01:19.480]  主要今天這個時刻
[00:01:19.480 --> 00:01:21.240]  讓我們分別為聖歸向你
[00:01:21.240 --> 00:01:22.480]  聖愛主我們多謝你
[00:01:22.480 --> 00:01:23.960]  聽我們禱告
[00:01:23.960 --> 00:01:26.360]  奉耶穌基督得聖阿明
[00:01:26.360 --> 00:01:26.920]  阿明
[00:01:26.920 --> 00:01:29.360]  頂姐妹請坐
[00:01:29.360 --> 00:01:33.000]  頂姐妹你怕不怕痛呢
[00:01:33.000 --> 00:01:34.880]  我記得在我十幾歲的時間
[00:01:34.880 --> 00:01:36.320]  真的很久之前
[00:01:36.320 --> 00:01:38.280]  十幾歲的時間我有一次
[00:01:38.280 --> 00:01:40.120]  在街上吃錯東西
[00:01:40.120 --> 00:01:42.080]  嚴重的腸胃炎
[00:01:42.080 --> 00:01:43.360]  不知道你有沒有試過
[00:01:43.360 --> 00:01:46.520]  肚子痛得不得了
[00:01:46.520 --> 00:01:47.800]  那天是什麼日子呢
[00:01:47.800 --> 00:01:50.200]  是年初一的夜晚
[00:01:50.200 --> 00:01:51.960]  所有的醫生都不開門
[00:01:51.960 --> 00:01:54.640]  唯有公立醫院的急症室開門
[00:01:54.640 --> 00:01:57.040]  大家可以想像那些日子裏面
[00:01:57.040 --> 00:01:58.200]  成千上萬的人
[00:01:58.200 --> 00:01:59.240]  湧在急症室
[00:01:59.240 --> 00:02:00.600]  塞在急症室裏面
[00:02:00.600 --> 00:02:01.720]  你要等多久
[00:02:01.720 --> 00:02:03.720]  如果那晚我要等三個小時
[00:02:03.720 --> 00:02:05.680]  就痛足三個小時
[00:02:05.680 --> 00:02:07.600]  之後我媽媽跟我說
[00:02:07.600 --> 00:02:08.680]  我兒子
[00:02:08.680 --> 00:02:10.920]  你那三個小時
[00:02:10.920 --> 00:02:12.640]  痛得臉都青了
[00:02:12.640 --> 00:02:14.040]  口唇都白了
[00:02:14.040 --> 00:02:15.800]  並且痛到冷汗一直
[00:02:15.800 --> 00:02:17.240]  一聲不響地下來
[00:02:17.240 --> 00:02:18.640]  濕透了
[00:02:18.640 --> 00:02:21.040]  這個是身體的痛
[00:02:21.040 --> 00:02:22.600]  除了身體的痛
[00:02:22.600 --> 00:02:24.840]  還有心靈的痛
[00:02:24.840 --> 00:02:26.720]  有一個小妹妹
[00:02:26.720 --> 00:02:27.880]  六歲第一時間
[00:02:27.880 --> 00:02:29.880]  她媽媽有婚外情
[00:02:29.880 --> 00:02:31.840]  離開了她的爸爸
[00:02:31.840 --> 00:02:33.640]  後來她爸爸再娶
[00:02:33.640 --> 00:02:35.280]  她的後母對她很差
