
[00:00:00.000 --> 00:00:04.000]  講到大齋期
[00:00:04.000 --> 00:00:08.680]  今年的開始是在農曆年三十晚
[00:00:08.680 --> 00:00:11.800]  就是二月十八日那一天
[00:00:11.800 --> 00:00:15.120]  在這段期間我們知道要黑己
[00:00:15.120 --> 00:00:20.680]  要悔罪 要祈禱和捐獻
[00:00:20.680 --> 00:00:26.120]  其實很具體地學校耶穌基督在全道以先
[00:00:26.120 --> 00:00:30.920]  祂有四十晝夜禁食祈禱 預備自己
[00:00:30.920 --> 00:00:34.680]  我知道梁法堂的弟兄姊妹都有推動
[00:00:34.680 --> 00:00:38.920]  小吃清淡一餐的操練
[00:00:38.920 --> 00:00:42.760]  來到今年大齋期裏面的第四個主日
[00:00:42.760 --> 00:00:44.280]  已經過了一半
[00:00:44.280 --> 00:00:48.120]  昨天已經是第二十二日
[00:00:48.120 --> 00:00:51.320]  有人將耶穌的一生
[00:00:51.320 --> 00:00:55.120]  分成了七個關鍵的時刻
[00:00:55.120 --> 00:01:00.720]  按生平祂是降生 受死 受試探
[00:01:00.720 --> 00:01:05.240]  中間的第四個關鍵時刻就是變象
[00:01:05.240 --> 00:01:08.800]  之後就是被釘十字架復活
[00:01:08.800 --> 00:01:11.360]  最後就是升天
[00:01:11.360 --> 00:01:14.040]  在這七個關鍵時刻裏面
[00:01:14.040 --> 00:01:16.800]  頭三個和尾三個
[00:01:16.800 --> 00:01:20.160]  都是耶穌自己一個人去面對的
[00:01:20.160 --> 00:01:23.600]  當然同場可能有些人做見證
[00:01:23.600 --> 00:01:26.280]  好像耶穌的洗禮或者被釘
[00:01:26.280 --> 00:01:28.440]  甚至復活之後的顯現
[00:01:28.440 --> 00:01:31.120]  都有人做到見證
[00:01:31.120 --> 00:01:35.440]  而中間間今日和大家一起去思想
[00:01:35.440 --> 00:01:37.960]  去再重溫的變象
[00:01:37.960 --> 00:01:43.840]  卻是祂自己和幾個門徒一起去經歷
[00:01:43.840 --> 00:01:48.520]  耶穌登山變象或者今天的聖經說顯榮
[00:01:48.520 --> 00:01:51.840]  三卷福音書都有記載的
[00:01:51.840 --> 00:01:55.440]  在這件事件或者關鍵的時刻之前
[00:01:55.440 --> 00:01:58.280]  其實那些門徒是不知道
[00:01:58.280 --> 00:02:02.400]  他們所跟隨的拉比或者老師
[00:02:02.400 --> 00:02:06.000]  會在一個人的眼中捍衛
[00:02:06.000 --> 00:02:08.600]  不是很好的收場
[00:02:08.600 --> 00:02:12.000]  在馬可的第九章之前
[00:02:12.000 --> 00:02:17.320]  耶穌是一個會醫病 會趕鬼
[00:02:17.320 --> 00:02:19.080]  很有學問
[00:02:19.080 --> 00:02:23.920]  並且能夠重新去解釋舊約律法條文的人
[00:02:23.920 --> 00:02:29.920]  門徒更加親眼見過耶穌所行的種種神蹟
[00:02:29.920 --> 00:02:34.760]  那些門徒應該認為自己沒有跟錯人
[00:02:34.760 --> 00:02:36.280]  因為他們所跟的
[00:02:36.280 --> 00:02:40.840]  他們想著是一位很出眾
[00:02:40.840 --> 00:02:44.880]  有了道的領袖
