
[00:00:00.000 --> 00:00:03.800]  今天跟大家來看到這個秋天裏面
[00:00:03.800 --> 00:00:06.400]  所希望給大家看到的一個主題
[00:00:06.400 --> 00:00:09.500]  這基督徒榮耀的生活
[00:00:09.500 --> 00:00:13.100]  我原先很想就把這個羅馬書
[00:00:13.100 --> 00:00:16.000]  從第八章的二十六節
[00:00:16.000 --> 00:00:20.600]  一次講完到第八章的三十九節
[00:00:20.600 --> 00:00:22.900]  但是後來覺得因爲這有神的感動
[00:00:22.900 --> 00:00:26.500]  我覺得我不能夠很快地把當中
[00:00:26.500 --> 00:00:29.700]  榮耀生活的應許跟保障
[00:00:29.700 --> 00:00:33.000]  都跟大家能夠很清楚地解釋
[00:00:33.000 --> 00:00:36.900]  所以我決定就把要講的分開三個部分
[00:00:36.900 --> 00:00:38.800]  第一個部分是特別地講到
[00:00:38.800 --> 00:00:43.600]  原來神在基督裏面給我們一個榮耀的生活
[00:00:43.600 --> 00:00:46.000]  這種生活有保障
[00:00:46.000 --> 00:00:50.000]  這個保障是在聖靈的幫助上面
[00:00:50.000 --> 00:00:52.500]  下個禮拜跟大家來分享一下
[00:00:52.500 --> 00:00:53.800]  在這個應許裏面
[00:00:53.800 --> 00:00:57.600]  也有神不改變所定下的旨意
[00:00:57.600 --> 00:01:02.300]  讓我們在這個艱險的人生道路中
[00:01:02.300 --> 00:01:04.900]  能夠穩當地走在
[00:01:04.900 --> 00:01:07.800]  配在神的旨意裏面
[00:01:07.800 --> 00:01:10.800]  第三個信息會特別地跟大家講到
[00:01:10.800 --> 00:01:14.000]  原來神還有一個很重要的應許
[00:01:14.000 --> 00:01:17.500]  就是祂永不改變堅定的愛
[00:01:17.500 --> 00:01:21.600]  所以希望這三個的應許能夠落在大家的身上
[00:01:21.600 --> 00:01:23.400]  所以今天我的題目
[00:01:23.400 --> 00:01:27.300]  分享的題目叫做榮耀生活的應許跟保障
[00:01:27.300 --> 00:01:29.900]  用一個比較簡單的話來說就是
[00:01:29.900 --> 00:01:34.400]  神給我們榮耀生活當中的定金guarantee
[00:01:34.400 --> 00:01:36.600]  神已經guarantee
[00:01:36.600 --> 00:01:41.800]  你在生命當中能夠得着這份榮耀的生活
[00:01:41.800 --> 00:01:45.100]  開始的時候我們一起來讀羅馬書的第八章
[00:01:45.100 --> 00:01:47.100]  第26到30節
[00:01:47.100 --> 00:01:48.900]  也在這個時候歡迎福音的朋友
[00:01:48.900 --> 00:01:52.800]  跟我們一起來唸神至此寶貴的話語
[00:01:52.800 --> 00:01:55.100]  在唸的時候我們一起來唸好不好
[00:01:55.100 --> 00:01:58.200]  透過念神的話語產生了敬虔的態度
[00:01:58.200 --> 00:02:00.200]  來接受神至此的話語
[00:02:00.200 --> 00:02:02.000]  第八章的26節
[00:02:02.000 --> 00:02:03.700]  好,我們一起來
[00:02:03.700 --> 00:02:07.600]  放徹我們的軟弱有聖靈幫助
[00:02:07.600 --> 00:02:10.900]  我們本不曉得當怎樣禱告
[00:02:10.900 --> 00:02:16.300]  只是聖靈親自用說不出來的嘆息替我們禱告
[00:02:16.300 --> 00:02:20.400]  見察人心的曉得聖靈的儀式
[00:02:20.400 --> 00:02:22.800]  因爲聖靈叫做神的旨意
[00:02:22.800 --> 00:02:25.600]  替衆聖徒祈求
[00:02:25.600 --> 00:02:28.900]  我們曉得萬事都互相效力
[00:02:28.900 --> 00:02:31.500]  叫愛神的人的一處
[00:02:31.500 --> 00:02:34.900]  就是按他旨意被教的人
[00:02:34.900 --> 00:02:38.100]  因爲他預先所知道的人
[00:02:38.100 --> 00:02:42.500]  就預先定下效法他兒子的模樣
[00:02:42.500 --> 00:02:47.000]  使他兒子在許多弟兄中着長子
[00:02:47.000 --> 00:02:51.300]  預先所定下的人要召他們來
[00:02:51.300 --> 00:02:54.800]  所召來的人要稱他們爲義
[00:02:54.800 --> 00:02:59.700]  所稱爲義的人要叫他們得榮勇
[00:02:59.700 --> 00:03:02.600]  我相信大家念過第一次大概不曉得當中的意思
[00:03:02.600 --> 00:03:04.400]  容許我若是可以的話
[00:03:04.400 --> 00:03:06.000]  我把這個麥克風放在後面
[00:03:06.000 --> 00:03:10.300]  免得在這邊的弟兄姊妹沒有辦法看見我
[00:03:10.300 --> 00:03:12.500]  我希望用另外一個版本
[00:03:12.500 --> 00:03:15.800]  加上我當中的意思跟大家來唸出來
[00:03:15.800 --> 00:03:19.300]  或許這樣子我們可以把這四節的經文
[00:03:19.300 --> 00:03:23.300]  能夠更深入的能夠有所體會
[00:03:23.300 --> 00:03:25.900]  與此同時
[00:03:25.900 --> 00:03:32.000]  目前我們的確厭倦等候的時刻
[00:03:32.000 --> 00:03:38.000]  上帝的靈正在我們的旁邊
[00:03:38.000 --> 00:03:39.900]  幫助我們
[00:03:39.900 --> 00:03:41.900]  在我們一處
[00:03:41.900 --> 00:03:47.300]  倘若我們不知道怎麼樣去禱告
[00:03:47.300 --> 00:03:49.700]  如何的去禱告
[00:03:49.700 --> 00:03:52.600]  也沒有什麼大的關係
[00:03:52.600 --> 00:03:59.100]  因爲他爲我們禱告
[00:03:59.100 --> 00:04:02.600]  也在我們裏面來禱告
[00:04:02.600 --> 00:04:07.900]  做出了那一個無言無語的嘆息
[00:04:07.900 --> 00:04:14.500]  成爲我們在痛苦中的聲音
[00:04:14.500 --> 00:04:20.800]  他知道我們遠勝過我們對自己的瞭解
[00:04:20.800 --> 00:04:25.900]  知道我們在神的面前等候做滿足的時候
[00:04:25.900 --> 00:04:29.100]  那一種的情況
[00:04:29.100 --> 00:04:34.600]  我們在這個事情當中有一個肯定
[00:04:34.600 --> 00:04:40.200]  就是在生活裏面一切細節的範圍
[00:04:40.200 --> 00:04:45.200]  上帝對愛他的人所說明的
[00:04:45.200 --> 00:04:47.800]  都是非常的美好
[00:04:47.800 --> 00:04:50.200]  上帝知道他
[00:04:50.200 --> 00:04:55.200]  從起初他就知道他要做什麼
[00:04:55.200 --> 00:04:58.100]  從起初他就決定
[00:04:58.100 --> 00:05:01.200]  要塑造拉蒙愛的人
[00:05:01.200 --> 00:05:05.000]  是按照他的兒子的生命
[00:05:05.000 --> 00:05:09.800]  以同一個路線來塑造我們
