
[00:00:00.000 --> 00:00:10.000]  要分享很多 但是這一次我主要就是想他宗教改革之旅
[00:00:10.000 --> 00:00:14.000]  其實這個過程當中有很多的經歷
[00:00:14.000 --> 00:00:19.000]  但是我今天要最重要的就是要跟大家分享的就是
[00:00:19.000 --> 00:00:23.000]  這是我們看到馬丁路德的改教
[00:00:23.000 --> 00:00:29.000]  我們就要更appreciate福音是這麼寶貴
[00:00:29.000 --> 00:00:33.000]  恩典是這麼寶貴
[00:00:33.000 --> 00:00:37.000]  我們很難想像當年這些宗教領袖
[00:00:37.000 --> 00:00:45.000]  他們為著這麼簡單的真理付上生命的代價
[00:00:45.000 --> 00:00:47.000]  所以我問大家一個很簡單的問題
[00:00:47.000 --> 00:00:51.000]  不管你已經受刑了或者你已經信主了
[00:00:51.000 --> 00:00:55.000]  跟你旁邊問一下好不好
[00:00:55.000 --> 00:01:04.000]  你得救了嗎
[00:01:04.000 --> 00:01:06.000]  如果你沒聽過這名詞
[00:01:06.000 --> 00:01:09.000]  那就表示你沒有
[00:01:09.000 --> 00:01:11.000]  如果你聽過了
[00:01:11.000 --> 00:01:16.000]  我希望你再仔細的思想一下
[00:01:16.000 --> 00:01:20.000]  我沒有看你們在問
[00:01:20.000 --> 00:01:32.000]  來 兩個兩個好不好
[00:01:32.000 --> 00:01:36.000]  你得救了嗎
[00:01:36.000 --> 00:01:40.000]  這個圖表我想可能你看過幾次了
[00:01:40.000 --> 00:01:45.000]  我希望你能夠把它記得好
[00:01:45.000 --> 00:01:49.000]  天主教分不清楚就在這個地方
[00:01:49.000 --> 00:01:54.000]  天主教分不清楚得救跟得勝
[00:01:54.000 --> 00:01:57.000]  所以混在一起的結果
[00:01:57.000 --> 00:02:02.000]  得救就需要加上行為
[00:02:02.000 --> 00:02:04.000]  單單信心不夠
[00:02:04.000 --> 00:02:08.000]  必須要靠著捕蜀
[00:02:08.000 --> 00:02:10.000]  靠著受洗
[00:02:10.000 --> 00:02:16.000]  靠著去煉獄煉淨一下
[00:02:16.000 --> 00:02:19.000]  丘子妹
[00:02:19.000 --> 00:02:22.000]  請告訴我
[00:02:22.000 --> 00:02:26.000]  你得救了沒有
[00:02:26.000 --> 00:02:30.000]  你怎麼知道你得救了
[00:02:30.000 --> 00:02:38.000]  你憑什麼知道你得救了
[00:02:38.000 --> 00:02:41.000]  一信成義
[00:02:41.000 --> 00:02:50.000]  好 請你找一下在哪裡說的
[00:02:50.000 --> 00:02:57.000]  有人可以把這些聖經大聲念一下嗎
[00:02:57.000 --> 00:03:01.000]  剛才我不是聽到有人在念
[00:03:01.000 --> 00:03:02.000]  那所以請告訴我
[00:03:02.000 --> 00:03:04.000]  這段聖經裡面告訴我們
[00:03:04.000 --> 00:03:08.000]  得救條件是什麼
[00:03:08.000 --> 00:03:15.000]  信有沒有說需要再去煉獄一下
[00:03:15.000 --> 00:03:18.000]  甚至請問有煉獄這回事嗎
[00:03:18.000 --> 00:03:23.000]  聖經哪個地方告訴我們說有煉獄的
[00:03:23.000 --> 00:03:30.000]  中古世紀的天主教
[00:03:30.000 --> 00:03:34.000]  信徒根本不能夠讀聖經
[00:03:34.000 --> 00:03:39.000]  只有神職人員能夠讀聖經
[00:03:39.000 --> 00:03:42.000]  所以不讀聖經的結果
[00:03:42.000 --> 00:03:45.000]  他怎麼會知道真理
[00:03:45.000 --> 00:03:49.000]  神職人員腐化腐敗
[00:03:49.000 --> 00:03:53.000]  以至於就謬解神的話
[00:03:53.000 --> 00:03:55.000]  甚至加上自己的話
[00:03:55.000 --> 00:03:59.000]  自己的想法就變成了傳統
[00:03:59.000 --> 00:04:04.000]  就變成了人的命令
[00:04:04.000 --> 00:04:05.000]  親愛的留守們
[00:04:05.000 --> 00:04:08.000]  今天我們在教會裡面
[00:04:08.000 --> 00:04:09.000]  我們可以讀聖經
[00:04:09.000 --> 00:04:10.000]  我們可以上儒學
[00:04:10.000 --> 00:04:13.000]  我們可以上門訓
[00:04:13.000 --> 00:04:15.000]  我們可以花時間來讀聖經
[00:04:15.000 --> 00:04:18.000]  而且你想要讀怎麼讀
[00:04:18.000 --> 00:04:23.000]  網上面資料都有對不對
[00:04:23.000 --> 00:04:28.000]  但是不曉得有多少人
[00:04:28.000 --> 00:04:33.000]  你真的是認真的好好地讀聖經的話
[00:04:33.000 --> 00:04:35.000]  不是這個聽那個聽
[00:04:35.000 --> 00:04:39.000]  不是這個牧師講到那個牧師講到聽
[00:04:39.000 --> 00:04:45.000]  留守們你需要自己花時間好好讀聖經
[00:04:45.000 --> 00:04:48.000]  得救的根據
[00:04:48.000 --> 00:04:51.000]  我們得救是本乎恩
[00:04:51.000 --> 00:04:58.000]  不說輸說對不對
[00:04:58.000 --> 00:05:02.000]  那麼除了講得救
[00:05:02.000 --> 00:05:07.000]  聖經上又講到重生
[00:05:07.000 --> 00:05:13.000]  重生跟得救都是指同樣的事情
[00:05:13.000 --> 00:05:16.000]  所以人若不重生
[00:05:16.000 --> 00:05:22.000]  就不能夠進神的國是不是
[00:05:22.000 --> 00:05:28.000]  那另外一個說法就是講稱義
[00:05:28.000 --> 00:05:35.000]  重生稱義得救都是指的同一件事情
[00:05:35.000 --> 00:05:38.000]  所以以後當你聽到這些名詞的時候
[00:05:38.000 --> 00:05:40.000]  你就知道它指的是同一件事情
[00:05:40.000 --> 00:05:43.000]  我今天沒有時間仔細地講每一個
[00:05:43.000 --> 00:05:46.000]  先讓大家有個概念
[00:05:46.000 --> 00:05:51.000]  那麼剛才我們講的怎麼樣子能夠得救呢
[00:05:51.000 --> 00:05:54.000]  其實耶穌出來傳道的時候
[00:05:54.000 --> 00:05:57.000]  首先祂講的祂說神的國進了
[00:05:57.000 --> 00:06:04.000]  你們當悔改然後信服膺
[00:06:04.000 --> 00:06:08.000]  所以剛才我們講信沒有錯
[00:06:08.000 --> 00:06:11.000]  但是不要忘記
[00:06:11.000 --> 00:06:16.000]  一個真正相信的人
[00:06:16.000 --> 00:06:22.000]  他會看見自己裡面的罪
[00:06:22.000 --> 00:06:27.000]  所以悔改是在信服膺之前
[00:06:27.000 --> 00:06:30.000]  耶穌告訴我們說要做的事情
[00:06:30.000 --> 00:06:33.000]  悔改不是只是認罪
[00:06:33.000 --> 00:06:35.000]  悔改是一個心靈的改變
[00:06:35.000 --> 00:06:37.000]  這是聖靈的工作
[00:06:37.000 --> 00:06:39.000]  一個人真正的重生得救
[00:06:39.000 --> 00:06:41.000]  就有聖靈在他裡面
[00:06:41.000 --> 00:06:43.000]  聖靈就是這個人生命改變
[00:06:43.000 --> 00:06:44.000]  看見自己的罪
[00:06:44.000 --> 00:06:47.000]  以至於他就會認罪悔改
[00:06:47.000 --> 00:06:49.000]  了解我意思嗎
[00:06:49.000 --> 00:06:51.000]  這就是讓我們看見
[00:06:51.000 --> 00:06:54.000]  為什麼今天在基督教的國家
[00:06:54.000 --> 00:06:56.000]  美國也好歐洲也好
[00:06:56.000 --> 00:07:00.000]  很多人都說自己是基督徒
[00:07:00.000 --> 00:07:02.000]  你再問他
[00:07:02.000 --> 00:07:05.000]  你是什麼基督徒你是什麼教會
[00:07:05.000 --> 00:07:08.000]  他說他天主教
[00:07:08.000 --> 00:07:13.000]  或者他說他是東正教
[00:07:13.000 --> 00:07:16.000]  反正在這些歐美國家
[00:07:16.000 --> 00:07:19.000]  天主教東正教基督教
[00:07:19.000 --> 00:07:23.000]  他通通都叫基督徒
[00:07:23.000 --> 00:07:26.000]  基督徒這三個字變講爛了
[00:07:26.000 --> 00:07:28.000]  你再進一步問他
[00:07:28.000 --> 00:07:31.000]  那請你告訴我
[00:07:31.000 --> 00:07:36.000]  你禮拜天有去教會嗎
[00:07:36.000 --> 00:07:41.000]  很多人他就說他沒去教會
[00:07:41.000 --> 00:07:45.000]  所以這個信仰真是可憐
[00:07:45.000 --> 00:07:49.000]  整個歐洲的光景就是這樣子
[00:07:49.000 --> 00:07:52.000]  當我們去看見這些大教堂的時候
[00:07:52.000 --> 00:07:55.000]  其實不禁讓人感傷
[00:07:55.000 --> 00:07:58.000]  這麼宏偉的教堂
[00:07:58.000 --> 00:08:01.000]  每一個禮拜堂
[00:08:01.000 --> 00:08:08.000]  幾十年甚至有的上百年才蓋成的教堂
[00:08:08.000 --> 00:08:14.000]  但是今天只是變成大家去觀光的地方
[00:08:14.000 --> 00:08:17.000]  這也是我常常思想一件事情
[00:08:17.000 --> 00:08:19.000]  求主保守
[00:08:19.000 --> 00:08:23.000]  讓我們的教會不要把我們的精力
[00:08:23.000 --> 00:08:27.000]  放在這些有形的building
[00:08:27.000 --> 00:08:30.000]  這些看得見的東西的上面
[00:08:30.000 --> 00:08:33.000]  以至於我們忽略掉
[00:08:33.000 --> 00:08:36.000]  那更重要的是什麼工作
[00:08:36.000 --> 00:08:38.000]  是人要得救
[00:08:38.000 --> 00:08:41.000]  福音要傳出去
