
[00:00:00.000 --> 00:00:02.080]  各位聽眾朋友 早安
[00:00:02.080 --> 00:00:05.720]  今天我們講的題目是《使他走當行的路》
[00:00:05.720 --> 00:00:09.520]  經文是來自《真言書》第22章第6節
[00:00:09.520 --> 00:00:12.960]  最近全世界都很喜歡看一個遊戲
[00:00:12.960 --> 00:00:14.960]  就是《魷魚遊戲》
[00:00:14.960 --> 00:00:18.880]  這一套熱播的韓劇裡面提到456位
[00:00:18.880 --> 00:00:22.240]  為了自己的家人 為了最愛的人的未來
[00:00:22.240 --> 00:00:25.440]  他們決定參加一場淘汰的遊戲
[00:00:25.440 --> 00:00:31.280]  誰知道原來這場遊戲最後只能剩下一個人能夠生存下去
[00:00:31.280 --> 00:00:35.520]  結果體會到人性的醜陋 自私
[00:00:35.520 --> 00:00:38.520]  講到底 人最終都是為了自己
[00:00:38.520 --> 00:00:44.240]  有多少人是甘心情願地為了其他人的未來而付出的呢?
[00:00:44.240 --> 00:00:51.240]  當然 我們可能會馬上認為我們會為了我們的下一代付出所有
[00:00:51.240 --> 00:00:55.880]  甚至不惜一切都會為他們做所有的事情
[00:00:55.880 --> 00:00:59.800]  你看看 今天我們有多少人是為了我們的下一代來英國
[00:00:59.800 --> 00:01:04.680]  因為我們很希望點一條當行的道路給他們走 是不是?
[00:01:04.680 --> 00:01:07.520]  其實這個想法聽起來也有點像
[00:01:07.520 --> 00:01:11.600]  今天我們所看的《真言》第22章第6節的經文
[00:01:11.600 --> 00:01:13.960]  我們看看這一節的經文之前
[00:01:13.960 --> 00:01:20.120]  我想了解一下在《真言書》第22章的第1到第7節的段落
[00:01:20.120 --> 00:01:24.400]  第22章第7節是回應第22章的第1節
[00:01:24.400 --> 00:01:28.600]  因為這兩句話都提到富戶 都提到窮乏的人
[00:01:28.600 --> 00:01:32.440]  不過財富不是人生命裡面最核心的東西
[00:01:32.440 --> 00:01:37.920]  生命的道路上有很多事情比追求財富更來得重要
[00:01:37.920 --> 00:01:41.000]  《真言書》在第22章第1節就已經說出
[00:01:41.000 --> 00:01:46.040]  美名所代表的聲譽 因為所展現的恩典
[00:01:46.040 --> 00:01:49.680]  這兩樣東西要比財富更寶貴
[00:01:49.680 --> 00:01:53.000]  不僅如此 在中間的部分
[00:01:53.000 --> 00:01:55.680]  第3節到第6節中間的部分
[00:01:55.680 --> 00:01:59.520]  就突出了生命的道路上有更重要的選擇
[00:01:59.520 --> 00:02:03.280]  《真言》的編寫就利用了這個前呼後應的結構
[00:02:03.280 --> 00:02:07.400]  在中間的部分 在第22章的第3到第6節
[00:02:07.400 --> 00:02:10.600]  說出了三個很重要的訊息
[00:02:10.600 --> 00:02:14.480]  第一個訊息就是要成為一個智慧者
[00:02:14.480 --> 00:02:17.200]  第22章第3節這裡強調了
[00:02:17.200 --> 00:02:22.720]  「深思熟慮的智慧人見到危險自然會躲避」
[00:02:22.720 --> 00:02:29.320]  「所以通達人見禍躲藏 如夢人往前受害」
[00:02:29.320 --> 00:02:32.600]  自然見到危險就當然要躲避
[00:02:32.600 --> 00:02:36.600]  但是那些頭腦如夢的人就不知道危險
[00:02:36.600 --> 00:02:42.160]  於是就令自己人生的世途上大吃苦頭
[00:02:42.160 --> 00:02:45.760]  你明知道那樣東西會令你傾家蕩產
[00:02:45.760 --> 00:02:48.560]  你明知道那樣東西會令你泥足深陷
[00:02:48.560 --> 00:02:51.840]  心心中 分分鐘 監獄也能坐牢
[00:02:51.840 --> 00:02:54.440]  你竟然以身試法
[00:02:54.440 --> 00:02:56.520]  這就是沒有智慧的人
[00:02:56.520 --> 00:03:01.160]  所以《真言》一開始在第3節就提醒我們要成為一個智慧者
[00:03:01.160 --> 00:03:04.720]  另外第二件事就是我們要成為一位敬虔者
[00:03:04.720 --> 00:03:06.200]  第22章第4節說
[00:03:06.200 --> 00:03:12.040]  「經威爾說心存謙卑 就得富有尊榮生命為賞賜」
[00:03:12.040 --> 00:03:15.840]  這裡特別提到尊榮、富有、生命
[00:03:15.840 --> 00:03:19.360]  這些都不是來自物質可以獲得的
[00:03:19.360 --> 00:03:26.600]  而是來自對耶和華心存謙卑那種敬務而來
[00:03:26.600 --> 00:03:30.240]  來自耶和華神的生命和靈裡面的富足
[00:03:30.240 --> 00:03:33.840]  比起這些物質的富足更值得學習
[00:03:33.840 --> 00:03:37.520]  你喜歡你的子女將來擁有大量的名牌
[00:03:37.520 --> 00:03:45.360]  例如LV那些很有名的品牌的擁有物
[00:03:45.360 --> 00:03:49.720]  還是你喜歡他們每週去教會
[00:03:49.720 --> 00:03:53.400]  每天都去讀經、去祈禱、去親近我們的神
[00:03:53.400 --> 00:03:56.680]  每天的生活都顯露出那種敬虔的生命?
[00:03:56.680 --> 00:04:01.000]  我相信你的答案一定是非常清楚的
[00:04:01.000 --> 00:04:02.480]  最後第三件事
[00:04:02.480 --> 00:04:05.360]  就是我們今天主打的經文其中的一部分
[00:04:05.360 --> 00:04:08.160]  我們要成為一位奮鬥者
[00:04:08.160 --> 00:04:09.800]  留意第五和第六節
[00:04:09.800 --> 00:04:11.880]  「YPG人的路上有荊棘和網羅
[00:04:11.880 --> 00:04:14.400]  保守自己生命的必要遠離」
[00:04:14.400 --> 00:04:15.240]  留意第六節
[00:04:15.240 --> 00:04:18.480]  「教養孩童使他走當行的道
[00:04:18.480 --> 00:04:22.280]  就是道路他也不偏離」
[00:04:22.280 --> 00:04:25.840]  放在中間最重要、最長的部分
[00:04:25.840 --> 00:04:28.400]  就是其中最為人熟悉的一節經文
[00:04:28.400 --> 00:04:31.840]  就是第五到第六節的第六節
[00:04:31.840 --> 00:04:35.440]  留意第十二章第五節提到「惡人的路」
[00:04:35.440 --> 00:04:39.040]  然後第六節就提到「當行的道」
[00:04:39.040 --> 00:04:42.800]  其實希伯來文這兩個字是完全相同的
[00:04:42.800 --> 00:04:45.840]  不過雖然是完全相同的字眼
[00:04:45.840 --> 00:04:48.320]  但卻是完全不同的道路
[00:04:48.320 --> 00:04:49.480]  我不知道你有沒有試過
[00:04:49.480 --> 00:04:51.400]  行山的時候看到分岔路
[00:04:51.400 --> 00:04:53.480]  剛好到時候手機又沒有電
[00:04:53.480 --> 00:04:54.360]  又沒有訊息
[00:04:54.360 --> 00:04:56.720]  甚至Google Map都沒有顯示出來
[00:04:56.720 --> 00:04:57.680]  那你要怎麼做?
[00:04:57.680 --> 00:04:59.320]  你當然要做選擇
[00:04:59.320 --> 00:05:01.120]  但是選擇錯了的時候
[00:05:01.120 --> 00:05:03.880]  你就會浪費了你的生命的時間
[00:05:03.880 --> 00:05:05.960]  浪費了你的精力
[00:05:05.960 --> 00:05:07.880]  行山走錯路
[00:05:07.880 --> 00:05:10.360]  可能你會回頭的
[00:05:10.360 --> 00:05:12.160]  當然你會白走一趟
[00:05:12.160 --> 00:05:14.640]  浪費了很多時間和精力
[00:05:14.640 --> 00:05:18.040]  但是如果生命上的道路選擇錯了
[00:05:18.040 --> 00:05:20.800]  後果就可能非常嚴重
[00:05:20.800 --> 00:05:22.560]  其實正如我剛才所說
[00:05:22.560 --> 00:05:25.720]  「路」和「道」希伯來文都是同一個字
[00:05:25.720 --> 00:05:29.160]  在《真言書》這個字經常穿插在裡面
[00:05:29.160 --> 00:05:32.920]  《二十二章》第五節就說到惡人的道路崎嶇難行
[00:05:32.920 --> 00:05:34.880]  又滿途險惡
[00:05:34.880 --> 00:05:38.240]  聰明的人就不會效法這些愚蠢的道路
[00:05:38.240 --> 00:05:40.040]  所以惡人的道路的結果
[00:05:40.040 --> 00:05:42.560]  成為了他們人生的道路
[00:05:42.560 --> 00:05:46.240]  他要承受他們人生道路的惡果
[00:05:46.240 --> 00:05:48.800]  而《二十二章》第六節就好像一個對比
[00:05:48.800 --> 00:05:50.920]  提到另一種人的道路
[00:05:50.920 --> 00:05:52.360]  根據《中文聖經》的翻譯
[00:05:52.360 --> 00:05:54.800]  就是孩童當行的道路
[00:05:54.800 --> 00:05:57.640]  我們就從解讀這一節的諺語的同時
[00:05:57.640 --> 00:06:02.080]  去學習到底我們可以怎樣去選擇道路
[00:06:02.080 --> 00:06:04.000]  不是 應該正確地說
[00:06:04.000 --> 00:06:09.360]  我們應該怎樣去幫助別人去選擇道路呢?
[00:06:09.360 --> 00:06:11.280]  特別是你作為父母
[00:06:11.280 --> 00:06:13.200]  如果你作為長輩
[00:06:13.200 --> 00:06:15.600]  如果你作為導師
[00:06:15.600 --> 00:06:19.880]  這一條的道路絕對不應該是追求財富的道路
[00:06:19.880 --> 00:06:23.400]  也不應該是惡人和愚蠢人的道路
[00:06:23.400 --> 00:06:26.280]  而是追求敬虔愛主
[00:06:26.280 --> 00:06:28.720]  那種上乘生命的道路
[00:06:28.720 --> 00:06:30.240]  走這條道路的人
[00:06:30.240 --> 00:06:31.800]  必然可以經歷到
[00:06:31.800 --> 00:06:36.000]  剛才我們所說的真正的尊榮、滿足和生命
[00:06:36.000 --> 00:06:43.440]  問題就是他怎樣可以選中應該走什麼道路呢?
[00:06:43.440 --> 00:06:44.640]  《百萬富翁》裡面
[00:06:44.640 --> 00:06:46.880]  我們看到有三條生命線
[00:06:46.880 --> 00:06:47.880]  五十、五十
[00:06:47.880 --> 00:06:49.040]  打電話問朋友
[00:06:49.040 --> 00:06:50.920]  又或者問現場的觀眾
[00:06:50.920 --> 00:06:53.680]  但是人生有多少樣東西
[00:06:53.680 --> 00:06:56.880]  我們可以這樣去問人呢?
[00:06:56.880 --> 00:06:58.840]  《二十二章》的第六節
[00:06:58.840 --> 00:07:01.200]  那一句話非常重要
[00:07:01.200 --> 00:07:04.880]  「教養孩童使他走當行的道路
[00:07:04.880 --> 00:07:08.080]  就算到老他也不偏離」
[00:07:08.080 --> 00:07:09.280]  這句話
[00:07:09.280 --> 00:07:12.840]  這句真言應該怎樣去解讀呢?
[00:07:12.840 --> 00:07:14.880]  在處理這句格言之前
[00:07:14.880 --> 00:07:18.520]  我們必須了解到幾件很重要的事情
[00:07:18.520 --> 00:07:19.680]  第一件事就是
[00:07:19.680 --> 00:07:21.120]  《真言二十二章》第六節
[00:07:21.120 --> 00:07:22.480]  它不是一句應許
[00:07:22.480 --> 00:07:23.760]  它只是一句諺語
[00:07:23.760 --> 00:07:25.280]  只是一句格言
[00:07:25.280 --> 00:07:26.920]  只是一句真言
[00:07:26.920 --> 00:07:30.080]  所以它沒有全面描述真理的必要性
[00:07:30.080 --> 00:07:31.240]  相反
[00:07:31.240 --> 00:07:34.960]  它只是提供了含有真理的方向指導指示
[00:07:34.960 --> 00:07:37.200]  真理的成分和元素
[00:07:37.200 --> 00:07:40.000]  而這些必須和其他真理的教導
[00:07:40.000 --> 00:07:41.720]  拼在一起
[00:07:41.720 --> 00:07:46.560]  才可以有更美好、更完整的圖畫
[00:07:46.560 --> 00:07:47.560]  還有第二件事
[00:07:47.560 --> 00:07:51.800]  這節經文不應該視作為全面父母教育的繁飾
[00:07:51.800 --> 00:07:54.720]  又或者是特定教學理論的藍本
[00:07:54.720 --> 00:07:58.520]  甚至乎是育兒階段的典範
[00:07:58.520 --> 00:08:02.800]  因為這一節的真言只是一句格言
[00:08:02.800 --> 00:08:06.480]  也只是一句盛載了部分真理的元素
[00:08:06.480 --> 00:08:09.280]  再加上這一節真言有獨特的寫作
[00:08:09.280 --> 00:08:11.320]  甚至有寫作的獨特對象
[00:08:11.320 --> 00:08:15.080]  所以我們絕對不能夠拿著這一節的經文或者格言
[00:08:15.080 --> 00:08:17.960]  天馬行空地看著無限的想像力
