
[00:00:00.000 --> 00:00:02.320]  好,各位弟兄姊妹平安
[00:00:02.320 --> 00:00:09.920]  今天,剛才我們也說過是父親節的一天
[00:00:09.920 --> 00:00:16.840]  我自己也記得11年前我自己女兒出生的時間
[00:00:16.840 --> 00:00:20.680]  我記得在醫院看著太太很痛
[00:00:20.680 --> 00:00:25.280]  一直等著小朋友出生的時間
[00:00:25.280 --> 00:00:27.960]  雖然我不感覺到很痛
[00:00:27.960 --> 00:00:30.440]  但其實我心裡也很緊張
[00:00:30.440 --> 00:00:34.200]  當見到小朋友出生之後,好像很舒服
[00:00:34.200 --> 00:00:37.720]  但那時我提醒自己,因為很久之前聽過一句話
[00:00:37.720 --> 00:00:39.840]  最辛苦不是生的那一刻
[00:00:39.840 --> 00:00:43.480]  是之後的十幾二十年
[00:00:43.480 --> 00:00:47.680]  不過我感謝主,到今時今日,11年了
[00:00:47.680 --> 00:00:53.520]  不是不辛苦,但是有喜樂的
[00:00:53.520 --> 00:00:56.120]  在做父親的過程裡面
[00:00:56.120 --> 00:00:59.120]  看著一個人成長是一件很奇妙的事
[00:00:59.120 --> 00:01:01.680]  由一個甚麼都不懂的小朋友
[00:01:01.680 --> 00:01:04.680]  到今天能夠自己做很多事情
[00:01:04.680 --> 00:01:07.920]  有自己學習,一點也不簡單
[00:01:07.920 --> 00:01:11.360]  我們很悉心栽培一個小朋友成長
[00:01:11.360 --> 00:01:13.960]  我今天見到我們很多做父母的
[00:01:13.960 --> 00:01:16.360]  很關心下一代的成長
[00:01:16.360 --> 00:01:20.840]  有一句話說,十年可以樹木,百年才可以樹人
[00:01:20.840 --> 00:01:23.520]  所以我們要培育一個人成長
[00:01:23.520 --> 00:01:26.000]  其實那條路一點也不簡單
[00:01:26.000 --> 00:01:30.920]  有沒有想過我們放了很多資源在一個人的成長裡面
[00:01:30.920 --> 00:01:35.160]  有十幾二十年的時間,使到一個人成長
[00:01:35.160 --> 00:01:40.320]  但是我們今天有沒有想過他在學校學些甚麼
[00:01:40.320 --> 00:01:44.280]  我還記得我中學的時間,學數學
[00:01:44.280 --> 00:01:47.000]  有一條公式我到今天還記得
