
[00:00:00.000 --> 00:00:02.220]  你知道大家都是在說詩篇
[00:00:02.220 --> 00:00:06.080]  我選了一些詩篇來跟大家思想
[00:00:06.080 --> 00:00:09.200]  今天這篇詩篇是詩篇第133篇
[00:00:09.200 --> 00:00:12.560]  如果有聖經的話 不妨打開這篇詩篇
[00:00:12.560 --> 00:00:16.400]  因為我們學校找聖經是正確的
[00:00:16.400 --> 00:00:20.260]  我們打開之後 讓我讀
[00:00:20.260 --> 00:00:24.100]  讀的時候請你留意這條詩篇
[00:00:24.100 --> 00:00:27.100]  看詩篇看詩歌 或者我們剛才唱的詩歌
[00:00:27.100 --> 00:00:28.720]  都要留意那些意境
[00:00:28.720 --> 00:00:32.080]  為什麼會有這樣的意境 和意境的意義在哪裡
[00:00:32.080 --> 00:00:36.340]  我們需要反省的 或者需要留意的是什麼
[00:00:36.340 --> 00:00:39.100]  我們看一看這篇詩篇 很短的 三節而已
[00:00:39.100 --> 00:00:41.100]  第133篇
[00:00:41.100 --> 00:00:43.740]  大衛上行之師
[00:00:43.740 --> 00:00:48.500]  看那弟兄和睦同住 是何等的善 何等的美
[00:00:48.500 --> 00:00:52.300]  就好比那貴重的油 囂在阿倫的頭上
[00:00:52.300 --> 00:00:55.840]  流到鬍鬚 又流到他的衣襟
[00:00:55.840 --> 00:00:59.840]  又好比黑門的甘露 剛在石安山
[00:00:59.840 --> 00:01:02.720]  因為在那裡有耶和華所鳴定的福
[00:01:02.720 --> 00:01:05.720]  就是永遠的生命
[00:01:05.720 --> 00:01:10.040]  我們看這篇詩歌的時候 需要留意幾樣東西
[00:01:10.040 --> 00:01:11.800]  第一樣東西就是標題
[00:01:11.800 --> 00:01:14.280]  很多時候我們沒有留意標題
[00:01:14.280 --> 00:01:15.680]  標題是什麼
[00:01:15.680 --> 00:01:18.080]  上行之師 大衛上行之師
[00:01:18.080 --> 00:01:19.580]  上行之師
[00:01:19.580 --> 00:01:23.580]  詩集裡面有多少首詩歌
[00:01:23.580 --> 00:01:26.240]  詩篇裡面有多少首詩歌
[00:01:26.240 --> 00:01:27.960]  有一百五十篇 是不是
[00:01:27.960 --> 00:01:29.680]  有一百五十首的詩歌
[00:01:29.680 --> 00:01:32.680]  上一次我提過了 這些詩歌都是人的說話
[00:01:32.680 --> 00:01:35.160]  人對上帝所表達的說話
[00:01:35.160 --> 00:01:39.180]  無論是一些討民 哀歌 讚美詩詞等等
[00:01:39.180 --> 00:01:42.180]  是人向上帝 所以是upward的
[00:01:42.180 --> 00:01:45.720]  和其他聖經不同 其他聖經是downward的
[00:01:45.720 --> 00:01:49.320]  就是上帝藉著先知說話 或者上帝藉著不同的方法
[00:01:49.320 --> 00:01:51.880]  來對神的子民說話
[00:01:51.880 --> 00:01:55.380]  詩篇有一點不同 詩篇是我們向上帝說話
[00:01:55.380 --> 00:01:58.080]  好像剛才我們讚美唱詩的時候
[00:01:58.080 --> 00:02:00.280]  是我們向上帝說話 是不是
[00:02:00.280 --> 00:02:02.380]  你有沒有留意 你就算第一次來教會
[00:02:02.380 --> 00:02:04.080]  或者來了教會很久了
[00:02:04.080 --> 00:02:06.780]  很多詩歌的題材
[00:02:06.780 --> 00:02:10.180]  那個所謂pronoun
[00:02:10.180 --> 00:02:13.180]  那個代名詞 都是第二身的
[00:02:13.180 --> 00:02:14.680]  是不是 You 是不是
[00:02:14.680 --> 00:02:18.580]  你 主耶和華你 怎樣怎樣怎樣
[00:02:18.580 --> 00:02:21.980]  這個就是詩歌的那種方法
[00:02:21.980 --> 00:02:26.780]  在詩集裡面 有150首這些的詩歌
[00:02:26.780 --> 00:02:29.580]  而其中有15首是很特別的
[00:02:29.580 --> 00:02:33.580]  有一個標題給了他 叫做上行之詩
[00:02:33.580 --> 00:02:36.380]  是120至到134
[00:02:36.380 --> 00:02:39.780]  有15首這些的詩歌 都是叫做上行之詩
[00:02:39.780 --> 00:02:42.980]  這些上行之詩 有什麼特別的地方呢
[00:02:42.980 --> 00:02:50.980]  就是當時神的子民 他們在散居不同的地方
[00:02:50.980 --> 00:02:54.780]  他們要上去耶路撒冷 去敬拜
[00:02:54.780 --> 00:02:57.380]  上去耶路撒冷朝聖的時候
[00:02:57.380 --> 00:02:59.380]  他們可能會唱的詩歌
[00:02:59.380 --> 00:03:03.180]  說不定隨著年月 不同的世代
[00:03:03.180 --> 00:03:06.180]  他們由不同的地方 上耶路撒冷
[00:03:06.180 --> 00:03:09.180]  就是石安山 耶路撒冷就是石安山
[00:03:09.180 --> 00:03:13.380]  去到那裡敬拜的時候 途中上路的時候
[00:03:13.380 --> 00:03:17.380]  可能休息 或者在走的時候
[00:03:17.380 --> 00:03:19.180]  他們會唱一些的詩歌
[00:03:19.180 --> 00:03:21.980]  來鼓勵他們 或者給他們一個目標
[00:03:21.980 --> 00:03:24.180]  在他們遠地上到耶路撒冷的時候
[00:03:24.180 --> 00:03:26.980]  有一種的觸動
[00:03:26.980 --> 00:03:30.780]  上到去 耶和華所揀選的地方
[00:03:30.780 --> 00:03:32.180]  去到敬拜的時候
[00:03:32.180 --> 00:03:35.780]  他們就有一種這樣的培養的心靈
[00:03:35.780 --> 00:03:36.780]  來去敬拜主
[00:03:36.780 --> 00:03:38.180]  所以就叫做上行之詩
[00:03:38.180 --> 00:03:41.180]  Song of Ascents
[00:03:41.180 --> 00:03:44.180]  Ascending是什麼意思呢?
[00:03:44.180 --> 00:03:47.180]  這個在我們在芝加哥的人不是很明白
[00:03:47.180 --> 00:03:50.180]  有誰在這裡開手波車的?
[00:03:50.180 --> 00:03:51.180]  OK
[00:03:51.180 --> 00:03:54.180]  這裡開手波車不是很過癮的
[00:03:54.180 --> 00:03:56.180]  因為沒有什麼斜路
[00:03:56.180 --> 00:03:58.180]  如果前面那輛車在那裏
[00:03:58.180 --> 00:03:59.180]  在那裏搖來搖去的時候
[00:03:59.180 --> 00:04:01.180]  你知道他應該是在開手波車
[00:04:01.180 --> 00:04:03.180]  因為他用一波在那裏搖來搖去
[00:04:03.180 --> 00:04:05.180]  因為你的路斜的時候
[00:04:05.180 --> 00:04:08.180]  你的車就會向後
[00:04:08.180 --> 00:04:10.180]  然後你就用一個Clutch
