
[00:00:00.000 --> 00:00:04.000]  今日想同大家思想到《聖經》第十一章
[00:00:04.000 --> 00:00:06.000]  誰能攔阻神的道呢?
[00:00:06.000 --> 00:00:09.000]  去到《聖經》第十一章
[00:00:09.000 --> 00:00:11.000]  《聖經》裏面有一個很大的突破
[00:00:11.000 --> 00:00:14.000]  就是經過一段大逼迫之後
[00:00:14.000 --> 00:00:16.000]  教會有一個相對平穩的時期
[00:00:16.000 --> 00:00:19.000]  彼得有機會巡遊去傳道
[00:00:19.000 --> 00:00:21.000]  後來聖靈很奇妙地感動
[00:00:21.000 --> 00:00:22.000]  帶領之下
[00:00:22.000 --> 00:00:26.000]  讓彼得能夠開展一個很突破的事工
[00:00:26.000 --> 00:00:28.000]  就是帶領外邦人信主受浸
[00:00:28.000 --> 00:00:29.000]  加入教會
[00:00:29.000 --> 00:00:30.000]  同步的時候
[00:00:30.000 --> 00:00:32.000]  安提安教會建立
[00:00:32.000 --> 00:00:34.000]  整個早期教會
[00:00:34.000 --> 00:00:36.000]  福音不單止猶太人
[00:00:36.000 --> 00:00:39.000]  發展到外邦人信耶穌
[00:00:39.000 --> 00:00:42.000]  這個福音的功人的主角
[00:00:42.000 --> 00:00:45.000]  由彼得慢慢轉移到保羅身上
[00:00:45.000 --> 00:00:47.000]  然後福音慢慢直到地極
[00:00:47.000 --> 00:00:49.000]  到羅馬進發
[00:00:49.000 --> 00:00:51.000]  但是在這個過程當中
[00:00:51.000 --> 00:00:54.000]  教會遺到彼得向外邦人傳福音
[00:00:54.000 --> 00:00:57.000]  某些細節裏面又產生很大的爭執
[00:00:57.000 --> 00:00:59.000]  所以聖經裏面講到
[00:00:59.000 --> 00:01:00.000]  當我們拓展聖功的時候
[00:01:00.000 --> 00:01:02.000]  往往要提醒我們
[00:01:02.000 --> 00:01:03.000]  如何面對內部的爭執
[00:01:03.000 --> 00:01:05.000]  或者一些規矩的問題
[00:01:05.000 --> 00:01:06.000]  我們看今天經文
[00:01:06.000 --> 00:01:08.000]  聖經第十一章十五到二十五節
[00:01:08.000 --> 00:01:10.000]  我請弟兄讀單數節
[00:01:10.000 --> 00:01:11.000]  姐妹讀雙數節
[00:01:11.000 --> 00:01:12.000]  弟兄開始
[00:01:12.000 --> 00:01:13.000]  我一開講
[00:01:13.000 --> 00:01:16.000]  聖靈便降在他們身上
[00:01:16.000 --> 00:01:19.000]  正像當初降在我們身上一樣
[00:01:27.000 --> 00:01:29.000]  神既然給他們恩賜
[00:01:29.000 --> 00:01:31.000]  像在我們信主耶穌基督的時候
[00:01:31.000 --> 00:01:33.000]  給了我們一樣
[00:01:33.000 --> 00:01:36.000]  我是誰能難阻神呢?
[00:01:36.000 --> 00:01:50.000]  那些恩賜來犯的是
[00:01:50.000 --> 00:01:52.000]  遭患難四散的門徒
[00:01:52.000 --> 00:01:55.000]  直走到菲利基和塞浦路斯
[00:01:55.000 --> 00:01:57.000]  並安提阿
[00:01:57.000 --> 00:01:59.000]  他們不向別人講道
[00:01:59.000 --> 00:02:01.000]  只向猶太人講
[00:02:01.000 --> 00:02:11.000]  主與他們同在
[00:02:11.000 --> 00:02:14.000]  信而歸住的人就多了
[00:02:23.000 --> 00:02:25.000]  他到了那裡
[00:02:25.000 --> 00:02:27.000]  看見神所賜的恩就歡喜
[00:02:27.000 --> 00:02:29.000]  圈免眾人
[00:02:29.000 --> 00:02:30.000]  立定心智
[00:02:30.000 --> 00:02:32.000]  行究靠主
[00:02:32.000 --> 00:02:43.000]  他又往大掃去搞掃羅
[00:02:43.000 --> 00:02:45.000]  聖經講到很寶貴的
[00:02:45.000 --> 00:02:48.000]  向外邦人傳道這個大突破的過程當中
[00:02:48.000 --> 00:02:52.000]  但他是正正面對教會內部的紛爭
[00:02:52.000 --> 00:02:54.000]  和一些可能過時
[00:02:54.000 --> 00:02:58.000]  或者神已經要改變的規矩等等的難阻
[00:02:58.000 --> 00:03:00.000]  所以很多時候在教會面對
[00:03:00.000 --> 00:03:02.000]  爭戰面對突破的時候
[00:03:02.000 --> 00:03:04.000]  往往都一個很大的挑戰
[00:03:04.000 --> 00:03:06.000]  就是內部的矛盾
[00:03:06.000 --> 00:03:08.000]  內部的舊的規矩
[00:03:08.000 --> 00:03:10.000]  無論在教會
[00:03:10.000 --> 00:03:11.000]  在工作
[00:03:11.000 --> 00:03:13.000]  在社會都常常面對這個張力
[00:03:13.000 --> 00:03:16.000]  通常有兩個道理要同時考慮
[00:03:16.000 --> 00:03:18.000]  一方面就是有些人
[00:03:18.000 --> 00:03:20.000]  用一些過舊的迂腐
[00:03:20.000 --> 00:03:23.000]  或者不是再合宜的規矩
[00:03:23.000 --> 00:03:25.000]  去難阻一些的發展
[00:03:25.000 --> 00:03:26.000]  難阻神的工作
[00:03:26.000 --> 00:03:27.000]  但另一方面
[00:03:27.000 --> 00:03:29.000]  可能有些人濫用一些
[00:03:29.000 --> 00:03:31.000]  說我要突破
[00:03:31.000 --> 00:03:32.000]  更新
[00:03:32.000 --> 00:03:36.000]  去破壞這些雜誌規矩和秩序
[00:03:36.000 --> 00:03:38.000]  怎樣處理兩者的張力
[00:03:38.000 --> 00:03:39.000]  是不容易
[00:03:39.000 --> 00:03:42.000]  但對一些保守的團體來說
[00:03:42.000 --> 00:03:43.000]  假如某人
[00:03:43.000 --> 00:03:44.000]  就像彼得讓
[00:03:44.000 --> 00:03:45.000]  就算他是領袖
[00:03:45.000 --> 00:03:48.000]  他不實行一些規矩的時候
[00:03:48.000 --> 00:03:50.000]  人們就會興師問責
[00:03:50.000 --> 00:03:51.000]  去批判他
[00:03:51.000 --> 00:03:53.000]  所以往往很多時候
[00:03:53.000 --> 00:03:54.000]  一個教會要突破
[00:03:54.000 --> 00:03:56.000]  一個群體要掘破
[00:03:56.000 --> 00:03:57.000]  一個企業要突破
[00:03:57.000 --> 00:03:58.000]  往往其中最難處理
[00:03:58.000 --> 00:04:00.000]  就是內部的紛爭
[00:04:00.000 --> 00:04:01.000]  和這些矛盾
[00:04:01.000 --> 00:04:02.000]  和這些規矩
[00:04:02.000 --> 00:04:03.000]  經文的背景
[00:04:03.000 --> 00:04:05.000]  就是十一章第二到第三節
[00:04:05.000 --> 00:04:06.000]  找到一起讀嗎?
[00:04:06.000 --> 00:04:09.000]  及至彼得上了耶路撒冷
[00:04:09.000 --> 00:04:11.000]  那些奉國禮的門徒
[00:04:11.000 --> 00:04:13.000]  和他爭辯說
[00:04:13.000 --> 00:04:16.000]  你進入未受國禮之人的家
[00:04:16.000 --> 00:04:19.000]  和他們一同吃飯了
[00:04:19.000 --> 00:04:21.000]  當彼得出去巡遊報道
[00:04:21.000 --> 00:04:23.000]  帶很多人信耶穌
[00:04:23.000 --> 00:04:24.000]  堅固教會
[00:04:24.000 --> 00:04:26.000]  特別是這個突破
[00:04:26.000 --> 00:04:27.000]  聖靈感動他
[00:04:27.000 --> 00:04:29.000]  向外邦人傳福音
