
[00:00:00.000 --> 00:00:01.260]  (主持人:請主妹平安)
[00:00:01.260 --> 00:00:08.460]  (主持人:安省和魁北克省經歷了一百一十五年來最冷的一個冬天)
[00:00:08.460 --> 00:00:15.860]  (主持人:天氣也不是我們能夠掌握)
[00:00:15.860 --> 00:00:20.860]  (主持人:我們感謝神今天我們平安地在這裡敬拜)
[00:00:20.860 --> 00:00:27.060]  (主持人:但是我們相信在神的恩典裡面)
[00:00:27.060 --> 00:00:29.700]  (主持人:我們能夠面對一切環境的改變)
[00:00:29.700 --> 00:00:32.900]  (主持人:我們相信在神的恩典裡面我們可以)
[00:00:32.900 --> 00:00:34.900]  (主持人:適應一切環境的改變)
[00:00:34.900 --> 00:00:36.900]  (主持人:今天和大家分享的題目)
[00:00:36.900 --> 00:00:38.700]  (主持人:今天和大家分享的題目)
[00:00:38.700 --> 00:00:40.900]  (主持人:隨主跨越風和浪)
[00:00:40.900 --> 00:00:43.900]  (主持人:隨主跨越風與浪)
[00:00:43.900 --> 00:00:46.600]  (主持人:在我們加拿大的地方)
[00:00:46.600 --> 00:00:48.400]  (主持人:在我們加拿大的地方)
[00:00:48.400 --> 00:00:49.600]  (主持人:特別我們在安省)
[00:00:49.600 --> 00:00:50.700]  (主持人:特別我們在安省)
[00:00:50.700 --> 00:00:54.300]  (主持人:我們跨越冰雨和雪暴)
[00:00:54.300 --> 00:00:58.200]  (主持人:我們跨越冰雨與雪暴)
[00:00:58.200 --> 00:01:01.000]  (主持人:我們在訊息之前再一次同心吐槽)
[00:01:01.000 --> 00:01:04.000]  (主持人:在此之前讓我們先同心打道)
[00:01:04.000 --> 00:01:05.500]  (主持人:愛我們的天父)
[00:01:05.500 --> 00:01:07.000]  (主持人:我們感謝讚美你)
[00:01:07.000 --> 00:01:10.800]  (主持人:多謝你讓我們經歷了在嚴冬裡面)
[00:01:10.800 --> 00:01:14.000]  (主持人:今天又有傳給我們一個晴朗的天氣)
[00:01:14.000 --> 00:01:15.200]  (主持人:雖然氣溫在很低)
[00:01:15.200 --> 00:01:17.800]  (主持人:但我們感謝你讓我們平安的到達)
[00:01:17.800 --> 00:01:19.500]  (主持人:在這裡去敬拜)
[00:01:19.500 --> 00:01:22.000]  (主持人:我們求主你帶領我們以下時間)
[00:01:22.000 --> 00:01:25.000]  (主持人:我們心靈有軟弱的身體有軟弱的)
[00:01:25.000 --> 00:01:27.000]  (主持人:求主你自己恩守)
[00:01:27.000 --> 00:01:29.000]  (主持人:撫摸扶持加力)
[00:01:29.000 --> 00:01:30.500]  (主持人:你的醫治臨到我們)
[00:01:30.500 --> 00:01:32.300]  (主持人:好叫我們靠著你的能力)
[00:01:32.300 --> 00:01:35.500]  (主持人:去面對一切人生種種不同的挑戰)
