
[00:00:00.000 --> 00:00:06.420]  今天的詩歌跟今天的經文都提到
[00:00:06.420 --> 00:00:13.260]  在至高之處榮耀歸於神
[00:00:13.260 --> 00:00:20.520]  在地上平安歸於他所喜悅的人
[00:00:20.520 --> 00:00:23.780]  這句聖經不知道大家還熟悉不熟悉
[00:00:23.780 --> 00:00:25.160]  其實你看在聖經裡面
[00:00:25.160 --> 00:00:27.240]  《路加福音》第二章裡面講到說
[00:00:27.240 --> 00:00:32.800]  當牧羊人在礦野,在那邊牧羊的時候
[00:00:32.800 --> 00:00:35.720]  然後有天使就顯現
[00:00:35.720 --> 00:00:39.300]  向他們說:我報給你們一個大好的消息
[00:00:39.300 --> 00:00:41.040]  等等等等
[00:00:41.040 --> 00:00:44.600]  今天在大衛的城裡為你們生了救主,救世主基督
[00:00:44.600 --> 00:00:50.920]  講完之後,聖經上說:忽然有一隊的天兵
[00:00:50.920 --> 00:00:56.460]  天兵,不是那個天兵,是那個真正的天兵
[00:00:56.460 --> 00:01:00.740]  有一隊的天兵,這時候他們就在說什麼呢?
[00:01:00.740 --> 00:01:03.560]  他們就一起講了這句話,就說什麼?
[00:01:03.560 --> 00:01:06.960]  在至高之處榮耀歸於神
[00:01:06.960 --> 00:01:12.240]  在地上平安歸於他所喜悅的人
[00:01:12.240 --> 00:01:17.620]  弟兄姊妹,今天這個地上平安嗎?
[00:01:17.620 --> 00:01:21.580]  不平安,是不是?
[00:01:21.580 --> 00:01:27.900]  我們看到俄烏戰爭打了多久了,有沒有人算一下?
[00:01:27.900 --> 00:01:35.100]  最近,這個2026的諾貝爾和平獎組
[00:01:35.100 --> 00:01:39.180]  很戲劇化的,從委內瑞拉
[00:01:39.180 --> 00:01:42.720]  all the way 偷渡各樣的方式,結果呢
[00:01:42.720 --> 00:01:47.320]  就在頒布典禮的前一天到達了
[00:01:47.320 --> 00:01:50.420]  雖然當天他沒有出現,他的女兒代表他
[00:01:50.420 --> 00:01:53.920]  但是他最後出現的時候,在hotel裏面
[00:01:53.920 --> 00:02:00.320]  許多支持他的人就歡呼著,很高興
[00:02:00.320 --> 00:02:06.760]  這一個諾貝爾獎的得主,馬查多
[00:02:06.760 --> 00:02:14.560]  西班牙文叫做Machado,Maria Machado
[00:02:14.560 --> 00:02:18.400]  他為什麼會得獎?
[00:02:18.400 --> 00:02:22.020]  本來大家以為是川普會得獎
[00:02:22.020 --> 00:02:24.300]  那為什麼他得獎呢?
[00:02:24.300 --> 00:02:30.920]  為什麼?你們都不曉得?
[00:02:30.920 --> 00:02:36.680]  委內瑞拉的這個目前的執政者
[00:02:36.680 --> 00:02:39.960]  事實上他在之前的一個選舉當中
[00:02:39.960 --> 00:02:42.360]  他其實是已經選輸了
[00:02:42.360 --> 00:02:46.760]  但是他不承認,最後又弄掉
[00:02:46.760 --> 00:02:49.880]  所以這個馬查多就是反對黨裡面當中的領袖
[00:02:49.880 --> 00:02:55.400]  他一直是想要怎麼樣能夠讓委內瑞拉成為一個民主的國家
[00:02:55.400 --> 00:02:58.760]  所以他一直努力的在做這件事情
[00:02:58.760 --> 00:03:01.120]  因此諾貝爾和平獎頒給他
[00:03:01.120 --> 00:03:09.080]  就是因為他努力不懈的要使得委內瑞拉能夠得到民主
[00:03:09.080 --> 00:03:12.120]  所以他得到了諾貝爾和平獎
[00:03:12.120 --> 00:03:14.600]  我們川普總統雖然沒有得到
[00:03:14.600 --> 00:03:19.480]  不過呢,我們國際足球總會也為了酬謝他
[00:03:19.480 --> 00:03:22.120]  對世界的和平的貢獻
[00:03:22.120 --> 00:03:27.560]  就頒給了他叫做FIFA這個和平獎
[00:03:27.560 --> 00:03:31.000]  這是首度頒布的
[00:03:31.000 --> 00:03:34.320]  所以他是第一個得到這個和平獎的
[00:03:34.320 --> 00:03:39.640]  那麼之後呢,不知道還有沒有人會得
[00:03:39.640 --> 00:03:50.720]  丟著唄,這個世界真的有和平嗎?
[00:03:50.720 --> 00:03:56.680]  這個世界其實如果按照聖經上面來說的話
[00:03:56.680 --> 00:04:01.200]  這個世界會不會明天會更好?
[00:04:01.200 --> 00:04:10.160]  會不會有一天像我們的國父,我們的國父,OK,說,怎麼樣
[00:04:10.160 --> 00:04:16.680]  這叫什麼,禮運大同篇,世界大同是不是
[00:04:16.680 --> 00:04:20.680]  有一天,好,我們要看見世界大同
[00:04:20.680 --> 00:04:25.440]  哇,這就是聯合國的目的嗎,是不是?
[00:04:25.440 --> 00:04:29.000]  但是請問這一天會來臨嗎?
[00:04:29.000 --> 00:04:34.960]  會不會?不會
[00:04:34.960 --> 00:04:38.520]  最近我們陳導在講啟示錄
[00:04:38.520 --> 00:04:41.440]  你從啟示錄就可以看見,是不是
[00:04:41.440 --> 00:04:43.840]  戰爭越來越多
[00:04:43.840 --> 00:04:47.160]  主耶穌也預了在落後的日子裡面
[00:04:47.160 --> 00:04:50.840]  國要攻打國,民要攻打民
[00:04:50.840 --> 00:04:56.280]  你注意看哦,聖經上所說的是不是現在在應驗
[00:04:56.280 --> 00:04:58.640]  現在的戰爭有比以前更少嗎?
[00:04:58.640 --> 00:05:00.920]  從第二次世界大戰結束之後
[00:05:00.920 --> 00:05:03.480]  戰爭是不是就停止了?
[00:05:03.480 --> 00:05:06.000]  沒有,戰爭越來越多
[00:05:06.000 --> 00:05:10.720]  耳誤戰爭我們大家都很清楚,是不是?
[00:05:10.720 --> 00:05:14.160]  耳誤戰爭大家都很清楚,是不是?
[00:05:14.160 --> 00:05:18.200]  那麼,耳誤戰爭到現在還在打
[00:05:18.200 --> 00:05:23.600]  現在還沒有結束,什麼時候會結束呢?
[00:05:23.600 --> 00:05:29.240]  川普總統說,一天就結束
[00:05:29.240 --> 00:05:35.680]  現在希望一個月之內可以結束,可能嗎?
[00:05:35.680 --> 00:05:40.160]  現在很多消息,澤倫斯基現在已經有了自己的方案等等這些好了
[00:05:40.160 --> 00:05:42.360]  你繼續看這個戲吧
[00:05:42.360 --> 00:05:45.080]  什麼時候會結束呢?
[00:05:45.080 --> 00:05:49.440]  以哈的戰爭,以巴的戰爭結束了嗎?
[00:05:49.440 --> 00:05:50.520]  和平了嗎?
[00:05:50.520 --> 00:05:54.000]  簽訂了和平協議之後,和平了嗎?
[00:05:54.000 --> 00:05:57.000]  我告訴你,你強迫他和平
[00:05:57.000 --> 00:05:59.840]  你叫他割地,讓他能夠換取和平
[00:05:59.840 --> 00:06:04.240]  這些你都可以做得到,但是心裡面服嗎?
[00:06:04.240 --> 00:06:06.240]  不會
[00:06:06.240 --> 00:06:15.160]  總有一天,這個仇恨會再一次的帶出戰爭來
[00:06:15.160 --> 00:06:21.040]  那麼就在亞洲,最近泰國跟柬埔寨
[00:06:21.040 --> 00:06:29.480]  也為了領土的問題,在這邊又打起來,是不是?
[00:06:29.480 --> 00:06:35.880]  更不要忘了,緬甸到今天還在內戰
[00:06:35.880 --> 00:06:37.200]  是嗎?
[00:06:37.200 --> 00:06:42.360]  所以今天我們在美國,其實我們看看這個世界
[00:06:42.360 --> 00:06:46.880]  我們實在有很多可以感恩的,是吧?
[00:06:46.880 --> 00:06:49.680]  在非洲,有一個國家不知道你有沒有記得
[00:06:49.680 --> 00:06:55.480]  不知道你知不知道,叫做蘇丹
[00:06:55.480 --> 00:07:00.760]  從2023年開始打內戰,打到現在
[00:07:00.760 --> 00:07:04.360]  幾百萬的人流離死所
[00:07:04.360 --> 00:07:09.280]  兩邊的這個軍隊,就是自己國家裡面兩派
[00:07:09.280 --> 00:07:12.840]  彼此爭奪權力,一直到現在
[00:07:12.840 --> 00:07:17.800]  造成了數百萬人的流離死所,死傷無數
