
[00:00:00.000 --> 00:00:02.880]  今天要和大家分享的一個訊息
[00:00:02.880 --> 00:00:05.720]  是關乎兩代的一個訊息
[00:00:05.720 --> 00:00:09.460]  轉向和轉從
[00:00:09.460 --> 00:00:11.560]  我記得我小時候
[00:00:11.560 --> 00:00:14.380]  一個很經常做的動作
[00:00:14.380 --> 00:00:17.520]  就是我跟著我媽媽去街市買菜
[00:00:17.520 --> 00:00:19.280]  媽媽很喜歡帶我去街市買菜
[00:00:19.280 --> 00:00:23.040]  因為她個子比較矮小
[00:00:23.040 --> 00:00:25.080]  拿著菜都是很辛苦的
[00:00:25.080 --> 00:00:26.920]  所以我這個年輕人
[00:00:26.920 --> 00:00:28.480]  當時的年輕人
[00:00:28.480 --> 00:00:30.360]  跟她去買菜
[00:00:30.360 --> 00:00:32.000]  我可以幫她拿著菜
[00:00:32.000 --> 00:00:33.680]  讓她不用那麼辛苦
[00:00:33.680 --> 00:00:36.160]  對我來說我都很樂意這樣做的
[00:00:36.160 --> 00:00:39.840]  因為每一天早上有機會跟她去買菜的時候
[00:00:39.840 --> 00:00:43.160]  買完菜我當然在大排檔那裡等她
[00:00:43.160 --> 00:00:44.240]  買完東西
[00:00:44.240 --> 00:00:46.920]  兩個人就一起去吃早餐
[00:00:46.920 --> 00:00:51.000]  我那時候最喜歡吃的就是西多士
[00:00:51.000 --> 00:00:54.040]  又喜歡喝凍奶茶
[00:00:54.040 --> 00:00:56.000]  因為那些冰
[00:00:56.000 --> 00:00:57.880]  凍奶茶倒了一些奶下去
[00:00:57.880 --> 00:01:00.280]  很幻變的樣子
[00:01:00.280 --> 00:01:02.320]  我到今天仍然很記得
[00:01:02.320 --> 00:01:05.960]  但是當自己年紀慢慢開始進入青春期的時候
[00:01:05.960 --> 00:01:09.520]  我發覺原來跟媽媽的關係又有些不同
[00:01:09.520 --> 00:01:10.640]  特別我記得有一次
[00:01:10.640 --> 00:01:13.640]  不知道因為什麼原因去買菜
[00:01:13.640 --> 00:01:18.480]  然後我當時開始穿牛仔褲
[00:01:18.480 --> 00:01:20.320]  我很記得那個樣子
[00:01:20.320 --> 00:01:22.600]  就是我插著兩個袋
[00:01:22.600 --> 00:01:25.440]  這樣忽就而去離開我媽媽
[00:01:25.440 --> 00:01:25.920]  就是不理她
[00:01:25.920 --> 00:01:30.480]  我不知道我們究竟有什麼談不攏
[00:01:30.480 --> 00:01:33.160]  或者有什麼不配合
[00:01:33.160 --> 00:01:35.640]  總之那個形象我仍然記得
[00:01:35.640 --> 00:01:38.200]  是這樣的背向媽媽離開
[00:01:38.200 --> 00:01:41.680]  當然眨眼也是幾十年了
[00:01:41.680 --> 00:01:43.520]  兩代似乎
[00:01:43.520 --> 00:01:44.920]  因著大家看東西
[00:01:44.920 --> 00:01:46.840]  或者大家的價值觀
[00:01:46.840 --> 00:01:49.680]  或者大家的經歷不一樣的時候
[00:01:49.680 --> 00:01:53.920]  很多時候本來一個很親密的關係
[00:01:53.920 --> 00:01:56.240]  有時候會因為很多外在的事情
[00:01:56.240 --> 00:01:59.080]  令我們沒辦法溝通
[00:01:59.080 --> 00:02:01.920]  今天我們要看看這個訊息
[00:02:01.920 --> 00:02:06.840]  是在《馬拉基書》舊約裡面最後一卷書
[00:02:06.840 --> 00:02:08.600]  最後一個進飾
[00:02:08.600 --> 00:02:11.680]  《馬拉基書》第四章第五到第六節
[00:02:11.680 --> 00:02:14.400]  它說:看!耶和華大兒可畏的日
[00:02:14.400 --> 00:02:15.600]  未到以前
[00:02:15.600 --> 00:02:18.560]  我必猜掩先知你阿道你門那裡去
[00:02:18.560 --> 00:02:21.160]  我必使父親的心轉向兒女
[00:02:21.160 --> 00:02:23.680]  兒女的心轉向父親
[00:02:23.680 --> 00:02:26.560]  免得我來要就坐遍地
[00:02:26.560 --> 00:02:29.360]  這是舊約先知最後一個訊息
[00:02:29.360 --> 00:02:33.160]  是神對他的百姓提醒和警告
[00:02:33.160 --> 00:02:34.880]  就是在耶和華大兒可畏之日
[00:02:34.880 --> 00:02:36.280]  未到之前
[00:02:36.280 --> 00:02:39.560]  就是末日的審判尚未來臨之前
[00:02:39.560 --> 00:02:41.400]  有一件事要發生
[00:02:41.400 --> 00:02:44.440]  有一個先知叫以利亞他要出現
[00:02:44.440 --> 00:02:46.400]  他有一個很重要的任務
[00:02:46.400 --> 00:02:48.960]  就是要使父親的心轉向兒女
[00:02:48.960 --> 00:02:51.440]  兒女的心轉向父親
[00:02:51.440 --> 00:02:54.840]  若果不是父子的關係不修復
[00:02:54.840 --> 00:02:59.480]  神就會有就坐的毀滅律
[00:02:59.480 --> 00:03:02.400]  會遍行擊打全地
[00:03:02.400 --> 00:03:05.320]  這個終極在舊約裡面的訊息
[00:03:05.320 --> 00:03:06.680]  真的不簡單
[00:03:06.680 --> 00:03:09.160]  我相信這個訊息對於每一個人來說
[00:03:09.160 --> 00:03:11.440]  都未必喜歡聽的
[00:03:11.440 --> 00:03:14.000]  因為是關乎上帝的審判
[00:03:14.000 --> 00:03:15.480]  以至七十事譯本
[00:03:15.480 --> 00:03:21.920]  就是最早的一個希臘文舊約聖經的翻譯本
[00:03:21.920 --> 00:03:24.560]  由七十個聖經學家
[00:03:24.560 --> 00:03:28.200]  來翻譯舊約做希臘文
