
[00:00:00.000 --> 00:00:02.980]  我相信在座當中
[00:00:02.980 --> 00:00:05.680]  大家都會同意
[00:00:05.680 --> 00:00:08.980]  聖經是上主的話語
[00:00:08.980 --> 00:00:11.680]  我們應當去明白
[00:00:11.680 --> 00:00:16.680]  聖經裏面所講的上帝之道
[00:00:16.680 --> 00:00:20.380]  但是我們對聖經的理解
[00:00:20.380 --> 00:00:25.380]  很多時候是以人自己當下的文化處境
[00:00:25.380 --> 00:00:29.280]  去詮釋昔日經文的內容
[00:00:29.280 --> 00:00:33.880]  文化和社會的處境
[00:00:33.880 --> 00:00:38.580]  我們更會比較少尋求
[00:00:38.580 --> 00:00:42.280]  以一個理解他人的理解
[00:00:42.280 --> 00:00:48.780]  來去中讀上帝的聖言
[00:00:48.780 --> 00:00:50.280]  這樣就是說
[00:00:50.280 --> 00:00:54.380]  我們敢誤上帝的聖言
[00:00:54.380 --> 00:00:59.080]  和他解釋所謂上帝的真理
[00:00:59.080 --> 00:01:02.080]  是有一個差距
[00:01:02.080 --> 00:01:06.580]  待會我會和大家繼續談論這一點
[00:01:06.580 --> 00:01:10.380]  我們在剛才所讀的瑪利亞
[00:01:10.380 --> 00:01:12.680]  這段經文
[00:01:12.680 --> 00:01:17.280]  瑪利亞嘗試用人間的常道
[00:01:17.280 --> 00:01:22.880]  即是人的理性、人的知識、人的邏輯
[00:01:22.880 --> 00:01:26.980]  去理解上帝的易道
[00:01:26.980 --> 00:01:29.380]  上帝的易道就是說
[00:01:29.380 --> 00:01:34.780]  上帝往往是將不應該、不可能的事情
[00:01:34.780 --> 00:01:39.880]  轉成為可能和應該的事情
[00:01:39.880 --> 00:01:42.280]  我在這裏很簡單先解釋
[00:01:42.280 --> 00:01:45.080]  剛才所中讀的這段經文
[00:01:45.080 --> 00:01:50.680]  然後我們再進一步來彼此的分享
[00:01:50.680 --> 00:01:54.280]  瑪利亞三次遇上了上帝的易道
[00:01:54.280 --> 00:01:56.480]  在這段經文裏面
[00:01:56.480 --> 00:02:01.880]  我們比較上特別是在聖誕節的期間
[00:02:01.880 --> 00:02:09.280]  我們用很浪漫的心境來去欣賞瑪利亞
[00:02:09.280 --> 00:02:13.280]  例如會覺得瑪利亞是一個很溫馴
[00:02:13.280 --> 00:02:15.180]  是一個很良善
[00:02:15.180 --> 00:02:20.480]  並且是一個處境是非常美麗的
[00:02:20.480 --> 00:02:21.980]  這個是很可惜
[00:02:21.980 --> 00:02:28.780]  是今天聖誕卡誤導的一個場面
[00:02:28.780 --> 00:02:33.180]  你看聖誕卡裏面都是畫得瑪利亞很美麗的
[00:02:33.180 --> 00:02:38.980]  但是聖嬰耶穌有時候是蒼蠅的鬥點都不見的
[00:02:38.980 --> 00:02:42.680]  將那個處境聖嬰就忘記了
[00:02:42.680 --> 00:02:50.580]  瑪利亞約瑟、三博士、牧羊人、神星等等就擴大了
[00:02:50.580 --> 00:02:54.180]  其實在當時的處境
[00:02:54.180 --> 00:02:57.880]  瑪利亞是一個童女
[00:02:57.880 --> 00:03:01.580]  經文裏面兩次強調她是童女
[00:03:01.580 --> 00:03:03.280]  童女多少歲呢?
[00:03:03.280 --> 00:03:07.780]  按當時的估計大概是十六、十七歲左右
[00:03:07.780 --> 00:03:09.780]  以一個這樣的處境
[00:03:09.780 --> 00:03:13.980]  有一個基層人的貧窮人
[00:03:13.980 --> 00:03:17.280]  竟然是值得我們關注
[00:03:17.280 --> 00:03:18.980]  我們讀這段經文的時候
[00:03:18.980 --> 00:03:22.380]  聖經就說:「天使進去對瑪利亞說:
[00:03:22.380 --> 00:03:29.080]  蒙大恩的女子,我問你案,主和你同在了。」
[00:03:29.080 --> 00:03:30.580]  接著瑪利亞怎樣說?
[00:03:30.580 --> 00:03:33.480]  瑪利亞因這話就很驚慌
[00:03:33.480 --> 00:03:38.880]  又反覆思想這樣問案是什麼意思?
[00:03:38.880 --> 00:03:40.780]  在這一句的說話裏面
[00:03:40.780 --> 00:03:44.180]  其實有一段的空間
[00:03:44.180 --> 00:03:48.780]  有一段時間的空間是停留了的
[00:03:48.780 --> 00:03:51.780]  聖經很清楚地說瑪利亞很驚慌
[00:03:51.780 --> 00:03:54.180]  又反覆思想
[00:03:54.180 --> 00:03:58.780]  這個反覆思想和驚慌裏面有一段的空間停留了
[00:03:58.780 --> 00:04:00.380]  瑪利亞就說:
[00:04:00.380 --> 00:04:02.780]  「在做些什麼事?」
[00:04:02.780 --> 00:04:09.980]  「為什麼有一個天使會向我顯現來說這些話?」
[00:04:09.980 --> 00:04:11.580]  所以在這個情形之下
[00:04:11.580 --> 00:04:18.080]  瑪利亞按人間的常度、人的邏輯、人的思考
[00:04:18.080 --> 00:04:21.080]  覺得這是不可能的事
[00:04:21.080 --> 00:04:24.880]  雖然當時每一個少女、猶太人的少女
[00:04:24.880 --> 00:04:32.280]  都期望這個尼泊爾的降臨是透過她而降生
[00:04:32.280 --> 00:04:38.980]  但是並不止因為這麼多年來仍然未能兌現
[00:04:38.980 --> 00:04:42.380]  瑪利亞雖然是一個很敬虔的女子
[00:04:42.380 --> 00:04:46.680]  但她仍然心裏面很單純、很驚慌
[00:04:46.680 --> 00:04:50.880]  這個驚慌不是你做錯事的驚慌
[00:04:50.880 --> 00:04:53.180]  這個驚慌是什麼驚慌?
[00:04:53.180 --> 00:05:00.380]  是一種對上帝敬虔而不敢亂來的驚慌
[00:05:00.380 --> 00:05:03.080]  所以在這段經文裏面
[00:05:03.080 --> 00:05:06.280]  瑪利亞在處境裏面第一個
[00:05:06.280 --> 00:05:11.480]  她覺得是一個上帝的易度
[00:05:11.480 --> 00:05:14.480]  天使向她顯現
[00:05:14.480 --> 00:05:17.580]  這裏就看到瑪利亞裏面
[00:05:17.580 --> 00:05:22.180]  她怎樣將她自己的邏輯、思考的信念
[00:05:22.180 --> 00:05:28.480]  轉化為一個敬虔的信服的信念
[00:05:28.480 --> 00:05:32.380]  這個就是人間的常道
[00:05:32.380 --> 00:05:36.880]  被上帝的易度所佔有
[00:05:36.880 --> 00:05:41.380]  我們很多時候都是以人間的常道
[00:05:41.380 --> 00:05:47.880]  來去理解經文、理解上帝的話語
[00:05:47.880 --> 00:05:49.980]  第二個我們看到
[00:05:49.980 --> 00:05:53.680]  瑪利亞遇上第二個上帝的易度
[00:05:53.680 --> 00:05:55.180]  就是什麼呢?
[00:05:55.180 --> 00:05:59.180]  天使對她說
[00:05:59.180 --> 00:06:03.780]  「你要偉大,你要懷孕生子
[00:06:03.780 --> 00:06:07.580]  可以給他起名叫耶穌」
[00:06:07.580 --> 00:06:11.580]  在當時裏面很多的婦女都很願意
[00:06:11.580 --> 00:06:15.080]  將她的兒子安個名叫做耶穌
[00:06:15.080 --> 00:06:18.780]  所以當時這個名是很普遍的
[00:06:18.780 --> 00:06:21.980]  但是誰宣告告訴她
[00:06:21.980 --> 00:06:25.080]  你的兒子就是應該叫耶穌
[00:06:25.080 --> 00:06:27.780]  原來是因為有天使的宣告
[00:06:27.780 --> 00:06:29.280]  對瑪利亞來說
[00:06:29.280 --> 00:06:34.180]  是一件不能接受的人間的常道
[00:06:34.180 --> 00:06:36.080]  所以瑪利亞就對天使說
[00:06:36.080 --> 00:06:41.380]  「我沒有出嫁,怎麼有這事呢?」
[00:06:41.380 --> 00:06:43.780]  你就看到瑪利亞的心境裏面
[00:06:43.780 --> 00:06:46.080]  是一個很純潔的
[00:06:46.080 --> 00:06:49.580]  今天奉子成婚
[00:06:49.580 --> 00:06:51.780]  沒有什麼特別的東西
[00:06:51.780 --> 00:06:53.380]  但是昔日
[00:06:53.380 --> 00:06:55.080]  你這樣奉子成婚
[00:06:55.080 --> 00:06:56.980]  就是成為一個什麼呢?
[00:06:56.980 --> 00:07:03.780]  是被人用石頭扔死的一個危機
[00:07:03.780 --> 00:07:07.380]  中國人就說「浸豬籠」
[00:07:07.380 --> 00:07:11.680]  但是瑪利亞遇上一個上帝的逆道
[00:07:11.680 --> 00:07:16.780]  未婚生子是不能接納的東西
[00:07:16.780 --> 00:07:19.780]  但是瑪利亞信奉、接受
[00:07:19.780 --> 00:07:25.780]  她用誤導的心來去接受上帝的逆道
[00:07:25.780 --> 00:07:29.580]  第三次是更加令她震驚的
[00:07:29.580 --> 00:07:33.280]  因為天使對她說
[00:07:33.280 --> 00:07:35.880]  你要生一個兒子
[00:07:35.880 --> 00:07:39.580]  他有權能為我成就大事
[00:07:39.580 --> 00:07:41.680]  他的名為聖
[00:07:41.680 --> 00:07:43.880]  然後他憐憫敬畏他的人
[00:07:43.880 --> 00:07:46.080]  直到世世代代
[00:07:46.080 --> 00:07:48.680]  他叫有權柄的失畏
[00:07:48.680 --> 00:07:50.280]  叫卑賤的升高
[00:07:50.280 --> 00:07:53.180]  叫飢餓的得飽美食
[00:07:53.180 --> 00:07:56.480]  叫富足的空手回去
[00:07:56.480 --> 00:07:57.880]  我們現在對這段經歷
[00:07:57.880 --> 00:08:00.180]  沒有什麼特別的感受
[00:08:00.180 --> 00:08:02.280]  如果我們當時在瑪利亞
[00:08:02.280 --> 00:08:05.480]  在這個所謂羅馬大帝國
[00:08:05.480 --> 00:08:09.480]  太平盛世的時候
[00:08:09.480 --> 00:08:12.080]  有人起來這樣說這幾句話
[00:08:12.080 --> 00:08:12.980]  是一個什麼?
[00:08:12.980 --> 00:08:15.280]  是一個反叛
[00:08:15.280 --> 00:08:16.180]  是一個什麼?
[00:08:16.180 --> 00:08:21.780]  是一個推翻羅馬政權的一個宣告
[00:08:21.780 --> 00:08:24.280]  在這個情形之下
[00:08:24.280 --> 00:08:26.680]  瑪利亞是充滿驚惶
[00:08:26.680 --> 00:08:28.980]  因為在新約和舊約之間
[00:08:28.980 --> 00:08:32.480]  有四百年被稱為黑暗時代
[00:08:32.480 --> 00:08:34.280]  是瑪加比時代
[00:08:34.280 --> 00:08:38.880]  當時猶太人要推翻羅馬人的政權
[00:08:38.880 --> 00:08:43.380]  但是對一個十六七歲的童女
[00:08:43.380 --> 00:08:48.980]  她覺得這個是不應該也不可能
[00:08:48.980 --> 00:08:51.480]  就是上帝將人間的不可能
[00:08:51.480 --> 00:08:55.680]  又不應該成為可能和應該
[00:08:55.680 --> 00:09:00.980]  其實我們對這位創造萬物的創生之主
[00:09:00.980 --> 00:09:03.980]  我們又認識得到多少呢?
[00:09:03.980 --> 00:09:06.580]  我們對上帝這個名號
[00:09:06.580 --> 00:09:10.080]  我們怎樣來表達呢?
[00:09:10.080 --> 00:09:11.580]  上帝是什麼呢?
[00:09:11.580 --> 00:09:14.680]  或者上帝是誰呢?
[00:09:14.680 --> 00:09:17.180]  按我們用中國文字
[00:09:17.180 --> 00:09:21.280]  我們中國古文化的認識來說
[00:09:21.280 --> 00:09:23.780]  上帝就是一個奧秘
[00:09:23.780 --> 00:09:26.080]  所以老子也很清清楚楚地說
[00:09:26.080 --> 00:09:29.880]  道可道,非常道
[00:09:29.880 --> 00:09:32.880]  他沒有辦法來表達這個什麼
[00:09:32.880 --> 00:09:34.980]  這個名字是什麼
[00:09:34.980 --> 00:09:38.880]  上帝是不可以知道的
[00:09:38.880 --> 00:09:42.080]  是又知道又不知道
[00:09:42.080 --> 00:09:46.880]  上帝不是我們人間的常道、理性、邏輯、分性
[00:09:46.880 --> 00:09:48.680]  所能夠明白
[00:09:48.680 --> 00:09:52.680]  所以上帝的作為是人間看不透的
[00:09:52.680 --> 00:09:56.180]  這個就是上帝在我們人生當中
[00:09:56.180 --> 00:09:59.580]  做了很多不可能或者不應該的事
[00:09:59.580 --> 00:10:01.280]  但對上帝來說
[00:10:01.280 --> 00:10:04.680]  這個是可能,是應該的
[00:10:04.680 --> 00:10:09.280]  我們今天常常強調真理
[00:10:09.280 --> 00:10:12.380]  耶穌說「我就是真理」
[00:10:12.380 --> 00:10:17.180]  其實如果我們認真的去思考這句話
[00:10:17.180 --> 00:10:20.880]  上帝耶穌說「我就是真」
[00:10:20.880 --> 00:10:23.080]  沒有這個「理」這個字
[00:10:23.080 --> 00:10:24.080]  「我就是真」
[00:10:24.080 --> 00:10:26.280]  「I am the truth」
[00:10:26.280 --> 00:10:27.480]  真就是真
[00:10:27.480 --> 00:10:29.880]  如果增加了一個「理」字
[00:10:29.880 --> 00:10:33.580]  裡面就很複雜了
