
[00:00:00.000 --> 00:00:02.880]  我相信大家都會明顯看到
[00:00:02.880 --> 00:00:05.920]  今年的春天是特別早來的
[00:00:05.920 --> 00:00:12.840]  今年的壽苦節和復活節
[00:00:12.840 --> 00:00:14.840]  也都是特別早
[00:00:14.840 --> 00:00:17.720]  今年的三月尾
[00:00:17.720 --> 00:00:19.440]  即是這個月尾就是了
[00:00:19.440 --> 00:00:28.120]  壽難節是紀念主耶穌為我們世人的罪
[00:00:28.120 --> 00:00:29.880]  釘死在十字架上
[00:00:30.720 --> 00:00:32.080]  為世人的罪
[00:00:32.080 --> 00:00:35.360]  你和我就是世人
[00:00:35.360 --> 00:00:37.360]  即是說和我們有關
[00:00:37.360 --> 00:00:41.360]  所以
[00:00:41.360 --> 00:00:49.040]  既然主耶穌是為我們釘十字架
[00:00:49.040 --> 00:00:50.240]  為我們死的時候
[00:00:50.240 --> 00:00:53.920]  所以無論你是還沒信主的也好
[00:00:53.920 --> 00:00:55.920]  或者你已經信了主也好
[00:00:55.920 --> 00:00:58.880]  這件事都是和我們有關
[00:00:59.360 --> 00:01:01.760]  所以是值得我們去思考
[00:01:01.760 --> 00:01:07.360]  特別在壽苦節將近的時刻
[00:01:07.360 --> 00:01:12.560]  我們要思考什麼呢?
[00:01:12.560 --> 00:01:15.040]  我們應該有什麼反應才對呢?
[00:01:15.040 --> 00:01:21.280]  就今天的經文裡的啟示
[00:01:21.280 --> 00:01:24.000]  我覺得簡單的答案就是
[00:01:24.000 --> 00:01:26.720]  耶穌既然是替我們死了
[00:01:26.720 --> 00:01:32.240]  我們仍然活著的人就不要再偏行己路
[00:01:32.240 --> 00:01:36.000]  我們要為主而活
[00:01:36.000 --> 00:01:39.200]  這就是今天我要和大家講的訊息
[00:01:39.200 --> 00:01:45.120]  在剛才大家所讀的經文裡
[00:01:45.120 --> 00:01:48.400]  我去看這段經文的時候
[00:01:48.400 --> 00:01:55.520]  我看到有兩點是和偏行己路有關的
[00:01:57.040 --> 00:02:03.120]  就是無動於衷和不肯交出主權
[00:02:03.120 --> 00:02:09.520]  我先講第一點就是無動於衷
[00:02:09.520 --> 00:02:11.200]  怎樣無動於衷呢?
[00:02:11.200 --> 00:02:13.200]  所謂無動於衷是指
[00:02:13.200 --> 00:02:18.960]  對耶穌的作為和祂的福音無動於衷
[00:02:18.960 --> 00:02:22.960]  我們看約翰福音十一章四十五節
[00:02:27.200 --> 00:02:29.760]  那些來看馬尼亞的猶太人
[00:02:29.760 --> 00:02:31.760]  見了耶穌所做的事
[00:02:31.760 --> 00:02:33.760]  就多有信他
[00:02:33.760 --> 00:02:38.640]  耶穌所做的事是指什麼呢?
[00:02:38.640 --> 00:02:43.600]  如果你有聖經你會看到前面一大段是講
[00:02:43.600 --> 00:02:48.960]  耶穌所愛的一個朋友叫拉撒路
[00:02:48.960 --> 00:02:51.120]  他死了四天
[00:02:51.120 --> 00:02:55.600]  但是耶穌仍然能夠叫他從死裡復活
[00:02:56.320 --> 00:02:59.600]  是一個很驚人的神蹟
[00:02:59.600 --> 00:03:07.680]  親眼看到這麼驚人的神蹟的人
[00:03:07.680 --> 00:03:12.160]  他們原本只是出席喪禮
[00:03:12.160 --> 00:03:14.560]  去安慰死者的家屬
[00:03:14.560 --> 00:03:17.440]  誰知卻是機緣巧合
[00:03:17.440 --> 00:03:21.920]  親眼看到這麼驚人死人復活的神蹟
[00:03:23.520 --> 00:03:30.800]  當然這些人當然很樂意到處去傳一個驚人的消息
[00:03:30.800 --> 00:03:37.920]  我們經過高速公路見到撞車也要回來很久才能講
