
[00:00:00.000 --> 00:00:01.000]  第一節目早晨
[00:00:01.000 --> 00:00:02.000]  醫生準備早
[00:00:02.000 --> 00:00:06.000]  講下上回是講到哪裏先
[00:00:06.000 --> 00:00:09.000]  說說上一回我們講到那裏
[00:00:09.000 --> 00:00:11.000]  好像張維小說那樣
[00:00:11.000 --> 00:00:15.000]  好像一些武俠小說一樣
[00:00:15.000 --> 00:00:19.000]  上回講到以色列人回到自己的國土
[00:00:19.000 --> 00:00:22.000]  上一次講到以色列人回到自己的國土
[00:00:22.000 --> 00:00:25.000]  第二年就開始建立殿的根基
[00:00:25.000 --> 00:00:28.000]  第二年就開始建立殿的根基
[00:00:28.000 --> 00:00:30.000]  如果你聽得明白我上次所講的話
[00:00:30.000 --> 00:00:33.000]  如果你聽得懂我上次所說的
[00:00:33.000 --> 00:00:37.000]  他們所講的殿根基不是木柱
[00:00:37.000 --> 00:00:40.000]  講聖殿的根基不是木柱
[00:00:40.000 --> 00:00:42.000]  也都不是石屎柱
[00:00:42.000 --> 00:00:44.000]  也不是石牆
[00:00:44.000 --> 00:00:46.000]  而是他們和神之間的關係
[00:00:46.000 --> 00:00:48.000]  而是跟神的關係
[00:00:48.000 --> 00:00:53.000]  所以你看到他們一去到殿的位置
[00:00:53.000 --> 00:00:57.000]  所以你去到聖殿的遺址
[00:00:57.000 --> 00:00:59.000]  他們就開始建制
[00:00:59.000 --> 00:01:01.000]  他們開始先祭
[00:01:01.000 --> 00:01:02.000]  不是急於建殿
[00:01:02.000 --> 00:01:03.000]  不是急於建殿
[00:01:03.000 --> 00:01:05.000]  因為要他們知道
[00:01:05.000 --> 00:01:07.000]  因為要讓他們知道
[00:01:07.000 --> 00:01:11.000]  聖殿的根基是神與人的關係
[00:01:11.000 --> 00:01:14.000]  聖殿的根基其實是神與人的關係
[00:01:14.000 --> 00:01:15.000]  沒有了這個關係
[00:01:15.000 --> 00:01:16.000]  沒有這個關係
[00:01:16.000 --> 00:01:18.000]  就算有很漂亮的聖殿
[00:01:18.000 --> 00:01:20.000]  就算有很漂亮的聖殿
[00:01:20.000 --> 00:01:22.000]  很華麗很宏偉的一個建築
[00:01:22.000 --> 00:01:24.000]  很華麗很宏偉的建築
[00:01:24.000 --> 00:01:25.000]  都是圖形的
[00:01:25.000 --> 00:01:27.000]  都是圖形的
[00:01:27.000 --> 00:01:29.000]  所以上次講到他們建立了根基
[00:01:29.000 --> 00:01:32.000]  所以上次講到他們建立根基
[00:01:32.000 --> 00:01:36.000]  本來就是可以順風順水
[00:01:36.000 --> 00:01:39.000]  本來一切都很順利的
[00:01:39.000 --> 00:01:42.000]  接著應該是建造上蓋
[00:01:42.000 --> 00:01:45.000]  然後建造上蓋
[00:01:45.000 --> 00:01:47.000]  但是今天看第四章的時候
[00:01:47.000 --> 00:01:49.000]  可是今天看第四章的時候
[00:01:49.000 --> 00:01:51.000]  你看到神的工作是受阻的
[00:01:51.000 --> 00:01:53.000]  你看到神的工作是受阻的
[00:01:53.000 --> 00:01:55.000]  我們很明白有神工作的地方
[00:01:55.000 --> 00:01:58.000]  我們很明白有神工作的地方
[00:01:58.000 --> 00:01:59.000]  就有撒旦的破壞
[00:01:59.000 --> 00:02:01.000]  就有撒旦的破壞
[00:02:01.000 --> 00:02:05.000]  因為他來是要偷竊殺害和毀壞
[00:02:05.000 --> 00:02:10.000]  因為撒旦要來就是要偷竊神的工作
[00:02:10.000 --> 00:02:12.000]  唯有耶穌來才叫人得生命
[00:02:12.000 --> 00:02:13.000]  唯有耶穌來才叫人得生命
[00:02:13.000 --> 00:02:14.000]  而且得更豐盛的生命
