
[00:00:00.000 --> 00:00:02.000]  那麼今天的講道呢
[00:00:02.000 --> 00:00:03.000]  就...
[00:00:03.000 --> 00:00:06.000]  小小為了應這個...
[00:00:06.000 --> 00:00:09.000]  時節的
[00:00:09.000 --> 00:00:11.000]  那麼接下來是什麼節日呢?
[00:00:11.000 --> 00:00:12.000]  中國人
[00:00:12.000 --> 00:00:13.000]  農曆年
[00:00:13.000 --> 00:00:14.000]  農曆年了,新年了
[00:00:14.000 --> 00:00:15.000]  那麼就...
[00:00:15.000 --> 00:00:17.000]  今年的農曆年是...
[00:00:17.000 --> 00:00:19.000]  初一是星期二嘛
[00:00:19.000 --> 00:00:20.000]  所以呢就...
[00:00:20.000 --> 00:00:22.000]  明晚就年三十晚嘛
[00:00:22.000 --> 00:00:24.000]  那麼我就想了一些題目
[00:00:24.000 --> 00:00:25.000]  就想了這個
[00:00:25.000 --> 00:00:27.000]  那麼大家有沒有一些印象
[00:00:27.000 --> 00:00:29.000]  知道是什麼意思呢?
[00:00:29.000 --> 00:00:30.000]  是啊
[00:00:30.000 --> 00:00:32.000]  就是有整句句子的
[00:00:32.000 --> 00:00:33.000]  是啊
[00:00:33.000 --> 00:00:34.000]  是啊
[00:00:34.000 --> 00:00:36.000]  就是這個出賣了你的年齡
[00:00:36.000 --> 00:00:38.000]  小孩子不懂的嘛
[00:00:38.000 --> 00:00:40.000]  就是舊一輩
[00:00:40.000 --> 00:00:42.000]  我們差不多年齡的那些就懂了
[00:00:42.000 --> 00:00:43.000]  就是家人呢
[00:00:43.000 --> 00:00:45.000]  就經常都會說
[00:00:45.000 --> 00:00:47.000]  賣啦,賣到年三十晚
[00:00:47.000 --> 00:00:49.000]  這樣,很順口這樣
[00:00:49.000 --> 00:00:50.000]  那麼其實呢,我覺得
[00:00:50.000 --> 00:00:52.000]  這個都很有意思的
[00:00:52.000 --> 00:00:54.000]  中國人呢,到年尾的時候呢
[00:00:54.000 --> 00:00:56.000]  就將一些舊的東西
[00:00:56.000 --> 00:00:57.000]  不好的東西就大掃除
[00:00:57.000 --> 00:00:59.000]  就清走了,是不是?
[00:00:59.000 --> 00:01:02.000]  那麼就勸小朋友呢,就要賣懶
[00:01:02.000 --> 00:01:04.000]  就是那些懶惰
[00:01:04.000 --> 00:01:05.000]  是不好的
[00:01:05.000 --> 00:01:07.000]  就是賣走它,不要要
[00:01:07.000 --> 00:01:09.000]  那麼我就是環繞著這個主題呢
[00:01:09.000 --> 00:01:10.000]  來到去...
[00:01:10.000 --> 00:01:12.000]  就是有些神話呢
[00:01:12.000 --> 00:01:13.000]  跟大家分享
[00:01:13.000 --> 00:01:15.000]  那麼就...
[00:01:15.000 --> 00:01:17.000]  有一節的經文呢
[00:01:17.000 --> 00:01:18.000]  就是...
[00:01:18.000 --> 00:01:20.000]  大家都會...
[00:01:20.000 --> 00:01:21.000]  懂的
[00:01:21.000 --> 00:01:23.000]  那麼在《針研》的六章六節
[00:01:23.000 --> 00:01:25.000]  那麼我們一起讀吧,好不好?
[00:01:25.000 --> 00:01:27.000]  敦道人啊
[00:01:27.000 --> 00:01:30.000]  你去察看螞蟻的動作
[00:01:30.000 --> 00:01:32.000]  就可得智慧
[00:01:32.000 --> 00:01:35.000]  那麼我們環繞著這節經文去思想一下
[00:01:35.000 --> 00:01:37.000]  那麼是《針研》呢
[00:01:37.000 --> 00:01:39.000]  跟那些懶人說的
[00:01:39.000 --> 00:01:41.000]  那麼就...
[00:01:41.000 --> 00:01:43.000]  不多不少我們人都有些懶的,是不是?
[00:01:43.000 --> 00:01:44.000]  那麼所以
[00:01:44.000 --> 00:01:47.000]  都是適合我們聽的
[00:01:47.000 --> 00:01:49.000]  叫我們觀察一下那些螞蟻的動作
[00:01:49.000 --> 00:01:52.000]  大家有沒有真的看過那些螞蟻是怎麼樣的?
[00:01:53.000 --> 00:01:55.000]  有沒有留意過那些螞蟻的動作是怎麼樣的?
[00:01:55.000 --> 00:01:59.000]  整天就...
[00:01:59.000 --> 00:02:00.000]  就是搖來搖去這樣
[00:02:00.000 --> 00:02:02.000]  就是排隊
[00:02:02.000 --> 00:02:04.000]  一個跟一個這樣
