
[00:00:00.000 --> 00:00:03.000]  好,等節目平安,歡迎大家來到當中
[00:00:03.000 --> 00:00:06.000]  好,那我們一起祈禱先
[00:00:06.000 --> 00:00:09.000]  天文,我們多謝你,讓我們一起思考你的說話
[00:00:09.000 --> 00:00:12.000]  讓善你的華語去幫助我們,造就我們的生命
[00:00:12.000 --> 00:00:15.000]  帶領我們更加賜你自己
[00:00:15.000 --> 00:00:19.000]  求你聽我們祈禱,奉耶穌名字而求,阿們
[00:00:19.000 --> 00:00:25.000]  昨天去華人超市都很多人,知道為什麼嗎?
[00:00:25.000 --> 00:00:28.000]  農曆新年來了
[00:00:28.000 --> 00:00:32.000]  對華人來說是非常重視的日子
[00:00:32.000 --> 00:00:37.000]  又問問大家,知道接下來是什麼年份嗎?
[00:00:37.000 --> 00:00:38.000]  蛇年
[00:00:38.000 --> 00:00:41.000]  蛇年,哇,大家很聰明,蛇年
[00:00:41.000 --> 00:00:43.000]  所以,蛇年的日子
[00:00:43.000 --> 00:00:46.000]  很快就是蛇年的日子
[00:00:46.000 --> 00:00:50.000]  希望大家新春愉快,身體健康
[00:00:50.000 --> 00:00:57.000]  但是,知道大年初一,我們的農曆新年,年初一是幾號嗎?
[00:00:57.000 --> 00:00:59.000]  二十八還是二十九?
[00:00:59.000 --> 00:01:01.000]  二十九號
[00:01:01.000 --> 00:01:04.000]  對,二十九號,記得是二十九號
[00:01:04.000 --> 00:01:07.000]  我一定記得,因為我女兒那天生日
[00:01:07.000 --> 00:01:14.000]  所以不記得就麻煩了,很危險
[00:01:14.000 --> 00:01:19.000]  但是,一月二十九就是農曆年初一
[00:01:19.000 --> 00:01:21.000]  年三十晚就是幾號?
[00:01:21.000 --> 00:01:25.000]  又聰明,捉不到你們
[00:01:25.000 --> 00:01:28.000]  今年是沒有年三十晚的
[00:01:28.000 --> 00:01:30.000]  所以,沒有年三十晚
[00:01:30.000 --> 00:01:32.000]  所以,沒有機會這樣
[00:01:32.000 --> 00:01:35.000]  不過,年二十九也等於年三十晚
[00:01:35.000 --> 00:01:40.000]  所以,一路數下去,我們通常過年之前要做些什麼?
[00:01:40.000 --> 00:01:42.000]  大掃除
[00:01:42.000 --> 00:01:44.000]  所以,今天我們教會在崇拜之後
[00:01:44.000 --> 00:01:48.000]  如果你可以,留步幫教會有大掃除的時刻
[00:01:48.000 --> 00:01:50.000]  幫教會清潔
[00:01:50.000 --> 00:01:53.000]  所以,我們通常大掃除的日子,我們有個口號叫什麼?
[00:01:53.000 --> 00:01:55.000]  年廿八
[00:01:55.000 --> 00:01:58.000]  對了,接著的問題就是問
[00:01:58.000 --> 00:02:02.000]  「邋遢」那兩個字怎麼寫?
[00:02:02.000 --> 00:02:05.000]  請問有沒有人能夠寫「邋遢」那兩個字?
[00:02:05.000 --> 00:02:07.000]  我們來到美國太久了
[00:02:07.000 --> 00:02:10.000]  可能中文都不太用
[00:02:10.000 --> 00:02:13.000]  但是,「邋遢」兩個字怎麼寫呢?
[00:02:13.000 --> 00:02:15.000]  什麼部首?
[00:02:15.000 --> 00:02:19.000]  又出貓,Winbo,每次都按手機
[00:02:19.000 --> 00:02:22.000]  問的時候,每次都按手機
[00:02:22.000 --> 00:02:24.000]  樹心邊?
[00:02:24.000 --> 00:02:26.000]  竹步?
[00:02:26.000 --> 00:02:30.000]  禮衣邊?
[00:02:30.000 --> 00:02:34.000]  根據用手機問的答案就是這個
[00:02:34.000 --> 00:02:37.000]  大家真的不懂寫
[00:02:37.000 --> 00:02:40.000]  「餐廳仔」的「邋遢」
[00:02:40.000 --> 00:02:43.000]  「餐廳仔」寫「邋遢」這兩個字
[00:02:43.000 --> 00:02:45.000]  所以,年廿八要洗「邋遢」
[00:02:45.000 --> 00:02:48.000]  你記住,是這樣洗「邋遢」的
[00:02:48.000 --> 00:02:52.000]  洗「邋遢」的時候代表什麼呢?
[00:02:52.000 --> 00:02:54.000]  我們要「送舊迎新」
[00:02:54.000 --> 00:02:56.000]  將舊的東西扔掉
[00:02:56.000 --> 00:02:58.000]  那就是「斷捨離」
[00:02:58.000 --> 00:03:00.000]  迎接一些新的東西
[00:03:00.000 --> 00:03:03.000]  所以,今天我們的訊息裡
[00:03:03.000 --> 00:03:05.000]  我們要想想如何在主題裡
[00:03:05.000 --> 00:03:07.000]  「送舊迎新」有妙法
[00:03:07.000 --> 00:03:11.000]  我們想想如何迎接新的東西
[00:03:11.000 --> 00:03:15.000]  跟大家有三個重點的思考
[00:03:15.000 --> 00:03:19.000]  今天我就明明地說,應該講不了長的
[00:03:19.000 --> 00:03:22.000]  大家應該會精簡一點去聽
[00:03:22.000 --> 00:03:25.000]  不過,應該大家都能夠聽得到的
[00:03:25.000 --> 00:03:27.000]  第一個重點是什麼呢?
[00:03:27.000 --> 00:03:31.000]  就是「除去你ERROR」
[00:03:31.000 --> 00:03:32.000]  「除去你ERROR」
[00:03:32.000 --> 00:03:34.000]  不知道大家有沒有見過這個組合
[00:03:34.000 --> 00:03:37.000]  這個就是香港的組合叫做「ERROR」
[00:03:37.000 --> 00:03:39.000]  「ERROR」就是錯誤
[00:03:39.000 --> 00:03:41.000]  這個組合是很特別的
[00:03:41.000 --> 00:03:46.000]  它的特別組合在於四個組合成員
[00:03:46.000 --> 00:03:49.000]  個個都很…
[00:03:49.000 --> 00:03:51.000]  隨便你們說的
[00:03:51.000 --> 00:03:53.000]  很有特色的
[00:03:53.000 --> 00:03:55.000]  一個就是超高
[00:03:55.000 --> 00:03:57.000]  一個就是超肥
[00:03:57.000 --> 00:04:00.000]  一個就是很…
[00:04:00.000 --> 00:04:02.000]  很難達到的感覺等等
[00:04:02.000 --> 00:04:04.000]  是一個很特別的組合
[00:04:04.000 --> 00:04:06.000]  不過也有受歡迎的
[00:04:06.000 --> 00:04:08.000]  香港也是這麼說
[00:04:08.000 --> 00:04:10.000]  不過今天我們就「除去你ERROR」
[00:04:10.000 --> 00:04:12.000]  就不是「除去你這個ERROR」
[00:04:12.000 --> 00:04:15.000]  而是聖經裡面說的那些「ERROR」是什麼呢?
[00:04:15.000 --> 00:04:17.000]  錯誤是什麼呢?
[00:04:17.000 --> 00:04:19.000]  我們先看第一個段落
