
[00:00:00.000 --> 00:00:04.740]  讓我們在聆聽神的話語之前
[00:00:04.740 --> 00:00:06.740]  我們再次同心祈禱
[00:00:06.740 --> 00:00:19.700]  主讓我們在祢的面前能夠謙卑
[00:00:19.700 --> 00:00:24.760]  讓我們去專心聆聽祢的教導
[00:00:24.760 --> 00:00:28.500]  以致我們可以得著從上而來的智慧
[00:00:29.400 --> 00:00:31.700]  要願僕人口中的言語
[00:00:31.700 --> 00:00:34.400]  弟兄姊妹的心思意念
[00:00:34.400 --> 00:00:36.400]  蒙聖靈的啟迪
[00:00:36.400 --> 00:00:37.700]  蒙主的悅立
[00:00:37.700 --> 00:00:40.400]  禱告直主耶穌基督的聖名而求
[00:00:40.400 --> 00:00:41.400]  阿門
[00:00:41.400 --> 00:00:49.700]  當我們提到智慧的時候
[00:00:49.700 --> 00:00:53.000]  大家會聯想到些什麼呢?
[00:00:53.700 --> 00:00:59.700]  不同年紀的人會有不同的聯想
[00:00:59.700 --> 00:01:02.700]  譬如我們的同學
[00:01:02.700 --> 00:01:05.700]  當想到智慧的時候
[00:01:05.700 --> 00:01:08.700]  可能他們第一時間就會想起智商題
[00:01:08.700 --> 00:01:11.700]  但是那些智商題
[00:01:11.700 --> 00:01:14.700]  其實就不需要很多的智慧
[00:01:14.700 --> 00:01:18.700]  只要你聽得清楚有沒有觸你自失
[00:01:18.700 --> 00:01:21.700]  或者你的腦筋轉得快不快
[00:01:21.700 --> 00:01:23.700]  平時會不會說些爛笑話
[00:01:23.700 --> 00:01:25.700]  如果你的腦筋快的話
[00:01:25.700 --> 00:01:27.700]  你就有機會明白
[00:01:27.700 --> 00:01:30.700]  這些智商題其實是想考你些什麼
[00:01:30.700 --> 00:01:37.700]  成年人又會有不同的智慧
[00:01:37.700 --> 00:01:40.700]  特別是當我們遇到在工作上
[00:01:40.700 --> 00:01:43.700]  生活上一些難題的時候
[00:01:43.700 --> 00:01:47.700]  我們都需要一些智慧來解決
[00:01:47.700 --> 00:01:50.700]  近來因為搬屋的緣故
[00:01:50.700 --> 00:01:52.700]  所以就遇到一個問題
[00:01:52.700 --> 00:01:58.700]  就是怎樣可以將新屋裏面的油油
[00:01:58.700 --> 00:02:01.700]  裝修等等的氣味快些清除呢?
[00:02:01.700 --> 00:02:06.700]  所以就有很多弟兄姊妹朋友
[00:02:06.700 --> 00:02:09.700]  就將這些家居的智慧貢獻了
[00:02:09.700 --> 00:02:11.700]  有很多很多的東西
[00:02:11.700 --> 00:02:14.700]  都可以快些去除這些氣味的
[00:02:14.700 --> 00:02:22.700]  包括白醋、洋蔥、檸檬、咖啡豆
[00:02:22.700 --> 00:02:25.700]  磨完之後再沖咖啡
[00:02:25.700 --> 00:02:27.700]  剩下的渣滓
[00:02:27.700 --> 00:02:30.700]  還有一樣就是菠蘿
[00:02:30.700 --> 00:02:33.700]  有這麼多東西其實都可以吃的
[00:02:33.700 --> 00:02:35.700]  或者用來煮菜的
[00:02:35.700 --> 00:02:38.700]  在這麼多東西裏面
[00:02:38.700 --> 00:02:43.700]  我結果就選擇了這個檸檬和洋蔥
[00:02:43.700 --> 00:02:45.700]  因為是媽媽吩咐的
