
[00:00:00.000 --> 00:00:06.880]  (主席) 大家經過了一段疫情都很長的時間
[00:00:06.880 --> 00:00:11.420]  在疫情裏面我見到大家的容貌有時有些改變
[00:00:11.420 --> 00:00:15.180]  有些人趁機留下鬍子遮住了
[00:00:15.180 --> 00:00:17.480]  有各樣不同的做法
[00:00:17.480 --> 00:00:20.700]  特別看到一些小朋友有很大的轉變
[00:00:20.700 --> 00:00:23.020]  不見了一段時間差點不認得
[00:00:23.020 --> 00:00:25.180]  有些高大了很多
[00:00:25.180 --> 00:00:27.900]  原本是一個少年人突然間好像變了一個青年人
[00:00:27.900 --> 00:00:29.180]  長大了
[00:00:29.180 --> 00:00:33.180]  特別是小朋友可能又沒機會運動
[00:00:33.180 --> 00:00:34.180]  沒法放電
[00:00:34.180 --> 00:00:35.580]  肥嘟嘟了很多
[00:00:35.580 --> 00:00:37.060]  發覺了很多
[00:00:37.060 --> 00:00:37.820]  都是這樣
[00:00:37.820 --> 00:00:40.620]  新量上面增長了
[00:00:40.620 --> 00:00:43.820]  作為家長我想我們都很關心
[00:00:43.820 --> 00:00:47.220]  很重視子女的健康成長
[00:00:47.220 --> 00:00:49.940]  很多時候看廣告那些奶粉
[00:00:49.940 --> 00:00:50.740]  各類型的奶粉
[00:00:50.740 --> 00:00:53.620]  我想我們小時候沒有奶粉喝的
[00:00:53.620 --> 00:00:55.420]  可以幫助腦又怎樣
[00:00:55.420 --> 00:00:57.020]  特別醒一點
[00:00:57.020 --> 00:01:02.100]  家長又為子女排密了很多的課程
[00:01:02.100 --> 00:01:03.340]  有時跟家長說
[00:01:03.340 --> 00:01:04.220]  星期六行不行
[00:01:04.220 --> 00:01:07.020]  沒事你不要來搞我
[00:01:07.020 --> 00:01:09.460]  星期六我排密了一個一個課程
[00:01:09.460 --> 00:01:12.300]  一個一個的活動排密了給他們
[00:01:12.300 --> 00:01:16.180]  都是想子女能夠在多方面有接觸
[00:01:16.180 --> 00:01:19.420]  認識多點東西
[00:01:19.420 --> 00:01:21.180]  至於成年人
[00:01:21.180 --> 00:01:22.180]  我們會怎樣呢
[00:01:22.180 --> 00:01:26.100]  我們其實都很關心自己在事業上面
