
[00:00:00.000 --> 00:00:02.000]  (主席) 弟兄姊妹 早安
[00:00:02.000 --> 00:00:04.000]  (主席) 很高興再次回到神的家
[00:00:04.000 --> 00:00:06.900]  (主席) 跟大家分享神的話語
[00:00:06.900 --> 00:00:10.000]  (主席) 大家今天過得好不好?
[00:00:10.000 --> 00:00:13.500]  (主席) 為什麼這麼好?
[00:00:13.500 --> 00:00:15.300]  (主席) 為什麼這麼好?
[00:00:15.300 --> 00:00:19.000]  (主席) 有沒有過得不太好?
[00:00:19.000 --> 00:00:20.700]  (主席) 去加油的時候 蛤?
[00:00:20.700 --> 00:00:22.300]  (主席) 貴了兩元的
[00:00:22.300 --> 00:00:23.900]  (主席) 會不會這樣?
[00:00:23.900 --> 00:00:25.900]  (主席) 你會不會說 哎呀 貴了兩元
[00:00:25.900 --> 00:00:27.800]  (主席) 感謝讚美主
[00:00:27.800 --> 00:00:30.100]  (主席) 財散人安樂 會不會這樣?
[00:00:30.100 --> 00:00:32.100]  (主席) 沒有的
[00:00:32.100 --> 00:00:34.100]  (主席) 人的理性是這樣想的
[00:00:34.100 --> 00:00:36.100]  (主席) 今天是講錢的
[00:00:36.100 --> 00:00:38.100]  (主席) 你知道嗎?
[00:00:38.100 --> 00:00:41.100]  (主席) 剛才有位婦人
[00:00:41.100 --> 00:00:43.100]  (主席) 跌了一元雞
[00:00:43.100 --> 00:00:45.100]  (主席) 我們叫她一塊銅板
[00:00:45.100 --> 00:00:47.100]  (主席) 或者一塊錢
[00:00:47.100 --> 00:00:51.100]  (主席) 你還有九塊錢
[00:00:51.100 --> 00:00:54.100]  (主席) 不用擔心那個人不見了
[00:00:54.100 --> 00:00:56.100]  (主席) 財散人安樂
[00:00:56.100 --> 00:00:58.100]  (主席) 是不是這樣?
[00:00:58.100 --> 00:01:00.100]  (主席) 結果不是
[00:01:00.100 --> 00:01:04.100]  (主席) 找到之後怎麼樣?
[00:01:04.100 --> 00:01:07.100]  (主席) 大排筵席 開感恩會
[00:01:07.100 --> 00:01:09.100]  (主席) 我記得我小時候在香港
[00:01:09.100 --> 00:01:12.100]  (主席) 我的執事做榜樣
[00:01:12.100 --> 00:01:15.100]  (主席) 隔一排就開個感恩會
[00:01:15.100 --> 00:01:17.100]  (主席) 星期六下午
[00:01:17.100 --> 00:01:20.100]  (主席) 大家男女老幼一齊回來教會
[00:01:20.100 --> 00:01:22.100]  (主席) 吃餐飽的
[00:01:22.100 --> 00:01:24.100]  (主席) 我們那時候住在松屋邨
[00:01:24.100 --> 00:01:26.100]  (主席) 很窮 沒有錢
[00:01:26.100 --> 00:01:29.100]  (主席) 有東西吃就趕快來
[00:01:29.100 --> 00:01:33.100]  (主席) 什麼豬朋狗友都來一齊吃
[00:01:33.100 --> 00:01:35.100]  (主席) 吃的時候有人問
[00:01:35.100 --> 00:01:37.100]  (主席) 為什麼我要開感恩會?
[00:01:37.100 --> 00:01:40.100]  (主席) 哦 原來什麼什麼事
[00:01:40.100 --> 00:01:43.100]  (主席) 有時候就是病得醫治
[00:01:43.100 --> 00:01:47.100]  (主席) 生意差點倒了又好了
[00:01:47.100 --> 00:01:52.100]  (主席) 或者是遇到什麼大災難
[00:01:52.100 --> 00:01:56.100]  (主席) 經過祈禱 經過神的帶領
[00:01:56.100 --> 00:01:58.100]  (主席) 感謝神
[00:01:58.100 --> 00:02:01.100]  (主席) 將感恩的祭就還給神
[00:02:01.100 --> 00:02:03.100]  (主席) 不單止是獨樂
[00:02:03.100 --> 00:02:05.100]  (主席) 還要重樂
[00:02:05.100 --> 00:02:07.100]  (主席) 全教會都請來
[00:02:07.100 --> 00:02:09.100]  (主席) 哇 很大陣仗
[00:02:09.100 --> 00:02:11.100]  (主席) 你病得醫治
[00:02:11.100 --> 00:02:14.100]  (主席) 那你就要花那麼多花費
[00:02:14.100 --> 00:02:17.100]  (主席) 那時候我印象最深
[00:02:17.100 --> 00:02:20.100]  (主席) 一散了會就搶個綠寶橙汁
[00:02:20.100 --> 00:02:22.100]  (主席) 就這樣想
[00:02:22.100 --> 00:02:25.100]  (主席) 怕用不完
[00:02:25.100 --> 00:02:30.100]  (主席) 所以這三節經文
[00:02:30.100 --> 00:02:32.100]  (主席) 好像很簡單
[00:02:32.100 --> 00:02:35.100]  (主席) 其實裡面跟錢有一點關係
[00:02:35.100 --> 00:02:38.100]  (主席) 但這個錢銀的關係
[00:02:38.100 --> 00:02:42.100]  (主席) 是連接到神的關係
[00:02:42.100 --> 00:02:45.100]  (主席) 所以這次的經文
[00:02:45.100 --> 00:02:50.100]  (主席) 其實我們平時讀聖經就過眼雲煙
[00:02:50.100 --> 00:02:54.100]  (主席) 看到失陽的比喻
[00:02:54.100 --> 00:02:57.100]  (主席) 後面就想看一下浪子的比喻
[00:02:57.100 --> 00:02:59.100]  (主席) 講錢失感情
[00:02:59.100 --> 00:03:02.100]  (主席) 所以就不講錢
[00:03:02.100 --> 00:03:04.100]  (主席) 如果牧師講錢
[00:03:04.100 --> 00:03:05.100]  (主席) 當然是講奉獻
[00:03:05.100 --> 00:03:09.100]  (主席) 所以就一看到講這件事
[00:03:09.100 --> 00:03:11.100]  (主席) 我就說下次不要預我了
[00:03:11.100 --> 00:03:13.100]  (主席) 幸好不是張牧師講
[00:03:13.100 --> 00:03:14.100]  (主席) 是梁牧師講
[00:03:14.100 --> 00:03:16.100]  (主席) 大家可以放心
[00:03:16.100 --> 00:03:18.100]  (主席) 我就不計算了
[00:03:18.100 --> 00:03:21.100]  (主席) 講錢失感情
[00:03:21.100 --> 00:03:23.100]  (主席) 就算感情下個禮拜見不到我
[00:03:23.100 --> 00:03:24.100]  (主席) 就沒有所謂了
