
[00:00:00.000 --> 00:00:02.000]  好,讓我們一起在聆聽主導議先
[00:00:02.000 --> 00:00:04.000]  我們一起同心低頭禱告
[00:00:04.000 --> 00:00:06.000]  仰望我們主 我的神
[00:00:06.000 --> 00:00:08.000]  親愛的父神,多謝你
[00:00:08.000 --> 00:00:11.000]  讓我們能夠再次來到你的說話啟示當中
[00:00:11.000 --> 00:00:14.000]  藉著你獨生兒子在地上的教導
[00:00:14.000 --> 00:00:17.000]  讓我們更加認識上主你的心思
[00:00:17.000 --> 00:00:20.000]  讓我們明白你是怎樣的一位的神
[00:00:20.000 --> 00:00:22.000]  好生我們不是去到將來
[00:00:22.000 --> 00:00:25.000]  才面對一個陌生的上帝
[00:00:25.000 --> 00:00:27.000]  而是一個從今天
[00:00:27.000 --> 00:00:30.000]  我們已經開始逐步去認識
[00:00:30.000 --> 00:00:32.000]  愛我們的一位主 我的神
[00:00:32.000 --> 00:00:34.000]  我們為此而獻上感謝
[00:00:34.000 --> 00:00:36.000]  我們將到在以下這段時間
[00:00:36.000 --> 00:00:38.000]  聆聽主導的每一位
[00:00:38.000 --> 00:00:40.000]  無論是說的、聽的
[00:00:40.000 --> 00:00:42.000]  先上、先下的每一個
[00:00:42.000 --> 00:00:45.000]  都能夠真是在上主你的當中
[00:00:45.000 --> 00:00:47.000]  同樣得到上帝你的詛咒
[00:00:47.000 --> 00:00:49.000]  讓我們能夠有更堅實的
[00:00:49.000 --> 00:00:51.000]  一個屬靈的基礎
[00:00:51.000 --> 00:00:53.000]  能夠在今天這個
[00:00:53.000 --> 00:00:55.000]  浮動不安的世界的裏面
[00:00:55.000 --> 00:00:57.000]  能夠站立得穩
[00:00:57.000 --> 00:00:59.000]  我們求你的大靈
[00:00:59.000 --> 00:01:01.000]  禱告奉教
[00:01:01.000 --> 00:01:03.000]  主耶穌基督得勝的名字而求
[00:01:03.000 --> 00:01:05.000]  阿們
[00:01:05.000 --> 00:01:10.000]  我曾經認識過一個青年人
[00:01:10.000 --> 00:01:16.000]  有一次他和一大班的大學同學
[00:01:16.000 --> 00:01:18.000]  你知道年輕人
[00:01:18.000 --> 00:01:20.000]  大家都做過年輕人
[00:01:20.000 --> 00:01:22.000]  當然是到處去威嚇
[00:01:22.000 --> 00:01:25.000]  吃、去玩
[00:01:25.000 --> 00:01:27.000]  有一次有一晚
[00:01:27.000 --> 00:01:29.000]  他們同樣習慣
[00:01:29.000 --> 00:01:31.000]  去飲飲食食
[00:01:31.000 --> 00:01:33.000]  吃完之後
[00:01:33.000 --> 00:01:36.000]  其中一個朋友
[00:01:36.000 --> 00:01:39.000]  在他們當中頗有影響力的
[00:01:39.000 --> 00:01:42.000]  他就忽發奇想
[00:01:42.000 --> 00:01:44.000]  他就建議不如
[00:01:44.000 --> 00:01:46.000]  我們去一間店舖裏面
[00:01:46.000 --> 00:01:49.000]  偷偷地走進去這間店舖
[00:01:49.000 --> 00:01:51.000]  看看裏面這間店舖
[00:01:51.000 --> 00:01:55.000]  其實有些什麼東西在裏面
[00:01:55.000 --> 00:01:59.000]  大家覺得很新奇
[00:01:59.000 --> 00:02:03.000]  而且這個有影響力的一個朋友
[00:02:03.000 --> 00:02:05.000]  為什麼不去呢
[00:02:05.000 --> 00:02:07.000]  於是他就覺得
[00:02:07.000 --> 00:02:09.000]  不要這麼衰仔了
[00:02:09.000 --> 00:02:11.000]  不如跟著一起去吧
[00:02:11.000 --> 00:02:13.000]  但是去到的時候
[00:02:13.000 --> 00:02:15.000]  他就有些腳軟
[00:02:15.000 --> 00:02:17.000]  有些矛盾
[00:02:17.000 --> 00:02:19.000]  於是他就說
[00:02:19.000 --> 00:02:21.000]  我都很害怕
[00:02:21.000 --> 00:02:23.000]  為什麼偷偷地進去這間店舖裏面
[00:02:23.000 --> 00:02:25.000]  去看別人的東西
[00:02:25.000 --> 00:02:27.000]  光明正大走進去就可以了
[00:02:27.000 --> 00:02:29.000]  為什麼要等別人都收工
[00:02:29.000 --> 00:02:31.000]  靜靜地爬進去
[00:02:31.000 --> 00:02:32.000]  那個朋友說
[00:02:32.000 --> 00:02:33.000]  你沒有膽量
[00:02:33.000 --> 00:02:35.000]  你在外面等吧
[00:02:35.000 --> 00:02:37.000]  於是這個年輕人
[00:02:37.000 --> 00:02:39.000]  就站在這間店舖的門口
[00:02:39.000 --> 00:02:42.000]  後巷的位置
[00:02:42.000 --> 00:02:45.000]  就等那些朋友走出來
[00:02:45.000 --> 00:02:47.000]  但是那些朋友
[00:02:47.000 --> 00:02:50.000]  當他們一起爬進去這間店舖的
[00:02:50.000 --> 00:02:52.000]  店舖的後門的時候
[00:02:52.000 --> 00:02:56.000]  就觸動了這個後門的警鐘
[00:02:56.000 --> 00:03:00.000]  原來這些警鐘都挺有效的
[00:03:00.000 --> 00:03:02.000]  我不知道加拿大的那些
[00:03:02.000 --> 00:03:04.000]  因為這件事發生不在這裏的
[00:03:04.000 --> 00:03:06.000]  響了沒多久
[00:03:06.000 --> 00:03:08.000]  這班年輕人就很害怕
[00:03:08.000 --> 00:03:09.000]  馬上想走了
[00:03:09.000 --> 00:03:11.000]  誰知道還沒走到多遠
[00:03:11.000 --> 00:03:14.000]  原來警車已經到了巷口的入口處
[00:03:14.000 --> 00:03:16.000]  攔住他們所有人
[00:03:16.000 --> 00:03:18.000]  然後抓了所有的人
[00:03:18.000 --> 00:03:24.000]  後來這個年輕人就被告
[00:03:24.000 --> 00:03:26.000]  在這個事件上說
[00:03:26.000 --> 00:03:32.000]  非法闖入其他人的物業裏面
[00:03:32.000 --> 00:03:37.000]  但是他自己很蠢
[00:03:37.000 --> 00:03:38.000]  他自己覺得
