
[00:00:00.000 --> 00:00:04.000]  讀一節的聖經,在彼得前書第四章第十節
[00:00:04.000 --> 00:00:08.000]  彼得前書四章第十節,只有一節的經,我們一同來唸,來
[00:00:08.000 --> 00:00:13.500]  "個人要照所得的恩賜彼此服侍,做成百般恩賜的好管家"
[00:00:13.500 --> 00:00:14.800]  再讀一遍,來
[00:00:14.800 --> 00:00:20.800]  "個人要照所得的恩賜彼此服侍,做成百般恩賜的好管家"
[00:00:20.800 --> 00:00:22.400]  我們就讀到這裏
[00:00:22.400 --> 00:00:24.900]  禮拜四,我剛從非洲回來
[00:00:24.900 --> 00:00:27.900]  這次花了十天的時間
[00:00:27.900 --> 00:00:31.400]  探望了三個國家的一些分堂
[00:00:31.400 --> 00:00:35.400]  南非、墨山比克以及斯瓦帝尼
[00:00:35.400 --> 00:00:38.400]  這三個國家,除了南非之外
[00:00:38.400 --> 00:00:45.400]  其他兩位國家都是我們在疫情之前纔剛剛成立的一個分堂
[00:00:45.400 --> 00:00:49.400]  在疫情期間,我也沒有機會能夠去探望他們
[00:00:49.400 --> 00:00:52.400]  所以心中一直蠻掛念,也蠻擔心的
[00:00:52.400 --> 00:00:55.400]  然而感謝神,這次我去探望他們的時候
[00:00:55.400 --> 00:01:00.900]  發現每一個國家的分堂發展都比我所想象的更加的美好
[00:01:00.900 --> 00:01:03.900]  不但有非常忠心的牧者
[00:01:03.900 --> 00:01:06.900]  而且有同心合一的侍奉團隊
[00:01:06.900 --> 00:01:09.400]  弟兄姐妹也充滿了喜樂
[00:01:09.400 --> 00:01:12.400]  特別是我們在墨山比克的分堂
[00:01:12.400 --> 00:01:17.400]  他們在所租用的建築外面的空地裝了很多的街燈
[00:01:17.400 --> 00:01:20.400]  在我們這裏覺得裝個街燈沒什麼了不起
[00:01:20.400 --> 00:01:25.900]  可是想想看,在那個地方是一個完全黑暗的社區街道里面
[00:01:25.900 --> 00:01:28.400]  忽然間大放光明
[00:01:28.400 --> 00:01:31.900]  不但是增加了晚上走路的安全
[00:01:31.900 --> 00:01:37.400]  而且成爲整個社區,大人小孩晚上可以聚集的地方
[00:01:37.400 --> 00:01:41.400]  很多大人在那裏乘涼,孩子們在那裏玩耍
[00:01:41.400 --> 00:01:45.400]  所以整個社區都非常的歡喜,我們的教會在那裏
[00:01:45.400 --> 00:01:47.900]  而且一有聚會,反正他們都在那裏
[00:01:47.900 --> 00:01:53.400]  都在前面乘涼,在前面玩耍,順便都一起來聚會
[00:01:53.400 --> 00:01:59.400]  我就看見一個小小的社區轉化的景象
[00:01:59.400 --> 00:02:03.400]  我就感覺到,這些年弟兄姐妹在我服侍的過程當中
[00:02:03.400 --> 00:02:07.900]  越來越看見教會建造的重要性
[00:02:07.900 --> 00:02:10.900]  當教會能夠被建造起來了
[00:02:10.900 --> 00:02:14.900]  信徒就能夠在其中成熟長大
[00:02:14.900 --> 00:02:19.400]  然後社區文化才能夠被轉化
[00:02:19.400 --> 00:02:22.400]  這個秩序是很重要的
[00:02:22.400 --> 00:02:24.900]  教會需要先被建造起來
[00:02:24.900 --> 00:02:32.900]  信徒在其中才能夠在神的靈裏面成熟長大茁壯
[00:02:32.900 --> 00:02:37.400]  然後社區文化才能夠被轉化過來
[00:02:37.400 --> 00:02:40.900]  在過去我們常常有一種錯誤的觀念
[00:02:40.900 --> 00:02:44.900]  那就是我們比較注意的是個人靈命的追求
[00:02:44.900 --> 00:02:47.900]  注重我們個人與主的關係
[00:02:47.900 --> 00:02:51.900]  我們比較少着重於教會的建造
[00:02:51.900 --> 00:02:54.400]  特別在過去兩年在疫情當中
[00:02:54.400 --> 00:02:57.900]  我們更是覺得這是理所當然的事情
[00:02:57.900 --> 00:03:02.400]  我們會看重個人的健康,個人的成長
[00:03:02.400 --> 00:03:05.900]  過於教會的健康,教會的成長
[00:03:05.900 --> 00:03:09.400]  但事實上弟兄姐妹,我越來越看見神的心意
[00:03:09.400 --> 00:03:13.900]  不只是要得到更多的基督徒或更好的基督徒
[00:03:13.900 --> 00:03:15.900]  這是我們常常所注重
[00:03:15.900 --> 00:03:18.400]  我們希望有更多的基督徒,更好的基督徒
[00:03:18.400 --> 00:03:22.400]  但我告訴你神的心意不只是在於得到更好的基督徒
[00:03:22.400 --> 00:03:23.400]  更多的基督徒
[00:03:23.400 --> 00:03:28.400]  神的心意更是要興起一個有使命的羣體
[00:03:28.400 --> 00:03:31.900]  才能夠在這個世界帶來影響力的
[00:03:31.900 --> 00:03:36.900]  我在說很多時候我們所看見只是一個更多更好的基督徒
[00:03:36.900 --> 00:03:42.400]  但神的心意是要興起一個有使命的羣體來
[00:03:42.400 --> 00:03:45.400]  才能夠在今天這樣一個世代帶來影響力
[00:03:45.400 --> 00:03:49.900]  而教會就是神所要興起這個羣體
[00:03:49.900 --> 00:03:55.400]  神的心意是要透過教會的建造來影響世代的
[00:03:55.400 --> 00:03:57.400]  所以今天當你來到教會
[00:03:57.400 --> 00:03:59.900]  你的思想一定要被更新過來
[00:03:59.900 --> 00:04:03.400]  換句話說,你思想要大轉彎一下
[00:04:03.400 --> 00:04:08.900]  不要只是想到是自己的追求,想到自己的滿足
[00:04:08.900 --> 00:04:12.400]  而是要先來看重教會的建造
[00:04:12.400 --> 00:04:16.900]  然後你的生命在其中才能一同長大成熟
